# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=21
# stan_version_patch=0
# init=random
# enable_random_init=1
# seed=536066880
# chain_id=2
# iter=2000
# warmup=1000
# save_warmup=1
# thin=1
# refresh=200
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.999
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=20
# sampler_t=NUTS(diag_e)
# sample_file=/Users/davidhodgson/Dropbox/My Mac (David’s MacBook Air)/Documents/research/covid/HERO/serobayes/include/asymp/loc_coded_unadjusted_2.csv
# diagnostic_file=/Users/davidhodgson/Dropbox/My Mac (David’s MacBook Air)/Documents/research/covid/HERO/serobayes/include/asymp/loc_coded_unadjusted_diag_2.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,beta_0,beta.1,beta.2,beta.3,beta.4,beta.5,beta.6,beta.7,beta.8,sigma.1,l,prod_val,marginal.1.1,marginal.2.1,marginal.3.1,marginal.4.1,marginal.5.1,marginal.6.1,marginal.7.1,marginal.8.1,index.1
-229.854,1,0.125,2,3,0,403.772,0.45441,0.343672,-0.40594,-0.0738881,0.243066,-1.21905,-0.506279,-0.612973,1.61098,0.480842,8,0.125,0.650142,0.564444,0.603216,0.63906,0.467108,0.552548,0.539832,0.77365,8
-229.854,0,10.0182,0,1,1,233.73,0.45441,0.343672,-0.40594,-0.0738881,0.243066,-1.21905,-0.506279,-0.612973,1.61098,0.480842,8,0.125,0.650142,0.564444,0.603216,0.63906,0.467108,0.552548,0.539832,0.77365,8
-229.854,0,0.951493,0,1,1,233.599,0.45441,0.343672,-0.40594,-0.0738881,0.243066,-1.21905,-0.506279,-0.612973,1.61098,0.480842,8,0.125,0.650142,0.564444,0.603216,0.63906,0.467108,0.552548,0.539832,0.77365,8
-218.017,1,0.0488594,4,15,0,232.264,-0.771426,0.401717,0.224965,-0.0667058,-0.255681,-1.12774,-0.900182,-0.586298,1.89774,0.376562,8,0.125,0.349746,0.334765,0.310765,0.295732,0.232172,0.247796,0.270477,0.485801,8
-207.808,0.999754,0.0333642,5,47,0,220.348,-0.422141,0.860845,0.726528,-0.0348051,-0.174502,-0.795269,-0.392178,0.346477,1.37932,0.238986,8,0.125,0.446107,0.43819,0.394017,0.386074,0.351558,0.373819,0.41597,0.476891,8
-207.519,0.997899,0.026093,7,127,0,209.668,-0.268153,0.414412,0.164758,-0.0049806,0.788359,0.928768,-0.410527,-0.357766,-0.933911,0.608238,8,0.125,0.495977,0.458113,0.432617,0.552643,0.57365,0.373355,0.380893,0.302337,8
-208.465,0.999932,0.0221492,7,127,0,210.755,-0.474298,0.641699,0.104715,-0.222571,-0.809949,-0.365708,-1.23749,-0.136263,0.936863,0.0962166,8,0.125,0.398299,0.385985,0.378549,0.365348,0.375314,0.355863,0.380504,0.405125,8
-208.322,0.999553,0.0200718,7,127,0,215.666,-0.462992,0.481171,1.01468,0.0898301,0.214125,0.890443,-0.94129,0.0105808,-0.277841,0.0707115,8,0.125,0.394373,0.403418,0.387783,0.389872,0.401306,0.370621,0.386454,0.381629,8
-211.191,0.999786,0.0189366,6,127,0,214.045,-0.378326,1.28246,1.29886,0.519516,-0.308349,1.16653,-2.05566,-0.108004,-0.143537,0.0644132,8,0.125,0.426605,0.426863,0.414629,0.401748,0.424779,0.375021,0.404853,0.404302,8
-210.188,0.999991,0.0184167,8,255,0,214.068,-0.493521,-0.924963,-0.796758,-0.293397,-0.0281646,-0.606642,0.679669,0.232252,0.242001,0.215689,8,0.125,0.33336,0.339534,0.364287,0.377636,0.348789,0.414129,0.390925,0.391425,8
-209.344,0.999968,0.0183138,7,127,0,212.337,-0.388757,1.62891,0.00279058,-0.948308,0.188894,0.500007,-1.62428,0.13123,0.411815,0.102073,8,0.125,0.444606,0.404085,0.380942,0.408668,0.416364,0.364809,0.407246,0.414178,8
