# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=21
# stan_version_patch=0
# init=random
# enable_random_init=1
# seed=917402092
# chain_id=2
# iter=2000
# warmup=1000
# save_warmup=1
# thin=1
# refresh=200
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.999
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=20
# sampler_t=NUTS(diag_e)
# sample_file=/Users/davidhodgson/Dropbox/My Mac (David’s MacBook Air)/Documents/research/covid/HERO/serobayes/include/asymp/job_grouped_adjusted_2.csv
# diagnostic_file=/Users/davidhodgson/Dropbox/My Mac (David’s MacBook Air)/Documents/research/covid/HERO/serobayes/include/asymp/job_grouped_adjusted_diag_2.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,beta_0,beta.1,beta.2,beta.3,beta.4,beta.5,beta.6,beta.7,beta.8,beta.9,beta.10,beta.11,beta.12,beta.13,beta.14,beta.15,beta.16,beta.17,beta.18,beta.19,beta.20,sigma.1,sigma.2,sigma.3,sigma.4,p_beta_0,p_beta.1,p_beta.2,p_beta.3,p_beta.4,p_beta.5,p_beta.6,p_beta.7,p_beta.8,p_beta.9,p_beta.10,p_beta.11,p_beta.12,p_beta.13,p_beta.14,p_beta.15,p_beta.16,p_beta.17,p_beta.18,p_beta.19,p_beta.20,p_sigma.1,p_sigma.2,p_sigma.3,p_sigma.4,g_beta_0,g_beta.1,g_beta.2,g_beta.3,g_beta.4,g_beta.5,g_beta.6,g_beta.7,g_beta.8,g_beta.9,g_beta.10,g_beta.11,g_beta.12,g_beta.13,g_beta.14,g_beta.15,g_beta.16,g_beta.17,g_beta.18,g_beta.19,g_beta.20,g_sigma.1,g_sigma.2,g_sigma.3,g_sigma.4
-274.071,1,0.0625,2,3,0,373.958,1.27147,-1.60086,-0.566258,-0.0754934,-1.24935,-0.454547,-0.69689,-0.423203,-0.166177,0.525682,-0.327127,1.91572,0.160349,1.66633,0.700651,1.8805,-0.816322,-0.252546,0.826101,0.721727,-0.852697,0.950663,-1.54544,-0.501711,-0.150795,-0.781559,-1.35574,-2.60251,3.48641,-4.98568,2.57646,-1.92512,-0.2679,-0.117276,0.0520889,-1.92384,-1.91491,-1.4651,0.629538,0.547106,0.678661,0.490621,-1.15244,-0.026636,-0.380411,0.691939,11.3818,0.125603,0.376417,-0.735284,-0.577119,-27.1108,-21.543,13.996,-35.7913,31.3873,-2.36224,-7.38735,18.0577,18.5545,-1.22147,2.41591,0.160349,1.66633,0.700651,1.8805,-0.816322,-0.252546,0.826101,0.721727,-0.852697,86.1728,0.464,2.34107,3.43105
-274.071,0,10.0182,0,1,1,283.527,1.27147,-1.60086,-0.566258,-0.0754934,-1.24935,-0.454547,-0.69689,-0.423203,-0.166177,0.525682,-0.327127,1.91572,0.160349,1.66633,0.700651,1.8805,-0.816322,-0.252546,0.826101,0.721727,-0.852697,0.950663,-1.54544,-0.501711,-0.150795,-0.169613,0.714391,-0.0334398,-0.648631,0.690948,-1.31932,0.667189,0.46406,-0.66898,-0.85747,1.70579,-0.800074,-0.540966,-0.321776,1.32641,-0.889269,0.669049,1.70151,1.27579,0.0166384,-0.339763,-0.671925,-0.958644,0.337038,0.907436,-0.577119,-27.1108,-21.543,13.996,-35.7913,31.3873,-2.36224,-7.38735,18.0577,18.5545,-1.22147,2.41591,0.160349,1.66633,0.700651,1.8805,-0.816322,-0.252546,0.826101,0.721727,-0.852697,86.1728,0.464,2.34107,3.43105
-274.071,0,0.951493,0,1,1,294.508,1.27147,-1.60086,-0.566258,-0.0754934,-1.24935,-0.454547,-0.69689,-0.423203,-0.166177,0.525682,-0.327127,1.91572,0.160349,1.66633,0.700651,1.8805,-0.816322,-0.252546,0.826101,0.721727,-0.852697,0.950663,-1.54544,-0.501711,-0.150795,1.4562,2.47648,-0.102963,-0.473831,1.60442,1.13512,1.19416,-0.834977,1.55817,-0.107133,0.338739,-0.280843,0.904848,1.70447,-0.431091,-1.47912,-2.78934,-0.409682,-2.28353,1.65756,0.424726,-1.1667,-0.366766,0.208233,0.198149,-0.577119,-27.1108,-21.543,13.996,-35.7913,31.3873,-2.36224,-7.38735,18.0577,18.5545,-1.22147,2.41591,0.160349,1.66633,0.700651,1.8805,-0.816322,-0.252546,0.826101,0.721727,-0.852697,86.1728,0.464,2.34107,3.43105
-223.908,1,0.0488594,4,15,0,288.744,0.932843,-0.976705,-0.460371,-0.280575,-0.981958,-0.739291,-0.524306,-0.561377,-0.662127,0.146701,-0.0527958,1.66981,0.263159,1.4518,1.17885,1.8152,-0.612756,-0.20909,0.917741,0.902378,-0.941685,-0.236781,-1.67094,-0.314734,0.196767,1.91847,-4.00988,-1.46612,1.38176,-2.30101,1.9809,-0.61927,0.159086,3.16905,3.12962,-1.52556,1.55345,-0.50341,1.24656,-2.34592,0.514033,-1.10789,-0.244176,-0.381754,-0.841439,0.365764,7.67617,0.794066,-0.81968,-1.2542,1.18256,-2.59177,-5.53269,0.0939587,-1.99685,-6.56633,5.68869,-4.07614,1.0083,9.61618,-1.52473,3.18871,0.263159,1.4518,1.17885,1.8152,-0.612756,-0.20909,0.917741,0.902378,-0.941685,-0.688484,1.80206,1.09061,7.4452
-221.403,0.999941,0.0333642,6,127,0,234.344,-0.238506,1.02469,1.82924,0.288213,-0.346823,-0.982361,-1.54293,0.294693,-2.09203,-3.15194,0.329137,-0.149428,1.01657,0.869706,1.36348,-0.782849,1.45879,1.0122,-0.576905,-0.362708,0.269833,-1.18868,-3.80236,-2.94445,-2.03735,0.121416,-2.26833,-0.620519,-0.550128,0.234728,-0.397202,-1.27402,-0.975788,-0.199978,-0.0429654,-0.231049,1.84478,0.363786,1.54357,1.31764,1.74705,-0.472943,-0.111079,0.865577,0.871089,-0.91966,0.492832,0.60612,1.67353,0.665215,-0.872393,1.28787,0.802232,-0.889889,0.116217,-0.194313,-1.36335,0.073008,-1.61124,-3.20888,0.24248,-0.0769188,1.01657,0.869706,1.36348,-0.782849,1.45879,1.0122,-0.576905,-0.362708,0.269833,-4.89121,-1.01704,-0.751379,-0.92179
-210.875,0.997775,0.0261075,7,127,0,232.435,-0.506895,0.50133,0.766798,0.756077,-0.256054,-0.298829,-0.347876,0.209836,-1.07952,-0.906161,0.0745723,-0.0186707,0.486148,-0.820173,1.60057,0.400455,2.2949,1.19181,-1.29203,-0.766567,-0.903868,-0.199947,-2.72026,-1.76778,-0.876672,0.337197,2.55869,-0.734302,-1.30095,1.47071,0.0463249,-1.01843,0.975996,-2.70145,-3.61362,0.223823,-0.0509608,0.901747,1.2506,0.841807,-0.994765,0.674884,0.623528,-0.117866,-0.0918369,0.639731,-0.306067,-1.49249,-1.40974,0.0640121,-7.07333,0.699768,-3.19103,-0.39913,-1.56684,-1.95303,0.0341047,-0.484504,-1.91537,-1.10849,-0.451424,0.0748739,0.486148,-0.820173,1.60057,0.400455,2.2949,1.19181,-1.29203,-0.766567,-0.903868,-4.02022,-0.975113,-0.898044,1.15216
-209.678,0.996012,0.0221535,7,255,0,220.44,0.0152231,0.323661,1.69648,0.656296,0.61536,-0.271533,-0.550349,-0.129153,-0.548331,-0.371441,0.0594706,-2.11451,0.858315,-0.162247,-0.405154,0.576979,0.233981,0.186217,-1.47478,0.256017,1.72126,-0.337822,-1.05611,-1.79348,0.271228,0.379597,0.510066,1.25419,-0.420619,-0.640983,0.502199,-0.879982,-0.088446,1.39741,-0.429405,0.681455,-0.366683,0.507109,-0.824305,1.5911,0.414563,2.30112,1.19661,-1.32815,-0.760527,-0.862272,0.105655,-1.06041,-0.094334,-0.768708,12.4379,0.522001,3.82289,2.38188,3.02594,2.00411,0.949267,6.71933,6.02869,3.18846,4.69554,-2.4299,0.858315,-0.162247,-0.405154,0.576979,0.233981,0.186217,-1.47478,0.256017,1.72126,2.69895,0.290413,1.00823,-5.48483
-210.245,0.998868,0.0198322,7,127,0,222.931,-0.187504,0.352187,0.0320825,0.159404,-0.318569,-0.638673,-0.656597,0.456775,-1.4795,-1.068,0.671487,1.86734,0.348504,-0.953136,0.345585,1.17377,0.264418,-0.0704793,0.263664,0.457031,0.00833184,-0.0254313,-2.6787,-1.65585,-1.36198,1.00458,1.05862,-1.68311,-0.164464,0.806074,0.602438,-0.0117733,0.494757,0.87054,0.35085,-0.607833,1.36704,-1.34365,0.929083,0.246136,-1.61807,-0.49519,-0.180358,1.65247,-0.669432,-2.16913,1.35224,-0.0697673,0.018836,-0.81446,-8.66598,2.13531,-7.21307,-3.31951,0.507437,-2.63375,-0.741813,0.0900085,-2.85707,-1.18459,-0.129076,2.08583,0.348504,-0.953136,0.345585,1.17377,0.264418,-0.0704793,0.263664,0.457031,0.00833184,0.410964,-1.06091,-0.582051,1.49617
-216.925,0.999063,0.0186681,8,255,0,227.977,-0.559997,-0.181089,1.97133,1.56429,0.290774,-0.898982,-0.161578,-0.333327,-0.523554,-0.0754525,-0.658723,-1.83144,-0.606439,0.072215,-0.410442,-1.8227,0.59238,0.0672047,0.667359,-1.70023,0.317386,-0.692495,-2.91774,-2.79513,-3.61733,1.05381,-2.04831,1.19379,-0.365089,-0.431417,-0.242962,0.363359,0.569866,0.256244,-0.506711,-0.125019,1.05107,-0.305322,-1.66529,-0.00185075,-0.681893,1.42723,-0.0256314,1.544,-1.82671,0.515797,-0.00235478,-1.20981,-0.405684,0.331405,-0.935476,-1.28532,1.97612,2.25252,1.44826,-1.98204,-0.282114,-1.54988,0.272108,0.581874,-0.874812,-1.63565,-0.606439,0.072215,-0.410442,-1.8227,0.59238,0.0672047,0.667359,-1.70023,0.317386,1.54733,-1.16218,-0.559845,-0.844163
-218.091,0.999402,0.018113,7,255,0,234.225,-0.0662464,-0.373539,0.593455,-0.130009,0.144303,-0.0066545,0.435805,1.51457,-0.712778,-0.70883,-0.230192,-0.723942,1.95474,0.457482,-0.756994,-0.519341,-2.59864,-0.620827,-0.895211,1.72785,2.0785,0.102763,-0.220372,0.780193,-2.85475,-0.130942,1.89745,-0.78658,0.950919,-0.331242,-0.570379,1.28107,-1.23737,0.567248,1.68274,-1.29325,-1.40755,0.0663827,0.243426,-0.712419,-2.12879,-0.315797,-0.154533,0.384237,-1.18023,1.09457,-0.479067,-2.53493,0.766544,-1.22733,-1.55621,-4.90305,-2.97948,-13.3121,2.77674,10.9008,2.43848,2.74393,-0.868075,-1.02883,-2.62521,0.475798,1.95474,0.457482,-0.756994,-0.519341,-2.59864,-0.620827,-0.895211,1.72785,2.0785,3.46378,-0.515007,2.44321,-0.89438
