# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=21
# stan_version_patch=0
# init=random
# enable_random_init=1
# seed=536066880
# chain_id=1
# iter=2000
# warmup=1000
# save_warmup=1
# thin=1
# refresh=200
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.999
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=20
# sampler_t=NUTS(diag_e)
# sample_file=/Users/davidhodgson/Dropbox/My Mac (David’s MacBook Air)/Documents/research/covid/HERO/serobayes/include/asymp/loc_coded_unadjusted_1.csv
# diagnostic_file=/Users/davidhodgson/Dropbox/My Mac (David’s MacBook Air)/Documents/research/covid/HERO/serobayes/include/asymp/loc_coded_unadjusted_diag_1.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,beta_0,beta.1,beta.2,beta.3,beta.4,beta.5,beta.6,beta.7,beta.8,sigma.1,p_beta_0,p_beta.1,p_beta.2,p_beta.3,p_beta.4,p_beta.5,p_beta.6,p_beta.7,p_beta.8,p_sigma.1,g_beta_0,g_beta.1,g_beta.2,g_beta.3,g_beta.4,g_beta.5,g_beta.6,g_beta.7,g_beta.8,g_sigma.1
-209.5,0.999478,0.0181695,8,255,0,215.226,-0.510826,1.84341,-0.00429509,-0.774371,-1.43933,0.0143164,0.207735,-0.924868,-0.0167603,-1.34757,0.533031,2.7394,-1.00042,0.0806151,0.524775,0.34563,-0.184725,-0.638445,-1.1073,0.77032,-2.28755,1.78974,-0.721524,-1.05384,-1.47142,-0.304629,1.53281,-1.27432,-0.0526913,0.0211133
-206.966,0.999906,0.0188382,7,127,0,211.166,-0.329759,1.41083,-0.09026,-0.128553,-0.367433,0.74832,-0.769824,0.217481,-0.190051,-0.945507,0.246946,1.74279,-0.510006,-0.917726,-1.44106,-0.210301,0.891663,-1.09267,0.0876623,0.286778,2.82977,1.95995,-0.644969,-0.00750641,-0.308356,1.42669,-1.195,0.937209,-0.110082,1.15227
-208.104,0.996748,0.0196535,7,127,0,211.532,-0.287677,0.567089,-0.546409,-0.562319,-1.14659,0.520614,-1.35155,0.614074,0.210408,-1.47662,-1.46077,-1.51006,-0.302305,-0.47396,-0.749184,-0.723001,-0.258368,0.0512552,0.442449,-0.881976,1.26343,0.33278,-0.972148,-0.527135,-1.12423,0.727466,-1.33975,1.18663,0.375992,-0.239085
-209.062,0.99764,0.0203789,7,127,0,211.242,-0.420526,0.549251,0.823339,0.927486,0.715709,-0.0116398,0.284835,-0.883017,-1.0997,-1.05308,0.508347,-0.197785,1.42347,-0.402039,0.863242,-0.703729,-0.0114277,-0.30645,0.676609,-0.285666,8.01913,0.0324235,1.07995,1.47311,0.845547,-0.2625,3.82961,-1.30559,-1.44202,1.63743
-209.409,1,0.0212466,7,127,0,212.486,-0.323434,1.12166,-0.397441,-0.484731,-1.05145,-0.880696,-0.491533,-0.519047,-1.06922,-2.2821,-0.716743,0.0820615,0.68697,1.07603,0.97457,-0.0104353,1.11046,-0.848188,-0.97304,0.392346,6.07032,0.983533,-0.542412,-0.449917,-1.03289,-0.94694,0.344304,-0.418122,-1.05742,-1.44914
-208.722,0.999975,0.0223533,7,255,0,213.427,-0.43978,0.0839113,-0.32463,0.573147,-1.15167,0.626877,0.190053,-1.04851,0.298707,-2.2199,0.751272,1.25621,-0.357652,-1.07021,-0.418543,-1.66171,-0.471815,0.182067,-1.60605,-0.470352,0.934898,-0.215538,-0.588566,0.608018,-1.14219,0.584674,0.895229,-1.06422,0.319798,-0.691419
-209.264,0.999825,0.0235443,7,127,0,213.374,-0.439602,-0.539524,1.0992,0.41515,0.525718,1.79644,-0.467491,-0.235109,-0.474906,-1.98264,-0.146736,-0.742821,-0.0630836,0.908562,-1.00064,1.70628,0.743539,-1.32658,0.0794428,-0.765493,0.492719,-0.989644,1.00012,0.456424,0.557067,1.90033,-0.00287749,-0.183883,-0.489673,-0.73034
-210.731,0.996105,0.0248062,7,127,0,213.5,-0.469353,0.686997,-1.80129,-0.961007,0.32483,-0.67676,-0.277707,-0.372257,-0.460293,-1.40216,0.0950034,0.974125,-0.120464,-0.278994,-0.609403,-1.69041,-0.964566,0.190537,0.540008,0.0109361,-9.73867,0.210257,-3.30576,-1.21952,0.376889,-1.16873,0.251948,-0.419051,-0.544372,2.13585
-211.193,0.999999,0.0258597,7,127,0,214.98,-0.341013,0.178264,-2.1931,0.502359,-0.255156,-0.284243,-0.193323,0.572729,-1.08476,-2.43616,0.88142,-0.548088,1.04965,1.48351,-0.575825,0.701525,-0.274397,0.756797,-0.157101,-1.30305,5.59943,-0.0051921,-2.45086,0.561242,-0.234992,-0.315047,0.574585,0.70836,-1.07555,-0.427468
-213.122,0.99886,0.027275,7,127,0,216.459,-0.366959,0.594662,2.50603,0.278761,1.31751,-1.13785,-0.693846,0.262193,1.23168,-2.74866,0.634293,0.400639,-1.07988,0.828792,0.631476,-1.25074,-0.285802,0.96011,-0.445946,-1.04522,5.99038,0.459034,2.5089,0.307231,1.33603,-1.18992,-0.259814,0.336461,1.26817,-1.15458
