# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=21
# stan_version_patch=0
# init=random
# enable_random_init=1
# seed=639647342
# chain_id=2
# iter=2000
# warmup=1000
# save_warmup=1
# thin=1
# refresh=200
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.999
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=20
# sampler_t=NUTS(diag_e)
# sample_file=/Users/davidhodgson/Dropbox/My Mac (David’s MacBook Air)/Documents/research/covid/HERO/serobayes/include/asymp/loc_coded_adjusted_2.csv
# diagnostic_file=/Users/davidhodgson/Dropbox/My Mac (David’s MacBook Air)/Documents/research/covid/HERO/serobayes/include/asymp/loc_coded_adjusted_diag_2.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,beta_0,beta.1,beta.2,beta.3,beta.4,beta.5,beta.6,beta.7,beta.8,beta.9,beta.10,beta.11,beta.12,beta.13,beta.14,beta.15,beta.16,beta.17,beta.18,beta.19,sigma.1,sigma.2,sigma.3,sigma.4,p_beta_0,p_beta.1,p_beta.2,p_beta.3,p_beta.4,p_beta.5,p_beta.6,p_beta.7,p_beta.8,p_beta.9,p_beta.10,p_beta.11,p_beta.12,p_beta.13,p_beta.14,p_beta.15,p_beta.16,p_beta.17,p_beta.18,p_beta.19,p_sigma.1,p_sigma.2,p_sigma.3,p_sigma.4,g_beta_0,g_beta.1,g_beta.2,g_beta.3,g_beta.4,g_beta.5,g_beta.6,g_beta.7,g_beta.8,g_beta.9,g_beta.10,g_beta.11,g_beta.12,g_beta.13,g_beta.14,g_beta.15,g_beta.16,g_beta.17,g_beta.18,g_beta.19,g_sigma.1,g_sigma.2,g_sigma.3,g_sigma.4
-245.903,0.929926,0.125,3,7,0,277.67,0.697875,0.798424,1.69544,1.22264,-1.96421,-1.1466,-0.961939,-0.0664067,-1.29844,2.80791e-05,1.16001,0.60109,-0.377391,0.0196821,0.854188,1.1929,1.18159,-0.220339,1.37949,1.33096,-0.762575,-1.06569,-1.90005,0.0272472,-4.28544,0.339979,-1.67392,0.328835,-0.122662,-0.147954,-1.00189,-3.66821,1.54411,-2.42931,-1.06723,0.862436,0.31983,2.15976,0.418203,1.22662,0.357567,-0.0820904,0.868668,-1.4969,-0.61077,-1.32463,-0.835001,-2.25341,30.8488,2.33584,5.89695,8.0391,-2.10437,-4.81543,15.4496,20.1972,-4.84712,12.5727,6.65873,0.60109,-0.377391,0.0196821,0.854188,1.1929,1.18159,-0.220339,1.37949,1.33096,6.89757,5.7232,4.38415,-3.99571
-245.903,0,8.81978,0,1,1,253.113,0.697875,0.798424,1.69544,1.22264,-1.96421,-1.1466,-0.961939,-0.0664067,-1.29844,2.80791e-05,1.16001,0.60109,-0.377391,0.0196821,0.854188,1.1929,1.18159,-0.220339,1.37949,1.33096,-0.762575,-1.06569,-1.90005,0.0272472,-0.0270409,-0.429386,0.541168,0.110906,0.952915,1.03468,-0.331573,-0.392935,-0.588715,0.539029,1.58186,0.999503,-0.477154,-0.378315,1.0165,-0.5775,1.22762,-0.830445,-0.664949,-0.405916,0.937724,0.494989,-1.32802,-0.345806,30.8488,2.33584,5.89695,8.0391,-2.10437,-4.81543,15.4496,20.1972,-4.84712,12.5727,6.65873,0.60109,-0.377391,0.0196821,0.854188,1.1929,1.18159,-0.220339,1.37949,1.33096,6.89757,5.7232,4.38415,-3.99571
-245.903,0,0.806631,0,1,1,259.045,0.697875,0.798424,1.69544,1.22264,-1.96421,-1.1466,-0.961939,-0.0664067,-1.29844,2.80791e-05,1.16001,0.60109,-0.377391,0.0196821,0.854188,1.1929,1.18159,-0.220339,1.37949,1.33096,-0.762575,-1.06569,-1.90005,0.0272472,0.155043,-0.0273082,-0.126127,0.538267,-1.14114,2.63486,-1.64878,0.351009,-0.210218,-0.804715,1.24886,0.318756,-1.26479,-0.298199,-0.498131,-0.861131,0.655091,-0.309615,0.0886793,0.914788,2.2537,-0.132389,0.820121,-1.64195,30.8488,2.33584,5.89695,8.0391,-2.10437,-4.81543,15.4496,20.1972,-4.84712,12.5727,6.65873,0.60109,-0.377391,0.0196821,0.854188,1.1929,1.18159,-0.220339,1.37949,1.33096,6.89757,5.7232,4.38415,-3.99571
-220.431,0.999919,0.0405373,6,63,0,260.849,-0.352858,0.164819,0.346517,-0.203475,-1.58657,1.65327,-1.12749,-2.12141,0.844912,0.359473,-0.691574,0.448215,1.48094,0.89038,0.552618,-0.634818,-0.476441,-0.0214385,-0.153865,0.778311,-2.49455,-1.14761,-1.53944,-2.76756,1.89238,-0.70978,-1.97415,-1.50662,1.41383,3.23168,0.682301,-1.24599,2.93453,0.915366,-2.49568,-0.415824,1.5685,0.636041,-0.653471,-1.95608,-1.82451,0.258411,-1.83158,-1.07961,-2.1641,0.330063,0.31183,-4.51094,4.66025,-0.0367569,0.312405,1.30743,-1.7822,1.67915,-0.685992,-2.25069,1.19825,1.06799,0.223968,0.448215,1.48094,0.89038,0.552618,-0.634818,-0.476441,-0.0214385,-0.153865,0.778311,-1.44091,-1.07292,-0.140169,-0.971534
-221.209,0.991799,0.0273042,7,127,0,234.361,1.06086,0.65902,0.145432,-1.09886,-0.388684,0.894752,-1.56586,-0.663205,1.94293,-0.811679,-1.6134,0.629378,0.629167,-0.523665,-0.250038,-1.39837,-1.02776,1.36151,0.412929,0.299936,-2.04963,0.019715,-1.07873,-1.66701,-1.97835,-0.314552,0.247982,0.0334675,-1.75674,1.74368,-1.01174,-2.55459,0.745647,-0.639314,0.123091,0.193037,1.34065,1.24311,0.735208,-0.0277256,-0.0313463,-0.683609,-0.371072,0.719471,-0.920021,-0.0624753,1.27453,0.227643,11.8534,0.411205,0.234482,2.92333,-0.391398,1.45618,-0.928797,-0.842323,4.31387,11.171,-2.74227,0.629378,0.629167,-0.523665,-0.250038,-1.39837,-1.02776,1.36151,0.412929,0.299936,-1.97501,-8.00952,-3.79083,3.20921
-223.933,0.997638,0.0206722,7,127,0,235.788,1.45507,1.52997,-0.6781,-1.63307,-2.42676,0.187069,-0.231517,0.693653,0.758675,-0.761314,-1.21232,0.407933,-0.277457,-0.872333,-0.238852,-0.900032,-1.67073,1.36744,0.444084,0.0393719,-1.30975,0.806162,-1.63619,-1.71521,0.615496,-0.703134,0.685518,0.219444,1.79142,0.846276,-1.59743,-1.62622,2.54836,-0.943321,-0.0443973,0.482105,1.16694,0.131593,-0.114768,-1.07748,0.216948,0.558122,0.139927,0.384726,-1.09678,-1.07243,0.300004,0.236682,-14.1833,0.820616,-1.97903,-4.50129,-2.79226,-2.07964,-1.53712,-0.0448746,0.787359,-23.0232,-14.5228,0.407933,-0.277457,-0.872333,-0.238852,-0.900032,-1.67073,1.36744,0.444084,0.0393719,0.644407,33.9029,3.29199,-1.11506
-216.2,0.999767,0.0174239,7,127,0,230.481,1.06372,0.143781,-0.276982,-1.65184,0.208828,0.327017,-1.77671,-0.577173,-0.910942,-0.280373,-1.00357,0.214526,-0.277068,-0.150215,0.0532082,0.390072,-0.996575,1.75913,-0.470412,0.151267,-1.90445,0.288405,-0.563742,-1.66979,-1.41367,-1.30368,0.775153,1.84737,2.46456,-0.421087,-0.205769,-0.908787,-1.24867,0.886775,0.538721,-0.373528,0.228248,0.85947,0.253893,0.994011,1.50661,-1.04747,-0.545145,-0.0103608,0.15651,-2.08641,-0.38383,0.959912,-10.2176,-0.335312,-0.460784,-8.15237,0.59622,0.191278,-3.86233,-1.28945,-1.19814,-10.5069,-6.05658,0.214526,-0.277068,-0.150215,0.0532082,0.390072,-0.996575,1.75913,-0.470412,0.151267,0.726216,8.20897,12.4326,-0.0542823
-220.939,0.989945,0.0157188,8,255,0,231.059,-1.28031,1.10348,0.963776,1.2924,-0.11626,0.789402,-0.118493,1.13438,0.541736,1.34065,0.106514,-0.271457,-0.174551,0.596974,-0.215376,-0.323553,0.333507,-0.855309,-0.237243,0.49582,-0.42458,-0.891187,-6.80494,-2.58777,-0.673074,0.360995,1.73639,0.177767,-0.162675,1.25906,-1.03233,-0.576567,0.319504,-1.31609,-0.625218,-0.031531,0.567594,-0.386153,0.140713,-0.227928,1.07706,-1.63372,0.904367,-0.711719,-0.983762,-1.08682,-1.52552,-1.09533,-3.40722,0.545713,1.70335,2.6994,-0.213992,0.796851,-4.92583,2.91396,0.58334,0.200186,0.308838,-0.271457,-0.174551,0.596974,-0.215376,-0.323553,0.333507,-0.855309,-0.237243,0.49582,4.57748,-2.0091,-0.998538,-1.39291
-219.171,0.999011,0.0143548,8,255,0,229.355,-0.222285,0.297295,-0.168768,-1.31937,0.433019,0.900976,-1.81516,-0.122459,-0.556845,0.00510559,-0.188332,-0.339714,-0.100592,-0.691173,0.0608319,0.12639,-0.346334,0.814604,-0.297022,-0.840876,-2.47639,-1.13523,-7.28662,-0.895719,-1.25796,0.296485,-0.00886057,0.763633,0.0503674,0.549752,1.19159,-0.122152,1.15503,1.86588,1.11944,-0.421462,-0.225689,0.373793,-0.207354,-0.298041,0.224128,-0.6031,-0.36839,0.207854,0.715646,-0.983815,-0.720261,2.68587,0.218883,0.144014,-0.292382,-1.31076,0.441731,2.08168,-3.01068,-0.0266798,-0.480055,-0.702297,0.980172,-0.339714,-0.100592,-0.691173,0.0608319,0.12639,-0.346334,0.814604,-0.297022,-0.840876,-1.28766,-0.903961,-1.00035,2.92973
-217.89,0.994917,0.013908,8,255,0,231.938,-0.141124,2.14294,-0.340652,1.93559,-0.122894,0.545283,-0.968695,0.219279,-0.457554,-0.156902,-0.553467,0.291707,0.0481311,0.502316,-0.0587211,0.0315394,0.383389,-0.856291,0.0770004,0.642825,-1.38193,-0.017746,-6.21438,-0.49564,-2.50981,-0.997254,0.279619,-0.54567,-1.5848,-0.810832,-0.709703,0.522469,-0.231046,-1.20566,0.528211,0.362851,0.377442,1.38197,-0.0191886,-1.12383,-0.237187,0.236893,1.5742,1.45743,1.25307,-0.68093,-1.96856,-0.789665,-2.99147,2.32345,-0.981518,2.50911,-0.124065,1.52184,-3.66086,1.706,-2.1487,-4.54441,0.38408,0.291707,0.0481311,0.502316,-0.0587211,0.0315394,0.383389,-0.856291,0.0770004,0.642825,1.91771,0.0499691,-0.995317,2.99741
