# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=21
# stan_version_patch=0
# init=random
# enable_random_init=1
# seed=1929026750
# chain_id=3
# iter=2000
# warmup=1000
# save_warmup=1
# thin=1
# refresh=200
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.999
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=20
# sampler_t=NUTS(diag_e)
# sample_file=/Users/davidhodgson/Dropbox/My Mac (David’s MacBook Air)/Documents/research/covid/HERO/serobayes/include/asymp/c19zones_unadjusted_3.csv
# diagnostic_file=/Users/davidhodgson/Dropbox/My Mac (David’s MacBook Air)/Documents/research/covid/HERO/serobayes/include/asymp/c19zones_unadjusted_diag_3.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,beta_0,beta.1,beta.2,beta.3,beta.4,beta.5,beta.6,sigma.1,l,prod_val,marginal.1.1,marginal.2.1,marginal.3.1,marginal.4.1,marginal.5.1,marginal.6.1,index.1
-256.48,1,0.0625,5,31,0,413.374,-1.49217,-0.726248,-0.116226,-0.300768,-1.18685,0.498644,0.375397,1.74579,6,0.166667,0.0595218,0.15511,0.117404,0.0275407,0.349409,0.302208,6
-256.48,0,10.0182,0,1,1,261.714,-1.49217,-0.726248,-0.116226,-0.300768,-1.18685,0.498644,0.375397,1.74579,6,0.166667,0.0595218,0.15511,0.117404,0.0275407,0.349409,0.302208,6
-256.48,0,0.951493,0,1,1,260.041,-1.49217,-0.726248,-0.116226,-0.300768,-1.18685,0.498644,0.375397,1.74579,6,0.166667,0.0595218,0.15511,0.117404,0.0275407,0.349409,0.302208,6
-227.299,0.99919,0.0488594,6,63,0,262.844,0.21014,-0.407033,1.2369,0.0807573,-0.575936,0.0121002,0.283241,0.348979,6,0.166667,0.517017,0.655159,0.5593,0.502288,0.553387,0.576638,6
-216.695,1,0.0332871,3,7,0,230.798,-0.0407999,-0.347654,1.33396,0.185994,-0.482203,-0.0441679,0.423241,0.349563,6,0.166667,0.459507,0.604799,0.506054,0.44785,0.485944,0.526762,6
-206.583,0.999999,0.0260491,5,63,0,219.376,-0.474296,-0.250784,1.16088,0.107374,-0.529003,0.141666,0.235185,0.279099,6,0.166667,0.36719,0.462497,0.39071,0.34934,0.392991,0.399234,6
-207.184,0.999096,0.0222536,7,127,0,209.022,-1.15071,1.5709,0.743919,-0.19156,0.695158,0.0371152,0.742056,0.907567,6,0.166667,0.568316,0.383302,0.21006,0.372897,0.246563,0.382903,6
-207.273,0.992422,0.0201156,6,127,0,213.617,-0.697398,0.518859,0.956388,0.55528,0.612489,-0.269259,1.02495,0.263773,6,0.166667,0.363423,0.39052,0.365649,0.369156,0.316821,0.394832,6
-205.912,0.999962,0.0185577,7,127,0,210.486,-0.454384,0.214522,1.05136,-0.866317,0.241786,-0.130153,-0.109014,0.395696,6,0.166667,0.408662,0.49041,0.310629,0.411272,0.376159,0.378124,6
-207.671,0.99954,0.0180565,7,127,0,210.33,-0.40153,0.0762366,-0.0471996,-0.719852,0.397203,-1.21598,0.803525,0.151285,6,0.166667,0.403718,0.399231,0.375092,0.41546,0.35767,0.430461,6
