# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=21
# stan_version_patch=0
# init=random
# enable_random_init=1
# seed=536066880
# chain_id=3
# iter=2000
# warmup=1000
# save_warmup=1
# thin=1
# refresh=200
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.999
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=20
# sampler_t=NUTS(diag_e)
# sample_file=/Users/davidhodgson/Dropbox/My Mac (David’s MacBook Air)/Documents/research/covid/HERO/serobayes/include/asymp/loc_coded_unadjusted_3.csv
# diagnostic_file=/Users/davidhodgson/Dropbox/My Mac (David’s MacBook Air)/Documents/research/covid/HERO/serobayes/include/asymp/loc_coded_unadjusted_diag_3.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,beta_0,beta.1,beta.2,beta.3,beta.4,beta.5,beta.6,beta.7,beta.8,sigma.1,l,prod_val,marginal.1.1,marginal.2.1,marginal.3.1,marginal.4.1,marginal.5.1,marginal.6.1,marginal.7.1,marginal.8.1,index.1
-253.882,2.19585e-10,0.25,2,3,0,257.639,-1.6264,1.22255,1.26731,0.409606,0.092183,1.03843,-0.892674,1.18475,-0.333784,0.549543,8,0.125,0.277971,0.282934,0.19761,0.1714,0.258126,0.107459,0.27382,0.140659,8
-253.882,0,1.62616,0,1,1,255.936,-1.6264,1.22255,1.26731,0.409606,0.092183,1.03843,-0.892674,1.18475,-0.333784,0.549543,8,0.125,0.277971,0.282934,0.19761,0.1714,0.258126,0.107459,0.27382,0.140659,8
-211.329,0.935301,0.090108,3,7,0,253.056,-0.764448,1.2234,1.17744,0.398795,0.00350812,0.911323,-0.332329,1.52379,-0.0106075,0.565522,8,0.125,0.48186,0.475375,0.368439,0.318111,0.438051,0.278405,0.524303,0.316382,8
-210.349,1,0.041122,6,63,0,214.118,-0.577693,1.15639,1.15928,0.410614,-0.465904,-0.0385341,0.845197,-1.71297,0.11084,0.132332,8,0.125,0.395401,0.395492,0.372068,0.345394,0.35829,0.3856,0.309091,0.362848,8
-210.91,0.99974,0.0277332,7,127,0,217.909,-0.49871,1.40646,0.806681,0.770133,-0.258292,0.15817,0.969276,-1.83505,0.450043,0.140248,8,0.125,0.425201,0.404783,0.403549,0.369367,0.383073,0.410289,0.3195,0.392792,8
-210.423,0.99992,0.0215146,7,127,0,216.57,-0.394285,1.17206,-0.0272315,0.484413,-1.37858,0.0308654,-0.749587,-0.922618,-2.10269,0.157537,8,0.125,0.447781,0.401655,0.42117,0.351726,0.403856,0.374638,0.368273,0.326175,8
-211.229,0.999974,0.0182807,8,255,0,214.988,-0.316889,0.601168,-0.182375,-0.285348,-1.6386,0.120727,-1.19603,-1.0529,-2.3528,0.160043,8,0.125,0.445054,0.414334,0.410341,0.359131,0.426152,0.375591,0.380978,0.333269,8
-208.72,0.997218,0.0165156,7,127,0,214.609,-0.546833,0.303129,1.1702,-0.857293,-0.912599,0.0487086,-0.888475,-0.587132,0.548899,0.200847,8,0.125,0.380848,0.422675,0.327609,0.325167,0.368874,0.326231,0.339672,0.392554,8
-209.243,0.99916,0.0154385,8,255,0,211.875,-0.20588,0.447524,1.33112,-0.572371,-1.30855,-0.28023,-0.691728,-0.871273,0.424242,0.243176,8,0.125,0.475756,0.52942,0.414579,0.371897,0.431919,0.407553,0.397055,0.474344,8
-209.702,0.999819,0.0149702,8,255,0,214.052,-0.505095,0.497636,1.09731,-0.657211,-1.4954,-0.537052,-0.745231,-1.30367,0.649411,0.212911,8,0.125,0.401518,0.432547,0.344112,0.305025,0.349909,0.339895,0.313747,0.409308,8
