# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=21
# stan_version_patch=0
# init=random
# enable_random_init=1
# seed=639647342
# chain_id=3
# iter=2000
# warmup=1000
# save_warmup=1
# thin=1
# refresh=200
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.999
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=20
# sampler_t=NUTS(diag_e)
# sample_file=/Users/davidhodgson/Dropbox/My Mac (David’s MacBook Air)/Documents/research/covid/HERO/serobayes/include/asymp/loc_coded_adjusted_3.csv
# diagnostic_file=/Users/davidhodgson/Dropbox/My Mac (David’s MacBook Air)/Documents/research/covid/HERO/serobayes/include/asymp/loc_coded_adjusted_diag_3.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,beta_0,beta.1,beta.2,beta.3,beta.4,beta.5,beta.6,beta.7,beta.8,beta.9,beta.10,beta.11,beta.12,beta.13,beta.14,beta.15,beta.16,beta.17,beta.18,beta.19,sigma.1,sigma.2,sigma.3,sigma.4,l,prod_val,marginal.1.1,marginal.2.1,marginal.3.1,marginal.4.1,marginal.5.1,marginal.6.1,marginal.7.1,marginal.8.1,marginal.1.2,marginal.2.2,marginal.3.2,marginal.4.2,marginal.5.2,marginal.6.2,marginal.7.2,marginal.8.2,marginal.1.3,marginal.2.3,marginal.3.3,marginal.4.3,marginal.5.3,marginal.6.3,marginal.7.3,marginal.8.3,marginal.1.4,marginal.2.4,marginal.3.4,marginal.4.4,marginal.5.4,marginal.6.4,marginal.7.4,marginal.8.4,index.1,index.2,index.3,index.4
-215.866,0.999824,0.0063601,9,511,0,226.268,0.362795,0.179724,1.02891,-2.15811,0.323103,0.400205,0.0675932,0.0183869,-0.0781823,0.19263,-1.07067,-0.313737,-0.491388,0.799132,-1.28955,0.322172,1.46029,-1.38977,-0.0494933,-0.809184,0.130297,0.625881,0.436969,1.39351,320,0.000315844,0.449792,0.474523,0.38326,0.453953,0.456194,0.446542,0.445117,0.442323,0.518425,0.341343,0,0,0,0,0,0,0.356666,0.608411,0.616017,0.58286,0,0,0,0,0.533314,0.428744,0.41358,0.38429,0.4678,0,0,0,8,10,6,9
-219.603,0.999789,0.00643016,9,511,0,229.449,0.0552663,0.207732,-0.355076,0.780523,-0.717882,0.421725,-1.09175,-0.808079,-1.28722,-0.439898,-0.652196,1.2419,-1.64692,-1.19007,-0.461045,-0.924061,-0.51363,-0.89184,-0.0849549,-1.9,0.457895,0.63286,0.370675,0.122448,320,0.000315844,0.475722,0.413075,0.540213,0.373975,0.49984,0.335309,0.364479,0.315889,0.423961,0.392667,0,0,0,0,0,0,0.43957,0.313435,0.407967,0.285071,0,0,0,0,0.441922,0.398407,0.406467,0.392883,0.417,0,0,0,8,10,6,9
-216.61,0.999996,0.00659034,9,511,0,227.816,0.321612,-0.255016,0.00342433,-1.3334,-0.461437,0.33047,0.109955,0.135963,-1.26568,1.15795,-0.841849,1.21255,-0.934917,1.01423,-1.03653,-0.782004,-0.0659533,0.143784,-0.491346,-0.951954,0.227235,0.398731,0.783939,0.137452,320,0.000315844,0.443566,0.456611,0.390147,0.433202,0.473207,0.462008,0.463327,0.393441,0.520456,0.342299,0,0,0,0,0,0,0.353275,0.512729,0.656013,0.617696,0,0,0,0,0.455334,0.448604,0.449397,0.40713,0.480723,0,0,0,8,10,6,9
-215.317,0.999189,0.00682852,9,511,0,224.156,-0.675775,0.0106288,1.13828,0.356357,-0.483859,-0.0229039,-1.08688,-0.350879,-0.70417,0.823821,-0.279682,0.406338,-0.154273,0.459838,-0.860418,0.722733,1.15409,-1.18653,-0.546818,0.74527,0.317795,0.321208,0.435115,0.134986,320,0.000315844,0.364894,0.449741,0.390297,0.329833,0.362466,0.28949,0.339099,0.314765,0.385801,0.307394,0,0,0,0,0,0,0.377564,0.297672,0.340373,0.24671,0,0,0,0,0.364165,0.332401,0.354235,0.343674,0.39031,0,0,0,8,10,6,9
-220.538,0.999977,0.00711155,9,511,0,227.716,-0.394542,-0.164464,0.0384261,0.102486,0.633778,1.31982,0.0837225,0.430017,0.209126,-0.7033,-1.65085,-2.17953,1.52111,-0.176003,-1.26832,0.449268,0.0307512,-0.122127,-0.403263,2.56837,0.231566,0.388236,0.0813074,0.549656,320,0.000315844,0.352018,0.362462,0.365786,0.393815,0.431012,0.364811,0.382974,0.371348,0.409913,0.326932,0,0,0,0,0,0,0.37042,0.380201,0.392971,0.370076,0,0,0,0,0.500437,0.338377,0.381756,0.353821,0.249883,0,0,0,8,10,6,9
-224.449,0.999956,0.0074667,9,511,0,233.11,-1.06399,-1.0032,-0.871179,-0.491608,0.977928,-0.145868,-0.34718,0.941062,-0.540293,1.21895,-0.536552,2.15461,-1.04936,0.604343,1.23204,-0.414288,-0.712715,-0.085966,0.337634,-2.61337,0.0392734,0.707204,0.188046,0.208011,320,0.000315844,0.328948,0.330008,0.333064,0.345013,0.335859,0.33423,0.344711,0.332672,0.440341,0.186238,0,0,0,0,0,0,0.32762,0.386019,0.34101,0.333185,0,0,0,0,0.322465,0.314011,0.369811,0.306004,0.382318,0,0,0,8,10,6,9
-220.844,0.999504,0.00787167,9,511,0,234.678,-0.100721,1.13646,-1.16121,-1.06371,-0.0374023,1.43024,-0.503389,-0.402706,0.513929,-0.324799,0.240812,-0.695833,0.418238,1.83231,0.0311032,0.608947,0.526957,0.379036,-1.9647,-1.37622,0.0901758,0.123242,0.268953,0.267155,320,0.000315844,0.477266,0.427363,0.429458,0.451649,0.483702,0.441544,0.443724,0.463657,0.443018,0.459792,0,0,0,0,0,0,0.409926,0.47711,0.574037,0.446354,0,0,0,0,0.533231,0.407606,0.413994,0.473229,0.418957,0,0,0,8,10,6,9
-218.94,0.999275,0.00831202,9,511,0,232.854,-0.368571,-0.392183,1.34917,-0.0148245,0.247838,1.62528,-0.596616,-0.977547,-1.07743,-0.0304412,-0.54854,1.01697,0.302728,-2.11316,0.26185,-0.229916,-0.793018,-0.618129,1.38425,1.51717,0.240163,0.396204,0.416763,0.139789,320,0.000315844,0.385898,0.485563,0.40699,0.421879,0.501692,0.374641,0.354026,0.348705,0.427571,0.380016,0,0,0,0,0,0,0.378442,0.403985,0.543272,0.324328,0,0,0,0,0.468407,0.394993,0.382775,0.379594,0.413392,0,0,0,8,10,6,9
-214.381,0.999815,0.00878955,8,255,0,233.01,-0.365563,-0.200622,0.3821,0.168804,0.885514,0.794747,-0.594308,-0.391716,0.209143,-0.0948624,0.135952,1.2497,-0.397773,-0.513953,0.330016,0.189834,-0.382401,0.30671,-0.419962,-1.38213,0.332982,0.0777695,0.29591,0.207973,320,0.000315844,0.412049,0.459427,0.441954,0.500986,0.493477,0.380881,0.396816,0.445249,0.426441,0.430782,0,0,0,0,0,0,0.420174,0.47203,0.465406,0.366843,0,0,0,0,0.470406,0.400215,0.410272,0.440508,0.425141,0,0,0,8,10,6,9
-210.257,0.999958,0.009323,9,511,0,223.94,0.0759807,0.180128,-0.00626294,-0.736742,-0.350779,-0.0846371,-0.715479,0.135939,-0.0442919,0.403785,0.00138566,-1.32133,0.383736,0.517839,-0.405695,-0.223571,0.496542,-0.312293,0.399971,1.43048,0.529731,0.475703,0.672112,0.842143,320,0.000315844,0.448278,0.424776,0.336631,0.382255,0.414984,0.339078,0.442682,0.420017,0.416084,0.372111,0,0,0,0,0,0,0.37304,0.433344,0.476165,0.376283,0,0,0,0,0.404464,0.287221,0.449022,0.412521,0.504162,0,0,0,8,10,6,9
-213.204,0.999912,0.00990168,9,511,0,218.352,0.052653,-0.375203,0.197447,-0.360823,-0.962191,0.45514,-0.49441,-0.198465,-0.946189,-0.370137,-1.22601,-0.428471,-0.0807803,-0.15123,-1.66403,-0.740223,-0.389227,-0.138032,-1.01638,0.997673,0.30469,0.523682,0.0797931,0.505465,320,0.000315844,0.355966,0.395905,0.356948,0.31697,0.414367,0.347874,0.368113,0.318003,0.406616,0.305976,0,0,0,0,0,0,0.362993,0.352259,0.377772,0.360597,0,0,0,0,0.452456,0.339943,0.373764,0.29135,0.353973,0,0,0,8,10,6,9
-216.179,0.999832,0.0105195,8,255,0,222.839,-0.655238,0.974485,1.34219,0.29567,-0.223725,0.494576,-0.668892,0.418704,0.885606,0.189067,-0.0761887,0.701721,0.104938,0.1756,-2.39155,0.0546619,0.266653,0.430497,0.602518,-1.40295,0.175429,1.02115,0.104597,0.174953,320,0.000315844,0.41553,0.43117,0.387119,0.365873,0.395375,0.348064,0.392218,0.411774,0.417225,0.353549,0,0,0,0,0,0,0.392807,0.38005,0.397731,0.369245,0,0,0,0,0.402216,0.354748,0.399054,0.418638,0.389534,0,0,0,8,10,6,9
-214.547,0.997442,0.0111744,7,255,0,224.94,-0.665443,-0.287094,-0.42956,-0.558244,0.654313,1.17873,0.153719,0.22023,-0.763301,0.930999,-0.787582,-0.95521,0.146416,0.199095,1.35325,-0.134603,0.189407,0.0315292,0.255509,0.669924,0.103015,0.46175,0.652255,0.605362,320,0.000315844,0.400967,0.397819,0.394982,0.421951,0.433762,0.410755,0.412238,0.390475,0.479226,0.307213,0,0,0,0,0,0,0.336045,0.514205,0.592656,0.438572,0,0,0,0,0.52311,0.382732,0.391522,0.270724,0.488648,0,0,0,8,10,6,9
