# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=21
# stan_version_patch=0
# init=random
# enable_random_init=1
# seed=1929026750
# chain_id=2
# iter=2000
# warmup=1000
# save_warmup=1
# thin=1
# refresh=200
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.999
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=20
# sampler_t=NUTS(diag_e)
# sample_file=/Users/davidhodgson/Dropbox/My Mac (David’s MacBook Air)/Documents/research/covid/HERO/serobayes/include/asymp/c19zones_unadjusted_2.csv
# diagnostic_file=/Users/davidhodgson/Dropbox/My Mac (David’s MacBook Air)/Documents/research/covid/HERO/serobayes/include/asymp/c19zones_unadjusted_diag_2.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,beta_0,beta.1,beta.2,beta.3,beta.4,beta.5,beta.6,sigma.1,l,prod_val,marginal.1.1,marginal.2.1,marginal.3.1,marginal.4.1,marginal.5.1,marginal.6.1,index.1
-219.478,1,0.125,2,3,0,239.8,0.311856,1.3912,-0.458005,-0.286552,-0.481307,-0.92121,-0.522882,1.53646,6,0.166667,0.920517,0.403272,0.467939,0.394687,0.249076,0.379533,6
-219.478,0,10.0182,0,1,1,224.433,0.311856,1.3912,-0.458005,-0.286552,-0.481307,-0.92121,-0.522882,1.53646,6,0.166667,0.920517,0.403272,0.467939,0.394687,0.249076,0.379533,6
-219.478,7.2931e-191,0.951493,1,1,0,226.313,0.311856,1.3912,-0.458005,-0.286552,-0.481307,-0.92121,-0.522882,1.53646,6,0.166667,0.920517,0.403272,0.467939,0.394687,0.249076,0.379533,6
-206.724,0.999421,0.0488594,4,15,0,223.98,-0.295759,-0.11217,-0.328764,-0.00452204,-0.417517,-1.14086,-0.635591,0.457056,6,0.166667,0.414104,0.390307,0.426089,0.380698,0.30636,0.357494,6
-207.197,0.999708,0.0333091,6,127,0,208.717,-0.624722,0.838045,0.386722,-1.03888,-0.626588,0.369922,0.455227,0.208994,6,0.166667,0.389462,0.367281,0.301147,0.319586,0.366465,0.370614,6
-209.041,0.990262,0.0260444,6,127,0,211.87,-0.225018,0.808801,0.533542,-1.4469,-0.670017,0.122697,0.163235,0.215309,6,0.166667,0.487284,0.472492,0.368991,0.408715,0.450513,0.452674,6
-213.501,0.999838,0.0215959,6,63,0,216.723,0.0129885,-0.18599,1.31848,-1.49875,-2.36715,-1.2452,-0.581224,0.437579,6,0.166667,0.482907,0.643349,0.344606,0.264477,0.370077,0.439955,6
-207.573,0.999999,0.0195565,6,63,0,214.803,-0.296035,0.0033404,-0.378714,-0.559647,-1.37401,-0.58163,-0.779438,0.177966,6,0.166667,0.426672,0.410129,0.402362,0.368057,0.401422,0.392993,6
-209.746,0.9968,0.0184717,7,127,0,212.088,-0.177748,-0.293334,1.25887,-0.171347,-1.05575,-2.12462,-0.953188,0.272543,6,0.166667,0.435931,0.541243,0.444122,0.385685,0.319341,0.392329,6
-208.527,0.994873,0.0177938,7,127,0,213.884,-0.611308,0.0410585,1.50487,0.151966,-0.241888,-0.342642,0.891838,0.0945795,6,0.166667,0.352647,0.384858,0.355045,0.346562,0.344407,0.371227,6
-212.22,0.998881,0.0174094,7,127,0,214.489,-0.39307,1.42888,0.383066,-0.899029,-1.47175,1.62846,1.20531,0.12669,6,0.166667,0.447186,0.414707,0.375905,0.359042,0.453445,0.440195,6
-213.511,0.999871,0.0175288,7,127,0,217.701,-0.826278,1.10687,1.7405,-1.65326,-1.19068,-0.0500774,2.51221,0.19198,6,0.166667,0.351197,0.37939,0.241647,0.258292,0.302401,0.414842,6
-206.77,0.999366,0.0179159,7,127,0,215.558,-0.510482,1.22552,-0.131125,-0.38212,-0.700341,-0.686279,0.290436,0.189841,6,0.166667,0.430986,0.369264,0.358237,0.34447,0.345073,0.388091,6
-203.991,0.999993,0.018445,6,127,0,209.066,-0.56346,0.376234,0.45144,-0.414262,0.157604,-0.177741,0.0257722,1.04955,6,0.166667,0.457953,0.477602,0.269286,0.401782,0.32082,0.369023,6
-205.338,0.99327,0.0191529,6,63,0,211.204,-0.575196,0.739793,0.226873,0.494827,-0.113461,-0.20253,0.480329,0.515396,6,0.166667,0.451674,0.387397,0.420636,0.346678,0.336355,0.418816,6
-205.182,0.999877,0.0195732,7,127,0,207.162,-0.462737,0.363722,0.484462,-1.73487,-0.239094,-0.19822,0.0890164,0.472985,6,0.166667,0.427832,0.441865,0.216988,0.359894,0.364359,0.396365,6
-206.876,0.995603,0.0204925,7,255,0,208.281,-0.386662,0.907919,0.112744,0.631787,-0.253441,-0.419104,0.477898,0.567315,6,0.166667,0.53206,0.420018,0.492941,0.370414,0.348776,0.471146,6
-206.443,0.998272,0.0212317,7,127,0,210.124,-0.269179,0.872843,0.513027,-1.87873,-0.130064,-0.330366,-0.368858,0.532528,6,0.166667,0.548753,0.501006,0.219316,0.416188,0.390524,0.385657,6
-205.23,0.999895,0.022221,7,127,0,207.982,-0.668985,0.627905,0.521414,-0.328697,-0.202726,0.346285,0.686714,0.504269,6,0.166667,0.412812,0.399859,0.302645,0.316217,0.378866,0.420019,6
-207.296,0.998763,0.0234005,7,127,0,209.359,-0.342114,0.520751,0.780578,-1.07032,-0.272336,-1.82343,-0.32971,0.233756,6,0.166667,0.445126,0.460172,0.356106,0.399926,0.316836,0.396712,6
-207.558,0.997635,0.024578,7,127,0,211.651,-0.481193,0.541324,-0.349821,0.223599,0.486152,0.434588,0.38939,0.218874,6,0.166667,0.410303,0.364066,0.393588,0.407385,0.404663,0.402282,6
-209.587,0.99815,0.0257399,7,127,0,212.786,-0.518255,-0.449018,-0.331643,-0.384449,0.954041,-0.858399,-0.516216,0.0307137,6,0.166667,0.37004,0.370881,0.370502,0.38014,0.367114,0.369559,6
-213.459,0.993256,0.0270031,7,127,0,215.163,-0.607365,1.30408,1.00008,0.176387,-1.16108,0.1033,0.750142,0.00352718,6,0.166667,0.353711,0.353466,0.352803,0.351726,0.352744,0.353265,6
-220.856,0.999048,0.0279267,7,127,0,224.819,-0.29184,-2.05236,-0.714718,-2.12807,-0.331724,-0.734475,-3.69133,0.0210611,6,0.166667,0.417009,0.423873,0.416621,0.425844,0.423772,0.408642,6
-211.687,0.999868,0.0293685,7,255,0,223.158,-0.570832,0.395977,0.70399,1.31484,1.07292,0.231522,0.207071,0.00886993,6,0.166667,0.361855,0.362487,0.36374,0.363243,0.361519,0.361469,6
-217.973,0.998627,0.0309444,6,63,0,220.399,-0.410935,0.0853781,2.99403,0.436422,1.11124,-1.23028,1.76339,0.00284055,6,0.166667,0.398746,0.400728,0.398985,0.399445,0.39785,0.399889,6
-218.537,0.99365,0.0324723,4,15,0,219.233,-0.371271,0.118935,3.08702,0.453405,1.08079,-1.38405,1.70032,0.00271884,6,0.166667,0.408312,0.410263,0.408532,0.408944,0.407325,0.409351,6
-213.015,0.99984,0.0335831,7,127,0,222.859,-0.404422,-1.67214,-2.24316,0.606436,0.161793,0.401099,0.453546,0.0262909,6,0.166667,0.389745,0.38618,0.404084,0.401272,0.402784,0.403116,6
-211.707,0.97087,0.0353214,6,127,0,217.437,-0.332295,-1.11039,-0.918787,1.85608,0.105553,-0.117323,0.465466,0.0321517,6,0.166667,0.409025,0.410515,0.432264,0.418508,0.416765,0.421327,6
-210.791,0.971103,0.0342675,7,127,0,217.225,-0.537787,0.351093,0.646849,-2.43878,-0.421144,0.110048,-0.255262,0.0576424,6,0.166667,0.373425,0.377423,0.336626,0.36307,0.37018,0.365284,6
-212.915,0.994628,0.0332846,6,127,0,217.234,-0.394729,0.641712,0.794462,-2.09927,0.258364,-1.04276,-0.929214,0.00995433,6,0.166667,0.404117,0.404483,0.397564,0.403198,0.400085,0.400357,6
-211.593,1,0.0344794,7,127,0,215.154,-0.466779,-0.698515,-0.483181,1.89975,-0.0513557,1.32829,0.644322,0.100387,6,0.166667,0.368909,0.373956,0.431418,0.384158,0.417405,0.400809,6
-210.54,0.995752,0.0362156,6,127,0,215.332,-0.484604,0.497917,1.4685,1.31784,1.2246,0.507773,0.502638,0.0610036,6,0.166667,0.388356,0.402509,0.400301,0.398936,0.388499,0.388424,6
-209.375,0.992452,0.0375775,7,127,0,216.758,-0.329007,0.242866,-0.813892,-1.60645,-1.82221,-0.698224,-0.701351,0.178004,6,0.166667,0.429038,0.383697,0.350928,0.342231,0.388578,0.388446,6
-207.156,0.998752,0.0386247,6,63,0,212.324,-0.245463,-0.390398,0.342136,-0.460189,-1.13008,-1.69802,-0.17289,0.41314,6,0.166667,0.399691,0.473995,0.392793,0.329081,0.279492,0.421434,6
-208.817,0.997016,0.0403422,6,63,0,211.482,-0.450355,2.05293,0.364535,-1.04297,-1.13199,0.444009,-0.379085,0.259051,6,0.166667,0.520354,0.411947,0.327275,0.322218,0.416943,0.366199,6
-209.888,0.996613,0.0419118,6,63,0,212.524,-0.378107,1.12638,1.32824,-1.86606,0.204043,-0.252097,-0.469755,0.0889504,6,0.166667,0.430965,0.435374,0.367236,0.41097,0.401185,0.396543,6
-208.997,0.995358,0.0434653,6,127,0,213.778,-0.267315,-0.0184403,-1.13417,0.98073,-1.11567,-0.823706,-0.169096,0.296284,6,0.166667,0.432225,0.353577,0.505815,0.354831,0.374873,0.421306,6
-209.42,0.977622,0.0448995,6,63,0,213.308,-0.532633,0.366902,-0.324823,-0.556354,-2.13545,-0.00541339,0.35689,0.11353,6,0.166667,0.379663,0.36135,0.355306,0.315383,0.36976,0.379395,6
-207.446,0.999797,0.0443021,6,63,0,212.141,-0.543095,0.959719,0.564477,-0.613133,-1.26603,-0.80456,0.623064,0.16041,6,0.166667,0.403923,0.388755,0.344919,0.321655,0.338015,0.390991,6
-208.288,0.996964,0.0462368,6,63,0,210.438,-0.525302,-0.606439,-0.163907,0.906022,0.0683529,-0.658605,0.441842,0.0999667,6,0.166667,0.35757,0.367795,0.392997,0.37321,0.356373,0.381985,6
-210.868,0.992528,0.0478756,6,63,0,212.506,-0.342621,-0.100584,-0.219682,-0.4063,-1.20243,-1.84806,1.37442,0.0585741,6,0.166667,0.413743,0.412052,0.409407,0.398181,0.389154,0.434844,6
-207.115,0.984403,0.0489938,5,63,0,213.287,-0.637207,-0.0231448,1.1949,0.256883,-0.464548,-0.302072,0.683004,0.203014,6,0.166667,0.344816,0.402604,0.35777,0.324862,0.332138,0.377882,6
-207.278,0.972575,0.0491152,6,63,0,210.548,-0.131314,0.761683,-0.344024,-1.73503,-0.693797,-0.789648,-0.499572,0.998458,6,0.166667,0.652307,0.383479,0.134276,0.304907,0.28501,0.347484,6
-207.977,0.999997,0.0478167,6,63,0,210.882,-1.01629,0.197207,1.38737,-0.708712,0.448917,0.448426,0.806495,0.537184,6,0.166667,0.286928,0.432659,0.198293,0.315369,0.315312,0.358231,6
-208.845,0.989882,0.0497831,6,63,0,214.062,-0.466443,-0.7166,0.983623,-0.412351,-0.451286,0.482424,0.503155,0.462984,6,0.166667,0.310407,0.49724,0.341334,0.337293,0.439525,0.441891,6
-207.818,0.997817,0.0505382,5,31,0,210.686,-0.732297,-0.449044,1.15308,-0.282529,-0.649357,-0.173351,0.669216,0.320918,6,0.166667,0.293924,0.410414,0.305134,0.280761,0.312614,0.373429,6
-209.799,0.997966,0.0522733,6,63,0,211.635,-0.244348,-0.465489,-0.945486,0.338161,0.0441709,-0.869599,0.140142,0.062259,6,0.166667,0.43209,0.424772,0.444407,0.439893,0.425927,0.441365,6
-209.578,0.999165,0.0540527,6,63,0,212.008,-0.324998,1.02585,0.611548,0.196861,-1.35891,0.373376,0.646515,0.0734756,6,0.166667,0.437916,0.430438,0.422985,0.395358,0.426153,0.431068,6
-211.494,0.994216,0.0560168,5,31,0,213.894,-0.400837,0.538849,1.12672,0.791869,-2.25551,0.598505,0.134587,0.346636,6,0.166667,0.44669,0.497432,0.468455,0.234571,0.451807,0.412368,6
-208.437,0.994367,0.0573415,6,63,0,216.614,-0.40615,1.18431,0.269077,-0.196622,-2.05306,-1.03029,0.538993,0.19499,6,0.166667,0.456306,0.41249,0.390672,0.308642,0.352733,0.4253,6
