# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=21
# stan_version_patch=0
# init=random
# enable_random_init=1
# seed=639647342
# chain_id=3
# iter=2000
# warmup=1000
# save_warmup=1
# thin=1
# refresh=200
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.999
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=20
# sampler_t=NUTS(diag_e)
# sample_file=/Users/davidhodgson/Dropbox/My Mac (David’s MacBook Air)/Documents/research/covid/HERO/serobayes/include/asymp/loc_coded_adjusted_3.csv
# diagnostic_file=/Users/davidhodgson/Dropbox/My Mac (David’s MacBook Air)/Documents/research/covid/HERO/serobayes/include/asymp/loc_coded_adjusted_diag_3.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,beta_0,beta.1,beta.2,beta.3,beta.4,beta.5,beta.6,beta.7,beta.8,beta.9,beta.10,beta.11,beta.12,beta.13,beta.14,beta.15,beta.16,beta.17,beta.18,beta.19,sigma.1,sigma.2,sigma.3,sigma.4,p_beta_0,p_beta.1,p_beta.2,p_beta.3,p_beta.4,p_beta.5,p_beta.6,p_beta.7,p_beta.8,p_beta.9,p_beta.10,p_beta.11,p_beta.12,p_beta.13,p_beta.14,p_beta.15,p_beta.16,p_beta.17,p_beta.18,p_beta.19,p_sigma.1,p_sigma.2,p_sigma.3,p_sigma.4,g_beta_0,g_beta.1,g_beta.2,g_beta.3,g_beta.4,g_beta.5,g_beta.6,g_beta.7,g_beta.8,g_beta.9,g_beta.10,g_beta.11,g_beta.12,g_beta.13,g_beta.14,g_beta.15,g_beta.16,g_beta.17,g_beta.18,g_beta.19,g_sigma.1,g_sigma.2,g_sigma.3,g_sigma.4
-283.665,0.666667,0.0625,2,3,0,438.877,0.414877,1.42089,-1.64597,-0.792073,0.581465,1.62017,1.13748,-0.198436,-0.265363,1.57724,0.891735,1.6608,1.38921,1.39874,-0.12816,-0.0270026,0.100994,-1.25058,-1.58512,-0.454291,-1.42289,-0.37659,0.594476,-1.54173,5.55384,1.43648,0.984352,8.35918,-0.0253169,2.86289,3.10455,1.88794,0.25101,5.10571,1.78877,-1.23179,0.59266,-1.44336,-0.701755,-0.839365,-0.480386,0.567596,0.702824,-0.0131938,0.157087,11.0259,-5.08885,1.50115,66.7268,2.36606,-0.749721,92.4464,5.57584,23.0868,20.5739,4.22054,3.32311,35.5706,13.7529,1.6608,1.38921,1.39874,-0.12816,-0.0270026,0.100994,-1.25058,-1.58512,-0.454291,11.6685,62.639,-35.4643,9.17359
-283.665,0,5.46488,0,1,1,296.692,0.414877,1.42089,-1.64597,-0.792073,0.581465,1.62017,1.13748,-0.198436,-0.265363,1.57724,0.891735,1.6608,1.38921,1.39874,-0.12816,-0.0270026,0.100994,-1.25058,-1.58512,-0.454291,-1.42289,-0.37659,0.594476,-1.54173,-0.635128,-2.53653,-1.10758,-0.372396,-0.696272,-0.255679,0.599999,-0.441047,1.57445,-0.19591,0.513037,0.0954377,1.44328,0.677483,-0.631013,-0.925561,-0.818519,-2.39578,0.676577,-1.04125,1.24283,-0.0268339,-0.435597,0.688016,66.7268,2.36606,-0.749721,92.4464,5.57584,23.0868,20.5739,4.22054,3.32311,35.5706,13.7529,1.6608,1.38921,1.39874,-0.12816,-0.0270026,0.100994,-1.25058,-1.58512,-0.454291,11.6685,62.639,-35.4643,9.17359
-283.665,0,0.433702,0,1,1,302.439,0.414877,1.42089,-1.64597,-0.792073,0.581465,1.62017,1.13748,-0.198436,-0.265363,1.57724,0.891735,1.6608,1.38921,1.39874,-0.12816,-0.0270026,0.100994,-1.25058,-1.58512,-0.454291,-1.42289,-0.37659,0.594476,-1.54173,-1.07299,0.238995,2.46243,1.4171,-0.255357,0.55063,-1.02474,0.322331,2.88476,0.581612,0.0620099,1.15497,-0.0195371,0.842207,0.0919626,1.45471,1.6289,0.837534,0.0420718,2.17447,-2.07447,1.08713,-0.242076,0.533895,66.7268,2.36606,-0.749721,92.4464,5.57584,23.0868,20.5739,4.22054,3.32311,35.5706,13.7529,1.6608,1.38921,1.39874,-0.12816,-0.0270026,0.100994,-1.25058,-1.58512,-0.454291,11.6685,62.639,-35.4643,9.17359
-229.28,0.996594,0.0200999,6,63,0,295.996,-1.24027,1.38018,-1.554,-1.33563,0.144568,-0.180285,-1.01181,0.173361,0.578172,1.43245,-0.548151,0.982888,1.92557,0.00592028,-0.273133,-0.181991,-0.44108,-1.16613,-0.541969,-0.83391,-1.53355,-0.0748836,-4.83884,-1.82254,-1.96014,0.356191,-1.2276,-0.729305,0.854411,2.75836,3.09188,-0.810411,-1.09789,-0.870152,0.944788,1.4086,-0.122398,2.15514,0.123854,0.172785,0.67604,-0.558503,-1.81137,0.280756,0.865448,-1.72387,9.56425,-0.0208401,8.23144,1.0723,-1.88898,-1.33725,0.182656,-0.408486,1.51882,0.551897,2.05362,18.7909,-9.01889,0.982888,1.92557,0.00592028,-0.273133,-0.181991,-0.44108,-1.16613,-0.541969,-0.83391,-2.5501,29.2938,-1.12801,-0.291564
-224.848,0.999985,0.0127479,8,255,0,237.847,-0.0565409,0.275215,1.00492,-0.963915,-1.44296,1.03842,-1.35546,-0.592327,-0.198507,0.408136,1.11156,0.13103,-0.025744,-0.215028,1.54065,0.533446,-1.11696,-1.71775,-0.651943,0.421123,-1.4699,-2.83274,-5.13723,-1.8477,-0.428661,1.16851,-2.06774,-1.1386,0.660974,-0.710244,-0.130692,0.297639,1.01516,1.50159,-0.854364,0.994945,2.04727,0.0809375,-0.824132,-0.377893,-0.0790354,-0.637917,-0.347313,-1.02898,-0.594808,2.23706,-0.381511,-0.841387,18.9538,0.298495,1.8294,-0.684844,-1.40852,2.15145,1.561,0.178437,0.984593,1.34974,1.62318,0.13103,-0.025744,-0.215028,1.54065,0.533446,-1.11696,-1.71775,-0.651943,0.421123,-2.1883,-0.124644,-1.08666,-2.16761
-231.406,0.999477,0.00956769,9,511,0,248.869,-0.999714,1.26026,-0.990014,0.108983,1.70176,-0.311578,-0.559509,0.9457,0.422219,0.508674,-0.893404,0.306351,1.73327,0.824499,-1.3551,-1.05207,0.312917,-0.277193,-1.90299,0.834231,-2.52231,-0.494719,-6.64497,-2.37032,-0.383745,1.43331,0.433129,-1.56681,-0.425118,-0.161199,0.761042,-0.806488,-1.53052,1.55771,2.15595,0.427187,1.41674,0.409524,0.874955,-0.184762,-1.19455,-2.47169,-2.44238,1.24714,0.139587,-0.1758,-0.470057,0.862703,-26.7776,0.84463,-1.42357,-0.0477573,1.69536,-1.62675,-1.39203,0.201638,0.0523913,-11.2869,-5.05361,0.306351,1.73327,0.824499,-1.3551,-1.05207,0.312917,-0.277193,-1.90299,0.834231,-0.795,-2.5526,-1.00113,-1.25663
-236.024,1,0.007943,9,511,0,247.209,-0.554725,-1.10555,1.19629,-0.510861,-1.32242,0.684668,-0.119467,-1.13599,-0.789434,-0.109359,0.476578,0.232754,-1.50012,-1.5303,1.39009,1.28456,-0.604614,0.413099,1.79008,-1.19817,-4.20243,-2.91427,-7.99665,-0.647756,-1.57191,0.477021,0.406625,0.56568,-1.54383,-1.81879,1.30629,0.885291,-0.982391,-1.03049,-0.385637,-1.28137,-0.89294,1.4182,0.20784,-0.301965,0.592013,-0.248015,0.657556,0.644696,-0.979362,0.21027,0.865911,1.1092,-19.0334,-1.16391,1.14251,-0.535235,-1.32487,-0.328729,1.27679,-7.39349,-4.29378,-1.66137,0.593171,0.232754,-1.50012,-1.5303,1.39009,1.28456,-0.604614,0.413099,1.79008,-1.19817,-0.975522,-0.767823,-0.996996,8.58851
-228.055,0.999935,0.0070781,9,511,0,243.21,-0.70534,-0.123551,2.25445,-0.0239989,-0.320989,-0.339378,-1.86991,1.09923,-0.181999,0.334025,-0.848125,1.12855,-1.3465,-0.635275,0.247018,1.49629,0.171173,-0.462961,0.29033,-0.157884,-3.30182,-1.64428,-6.33045,-1.48163,-0.854198,1.15903,-0.679435,0.510342,1.28115,0.692434,-0.743197,0.460737,0.663967,-0.0909958,-1.03099,0.0206051,1.22971,1.42417,-1.36956,-0.97409,0.659729,-0.530295,-1.77002,1.19312,1.47523,1.70378,1.90957,-1.65903,-21.6288,-0.300493,2.10398,-0.088558,-0.32546,-2.83478,-3.1287,0.691498,-0.917827,-3.72338,-1.10071,1.12855,-1.3465,-0.635275,0.247018,1.49629,0.171173,-0.462961,0.29033,-0.157884,-0.888557,-1.85818,-0.989616,1.62636
-221.158,0.999873,0.00661887,9,511,0,234.1,-0.736909,0.536608,-0.669296,0.121245,0.254705,1.48354,0.446188,-0.482764,-0.444438,-0.661326,-0.429435,0.0102701,0.337501,0.986732,-1.00784,-0.412533,0.596754,0.974003,-0.0819929,-0.337853,-2.21885,-0.754339,-0.225176,-0.985981,-0.0222264,0.0672201,-2.06899,0.315773,0.379287,0.0690104,-0.17794,-0.617461,0.634372,0.846263,0.357641,-1.27838,1.34271,0.201574,0.247402,-1.47251,-0.504563,0.0138454,-0.284701,0.354438,1.62691,-0.122714,3.29387,-0.0971606,-21.953,0.156508,-1.18099,-17.2414,-0.452904,2.0134,-0.688323,-4.04609,-3.29843,-13.9607,1.71505,0.0102701,0.337501,0.986732,-1.00784,-0.412533,0.596754,0.974003,-0.0819929,-0.337853,-1.54238,6.56658,0.116737,1.60557
-217.868,0.99994,0.00640628,9,511,0,235.539,-0.773615,0.458229,-1.2582,1.35234,0.305437,0.945717,-0.83002,-0.320805,-0.984942,0.268119,-0.349876,1.64895,0.42185,0.826859,-0.715905,-0.16297,0.211753,1.03689,-0.70776,-0.291064,-1.36689,-0.454915,-2.19606,-1.46325,0.179266,0.178881,0.353887,-1.07072,-0.0326029,1.32833,2.29366,-0.553042,0.481337,-2.1573,0.528131,-2.19461,-0.00117812,0.541779,-0.725916,-0.4716,0.714381,0.238755,0.812163,-0.174838,-1.23175,-0.884197,3.4029,0.716181,-18.0751,-0.306572,-2.67117,0.207763,0.2045,-0.54651,-3.18305,-1.79571,-2.30003,-10.0297,-1.31101,1.64895,0.42185,0.826859,-0.715905,-0.16297,0.211753,1.03689,-0.70776,-0.291064,2.71652,-2.71487,-2.77531,-0.260045
