# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=21
# stan_version_patch=0
# init=random
# enable_random_init=1
# seed=536066880
# chain_id=1
# iter=2000
# warmup=1000
# save_warmup=1
# thin=1
# refresh=200
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.999
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=20
# sampler_t=NUTS(diag_e)
# sample_file=/Users/davidhodgson/Dropbox/My Mac (David’s MacBook Air)/Documents/research/covid/HERO/serobayes/include/asymp/loc_coded_unadjusted_1.csv
# diagnostic_file=/Users/davidhodgson/Dropbox/My Mac (David’s MacBook Air)/Documents/research/covid/HERO/serobayes/include/asymp/loc_coded_unadjusted_diag_1.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,beta_0,beta.1,beta.2,beta.3,beta.4,beta.5,beta.6,beta.7,beta.8,sigma.1,l,prod_val,marginal.1.1,marginal.2.1,marginal.3.1,marginal.4.1,marginal.5.1,marginal.6.1,marginal.7.1,marginal.8.1,index.1
-332.022,1,0.0625,2,3,0,513.958,-1.83692,0.114443,0.528335,1.30151,0.666939,1.89796,-0.812957,-1.17379,0.378206,1.65783,8,0.125,0.161489,0.276672,0.579509,0.324921,0.787442,0.039747,0.0222511,0.229715,8
-332.022,0,10.0182,0,1,1,337.16,-1.83692,0.114443,0.528335,1.30151,0.666939,1.89796,-0.812957,-1.17379,0.378206,1.65783,8,0.125,0.161489,0.276672,0.579509,0.324921,0.787442,0.039747,0.0222511,0.229715,8
-332.022,0,0.951493,0,1,1,336.927,-1.83692,0.114443,0.528335,1.30151,0.666939,1.89796,-0.812957,-1.17379,0.378206,1.65783,8,0.125,0.161489,0.276672,0.579509,0.324921,0.787442,0.039747,0.0222511,0.229715,8
-210.47,1,0.0488594,3,7,0,331.281,-0.602101,0.186616,0.607257,1.43446,0.769099,1.66603,0.0939801,-0.968763,0.0640009,0.391745,8,0.125,0.370751,0.409941,0.489962,0.425359,0.512637,0.362326,0.272573,0.359617,8
-211.355,0.986349,0.0333642,7,127,0,216.438,-0.528014,0.177452,0.862858,0.404017,-1.17753,-1.57192,-0.728287,0.191173,1.05461,0.0356054,8,0.125,0.372456,0.378177,0.374343,0.361251,0.358017,0.36495,0.37257,0.379784,8
-209.151,0.999872,0.0250707,7,127,0,212.552,-0.296768,-0.0636465,-0.143047,0.72887,-0.280933,-0.902031,-1.32857,-0.275653,0.81075,0.0778174,8,0.125,0.425137,0.423628,0.440274,0.42101,0.409275,0.401275,0.42111,0.441845,8
-209.371,0.998129,0.0213873,7,255,0,212.992,-0.561543,-0.37124,0.376719,-0.943135,-0.527672,-0.572266,0.401062,0.891146,0.119737,0.0672312,8,0.125,0.357438,0.369068,0.348656,0.355026,0.35434,0.369449,0.377158,0.365054,8
-216.175,0.997337,0.0192617,7,191,0,225.485,-0.431825,-0.455885,-3.31226,1.72615,-0.560477,-0.193076,-1.05562,-0.136941,-0.535836,0.125596,8,0.125,0.38011,0.299888,0.446449,0.377019,0.387917,0.362528,0.389593,0.377747,8
-215.458,0.999497,0.018039,8,255,0,223.163,-0.490142,0.214116,2.67051,-0.606146,2.00345,0.758013,1.33841,-1.04934,-0.361518,0.0414958,8,0.125,0.381955,0.406289,0.373953,0.39963,0.387297,0.393028,0.369658,0.376333,8
-214.927,0.994668,0.0175237,8,255,0,223.02,-0.347755,-0.45713,-1.82358,0.786235,-2.20868,0.0958966,-1.83435,0.266828,0.793369,0.249939,8,0.125,0.386509,0.309269,0.462261,0.289094,0.419753,0.308694,0.430193,0.462704,8
