# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=21
# stan_version_patch=0
# init=random
# enable_random_init=1
# seed=2020433332
# chain_id=3
# iter=2000
# warmup=1000
# save_warmup=1
# thin=1
# refresh=200
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.999
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=20
# sampler_t=NUTS(diag_e)
# sample_file=/Users/davidhodgson/Dropbox/My Mac (David’s MacBook Air)/Documents/research/covid/HERO/serobayes/include/asymp/job_grouped_unadjusted_3.csv
# diagnostic_file=/Users/davidhodgson/Dropbox/My Mac (David’s MacBook Air)/Documents/research/covid/HERO/serobayes/include/asymp/job_grouped_unadjusted_diag_3.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,beta_0,beta.1,beta.2,beta.3,beta.4,beta.5,beta.6,beta.7,beta.8,beta.9,sigma.1,l,prod_val,marginal.1.1,marginal.2.1,marginal.3.1,marginal.4.1,marginal.5.1,marginal.6.1,marginal.7.1,marginal.8.1,marginal.9.1,index.1
-228.254,1,0.125,5,31,0,246.381,-0.644002,0.406783,-1.3538,0.606419,-2.17194,-1.4596,-0.368378,2.2037,1.63886,1.88418,6.01161e-06,9,0.111111,0.344343,0.344341,0.344343,0.34434,0.34434,0.344342,0.344345,0.344345,0.344345,9
-228.254,0,10.0182,0,1,1,235.26,-0.644002,0.406783,-1.3538,0.606419,-2.17194,-1.4596,-0.368378,2.2037,1.63886,1.88418,6.01161e-06,9,0.111111,0.344343,0.344341,0.344343,0.34434,0.34434,0.344342,0.344345,0.344345,0.344345,9
-228.254,0,0.951493,0,1,1,230.799,-0.644002,0.406783,-1.3538,0.606419,-2.17194,-1.4596,-0.368378,2.2037,1.63886,1.88418,6.01161e-06,9,0.111111,0.344343,0.344341,0.344343,0.34434,0.34434,0.344342,0.344345,0.344345,0.344345,9
-223.387,0.997138,0.0488594,6,127,0,235.779,-0.401404,-0.520727,-1.75235,-0.421869,2.0856,0.0403231,-0.90074,-1.51626,-2.37908,-0.0114851,3.0212e-05,9,0.111111,0.400971,0.400962,0.400972,0.40099,0.400975,0.400969,0.400964,0.400958,0.400975,9
-220.732,0.999877,0.0330925,7,127,0,229.453,-0.456373,1.74211,1.66113,0.107901,-1.20641,-1.0337,0.990722,0.296201,0.914994,1.20422,3.36093e-05,9,0.111111,0.38786,0.38786,0.387847,0.387837,0.387838,0.387854,0.387849,0.387854,0.387856,9
-217.828,0.999754,0.0258808,7,127,0,224.913,-0.481535,-0.932923,-0.722343,0.223257,1.01183,1.3577,-1.18951,-1.77524,-0.539917,-0.538268,0.00021115,9,0.111111,0.381843,0.381854,0.381901,0.38194,0.381957,0.38183,0.381801,0.381863,0.381863,9
-217.408,0.99984,0.0220893,7,127,0,223.273,-0.398051,-0.489144,0.530266,0.166401,0.681128,0.341676,0.471783,-2.11615,-0.395835,-1.12369,0.00011009,9,0.111111,0.401768,0.401795,0.401785,0.401799,0.40179,0.401793,0.401725,0.40177,0.401751,9
-220.032,0.999975,0.0200109,7,127,0,222.199,-0.456819,-0.982335,1.41908,0.142507,-0.229442,0.64623,-0.869602,-2.24764,0.363725,-1.61673,8.02109e-05,9,0.111111,0.387722,0.387768,0.387743,0.387736,0.387753,0.387724,0.387698,0.387748,0.38771,9
-217.138,1,0.0189036,7,127,0,222.957,-0.453109,-0.858591,0.202062,-0.50022,-0.88882,0.867778,-0.73859,-2.14245,0.546823,-0.450288,0.000215301,9,0.111111,0.388578,0.388632,0.388596,0.388576,0.388666,0.388584,0.388512,0.38865,0.388599,9
-217.386,0.999107,0.0183969,8,255,0,223.619,-0.470966,1.30614,-1.64279,-1.31451,-0.840406,0.246408,0.776236,0.628591,-0.615113,1.73072,0.000805621,9,0.111111,0.384637,0.384074,0.384137,0.384227,0.384435,0.384536,0.384507,0.38427,0.384718,9
