# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=21
# stan_version_patch=0
# init=random
# enable_random_init=1
# seed=917402092
# chain_id=1
# iter=2000
# warmup=1000
# save_warmup=1
# thin=1
# refresh=200
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.999
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=20
# sampler_t=NUTS(diag_e)
# sample_file=/Users/davidhodgson/Dropbox/My Mac (David’s MacBook Air)/Documents/research/covid/HERO/serobayes/include/asymp/job_grouped_adjusted_1.csv
# diagnostic_file=/Users/davidhodgson/Dropbox/My Mac (David’s MacBook Air)/Documents/research/covid/HERO/serobayes/include/asymp/job_grouped_adjusted_diag_1.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,beta_0,beta.1,beta.2,beta.3,beta.4,beta.5,beta.6,beta.7,beta.8,beta.9,beta.10,beta.11,beta.12,beta.13,beta.14,beta.15,beta.16,beta.17,beta.18,beta.19,beta.20,sigma.1,sigma.2,sigma.3,sigma.4,p_beta_0,p_beta.1,p_beta.2,p_beta.3,p_beta.4,p_beta.5,p_beta.6,p_beta.7,p_beta.8,p_beta.9,p_beta.10,p_beta.11,p_beta.12,p_beta.13,p_beta.14,p_beta.15,p_beta.16,p_beta.17,p_beta.18,p_beta.19,p_beta.20,p_sigma.1,p_sigma.2,p_sigma.3,p_sigma.4,g_beta_0,g_beta.1,g_beta.2,g_beta.3,g_beta.4,g_beta.5,g_beta.6,g_beta.7,g_beta.8,g_beta.9,g_beta.10,g_beta.11,g_beta.12,g_beta.13,g_beta.14,g_beta.15,g_beta.16,g_beta.17,g_beta.18,g_beta.19,g_beta.20,g_sigma.1,g_sigma.2,g_sigma.3,g_sigma.4
-282.701,1,0.0625,4,15,0,994.763,0.895561,0.334214,-1.65295,0.251274,-0.559953,-1.25242,-0.0716113,-0.732173,0.0970107,0.94303,-1.58533,0.429308,0.783285,0.372751,1.58749,-1.26334,-1.34887,-1.73114,-0.114408,0.613824,0.621162,0.187478,-0.611533,-0.410908,-0.08605,3.6288,0.827031,-3.11749,8.6577,4.74139,0.950251,8.7771,-1.34108,6.342,4.28381,12.446,11.0419,-1.59924,0.298409,0.651912,1.42556,1.0743,0.145109,-0.0846429,0.807455,1.38196,13.4654,22.7265,4.1505,12.81,-14.5361,6.32756,-22.8492,-5.67384,0.985407,-34.6308,7.26125,-13.4399,5.84989,10.521,-17.9297,8.4017,0.783285,0.372751,1.58749,-1.26334,-1.34887,-1.73114,-0.114408,0.613824,0.621162,62.6828,28.8764,0.703071,31.2593
-282.701,0,10.0182,0,1,1,291.257,0.895561,0.334214,-1.65295,0.251274,-0.559953,-1.25242,-0.0716113,-0.732173,0.0970107,0.94303,-1.58533,0.429308,0.783285,0.372751,1.58749,-1.26334,-1.34887,-1.73114,-0.114408,0.613824,0.621162,0.187478,-0.611533,-0.410908,-0.08605,-0.387423,-0.0547531,-0.0340027,0.623568,-0.056174,-0.518206,0.362909,0.648901,0.811308,-0.628581,0.990274,-1.75237,0.0487685,-1.14442,-0.107594,1.43065,0.44674,-0.378998,-1.1303,-0.297239,0.64569,1.20116,-1.35906,-1.03297,-0.887104,-14.5361,6.32756,-22.8492,-5.67384,0.985407,-34.6308,7.26125,-13.4399,5.84989,10.521,-17.9297,8.4017,0.783285,0.372751,1.58749,-1.26334,-1.34887,-1.73114,-0.114408,0.613824,0.621162,62.6828,28.8764,0.703071,31.2593
-282.701,0,0.951493,0,1,1,292.553,0.895561,0.334214,-1.65295,0.251274,-0.559953,-1.25242,-0.0716113,-0.732173,0.0970107,0.94303,-1.58533,0.429308,0.783285,0.372751,1.58749,-1.26334,-1.34887,-1.73114,-0.114408,0.613824,0.621162,0.187478,-0.611533,-0.410908,-0.08605,0.216579,0.707412,-2.21784,0.180717,0.332371,-0.724887,0.470221,-0.550691,1.04988,-0.222313,1.96192,0.169645,-0.688093,1.72799,0.352412,0.00861054,-0.627594,0.034646,-0.397993,-0.741755,-0.595709,1.24063,-1.15584,-0.0569923,0.309046,-14.5361,6.32756,-22.8492,-5.67384,0.985407,-34.6308,7.26125,-13.4399,5.84989,10.521,-17.9297,8.4017,0.783285,0.372751,1.58749,-1.26334,-1.34887,-1.73114,-0.114408,0.613824,0.621162,62.6828,28.8764,0.703071,31.2593
-222.897,1,0.0488594,5,31,0,294.996,-0.137976,0.256853,-0.0905833,-0.985467,-0.86512,-0.942107,-0.456796,0.05442,-0.024663,0.157988,-0.446629,-0.6619,0.671831,-0.0466773,1.13108,-0.898719,-0.504039,-1.04319,0.211339,0.232945,0.30777,-1.54529,-0.864678,-0.722247,-2.32463,-2.93609,-0.560681,4.59619,-3.35904,-0.845378,0.860257,-1.30296,1.98825,-1.0852,-2.40426,3.36946,-3.32476,-0.411822,-0.974454,-1.32445,1.057,2.09642,1.84851,0.717684,-0.946413,-0.80466,-4.3399,-0.699881,-1.50482,-5.56181,-35.0523,-0.39626,-2.67034,-17.4651,-2.49755,-4.24983,-1.76284,-1.3777,-0.361715,0.0685527,-14.2245,-1.5895,0.671831,-0.0466773,1.13108,-0.898719,-0.504039,-1.04319,0.211339,0.232945,0.30777,3.04149,6.18876,15.5998,0.502818
-218.678,0.999481,0.0333642,6,127,0,240.559,0.446943,-0.546557,-0.548576,0.265792,-0.308875,-0.981674,-0.0633817,0.274785,-0.14045,0.0406493,-1.10362,-0.993533,0.655543,-1.11417,0.69117,-0.0535502,2.11091,-0.232049,-1.11039,-0.192742,0.766018,-0.975365,-0.745322,-0.921172,-1.88347,-1.89851,0.849959,-0.595461,-2.31284,-0.887501,-0.290106,-0.537961,-0.50846,0.468315,0.401923,-2.11597,1.45149,0.276295,1.16506,0.922284,-1.28208,-3.09166,-1.2999,1.54599,0.561291,-0.389532,-1.0663,2.40631,0.255352,-0.56711,18.2445,-0.420727,-2.94181,8.1633,1.45313,3.00743,1.28631,0.465341,2.24531,1.23472,3.15867,3.19054,0.655543,-1.11417,0.69117,-0.0535502,2.11091,-0.232049,-1.11039,-0.192742,0.766018,-5.25831,-9.3864,2.07548,-0.326788
-222.802,0.999947,0.0260717,7,127,0,230.101,-0.707562,0.346585,0.349421,0.80786,-0.0289042,-0.311029,0.0812708,0.0340091,-1.47343,-1.62638,1.57051,-0.668318,-0.0173969,1.27411,0.274271,-0.0705418,-2.77882,1.08738,0.151963,0.523418,-2.97478,-1.3838,-2.01369,-1.28676,-1.31948,0.117676,-0.543999,0.237269,-1.51366,-0.302538,-0.346172,-0.722423,1.17905,-0.809465,0.640075,-0.369963,-1.63211,0.792579,-0.45999,1.04422,-0.116038,0.61143,0.490113,-1.2552,0.136401,-1.17971,0.212902,-0.222375,0.483904,-0.284651,-4.62,0.0159582,-1.93488,0.00318205,-0.0712424,-0.158843,1.28749,-0.343813,-1.73321,-1.99197,0.93968,-0.559781,-0.0173969,1.27411,0.274271,-0.0705418,-2.77882,1.08738,0.151963,0.523418,-2.97478,-3.96445,-1.92976,-0.429105,1.64119
-223.67,0.996146,0.0222698,7,255,0,239.241,0.833288,-0.348393,0.330714,-0.497654,0.541073,0.110806,-1.3249,0.116113,0.23328,0.859215,-0.826789,-1.23742,-1.08239,0.767021,-2.09839,-0.456188,1.56083,-0.767678,0.426137,-1.0079,2.33624,-3.10512,0.104165,-1.72058,-2.0656,-0.845082,0.0218741,-0.674636,1.17685,0.078544,1.0542,-1.09238,-1.80765,0.380798,-1.49854,-0.906355,0.92602,-0.491011,1.72443,-0.615917,-0.2759,-2.35073,0.851436,0.351617,0.131448,-2.22634,0.613611,-1.70496,0.378472,0.703143,15.1839,-0.339524,0.0721047,2.20021,0.62151,0.674051,-0.91577,0.338543,1.23088,1.16849,12.0364,1.82545,-1.08239,0.767021,-2.09839,-0.456188,1.56083,-0.767678,0.426137,-1.0079,2.33624,-0.695709,-14.3154,-1.92839,-1.36844
-226.633,0.989203,0.0199465,7,127,0,239.164,0.508375,0.0580842,-0.514834,-0.612909,1.75908,1.31991,-1.43145,0.0656511,-0.450093,1.11766,-0.25368,-0.594847,-1.56005,0.635401,-1.73996,-0.448983,2.4133,0.116902,-0.25223,0.208063,1.04843,-2.69739,0.556556,-0.421647,-2.42147,-2.82641,0.555032,-0.716904,-0.730684,0.639801,0.193641,0.770557,-0.0452563,-0.916827,-0.202233,-0.197876,-1.15776,0.0213779,-0.455707,1.24516,0.204425,0.122545,1.16161,-0.820365,1.57624,-2.21916,0.15782,0.798546,0.669813,0.233681,10.8669,0.0206353,-1.06673,3.68401,3.01889,5.08536,-2.4334,0.0603817,0.0309623,1.32355,11.7587,5.46483,-1.56005,0.635401,-1.73996,-0.448983,2.4133,0.116902,-0.25223,0.208063,1.04843,1.71079,-5.90723,4.06988,-1.68655
-229.223,0.996659,0.018215,8,255,0,244.821,-0.86123,-0.621065,0.183764,0.912808,-1.31435,0.1495,0.676533,-0.504513,0.581729,-1.15608,1.76268,1.35895,0.509324,-0.697756,2.4077,0.240696,-2.27769,-1.13841,0.680938,0.34398,-1.08091,-3.06403,-1.3008,-3.33133,-4.06181,0.133595,0.952845,1.5922,-0.692218,-1.40615,0.729695,-0.578327,-1.53616,1.26782,-0.147952,-1.53412,-0.76446,2.03956,-0.100742,-0.464032,0.446875,-0.937103,1.48517,-0.561403,-0.885249,-0.271064,1.15692,-1.54216,-0.836153,-2.05658,4.84586,-0.664973,-0.18183,0.989063,-1.24427,0.724354,0.744707,-0.588714,0.777176,-1.0784,2.05554,2.6202,0.509324,-0.697756,2.4077,0.240696,-2.27769,-1.13841,0.680938,0.34398,-1.08091,-1.17454,1.50251,-0.702743,-0.887028
-217.08,0.996772,0.0175376,7,255,0,236.195,-0.0991427,-1.33147,-0.820703,-0.99055,-0.0952333,0.548899,-0.0154333,0.0518325,-1.02283,0.337894,0.107301,-1.20889,-0.650692,-0.11239,-0.882536,0.51712,0.265049,-0.362162,0.545905,-0.0349363,-0.298881,-2.45968,-0.826008,-0.604615,-2.51875,1.87726,0.830265,0.626945,0.0311766,1.32528,-1.23321,-0.629355,0.728195,-0.76813,1.0515,-0.443209,-2.21768,-0.493101,0.700776,-2.38618,-0.253768,2.27166,1.14784,-0.694856,-0.343197,1.08872,-0.450231,1.26862,1.64832,1.82327,-13.7624,-1.59402,-1.75782,-8.885,-0.315879,1.21786,-0.464689,-0.450782,-1.12657,0.306879,-5.4497,-1.63357,-0.650692,-0.11239,-0.882536,0.51712,0.265049,-0.362162,0.545905,-0.0349363,-0.298881,1.22512,-0.645086,6.97226,-1.08183
