# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=21
# stan_version_patch=0
# init=random
# enable_random_init=1
# seed=1480661404
# chain_id=4
# iter=2000
# warmup=1000
# save_warmup=1
# thin=1
# refresh=200
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.999
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=20
# sampler_t=NUTS(diag_e)
# sample_file=/Users/davidhodgson/Dropbox/My Mac (David’s MacBook Air)/Documents/research/covid/HERO/serobayes/include/asymp/c19zones_adjusted_4.csv
# diagnostic_file=/Users/davidhodgson/Dropbox/My Mac (David’s MacBook Air)/Documents/research/covid/HERO/serobayes/include/asymp/c19zones_adjusted_diag_4.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,beta_0,beta.1,beta.2,beta.3,beta.4,beta.5,beta.6,beta.7,beta.8,beta.9,beta.10,beta.11,beta.12,beta.13,beta.14,beta.15,beta.16,beta.17,sigma.1,sigma.2,sigma.3,sigma.4,l,prod_val,marginal.1.1,marginal.2.1,marginal.3.1,marginal.4.1,marginal.5.1,marginal.6.1,marginal.1.2,marginal.2.2,marginal.3.2,marginal.4.2,marginal.5.2,marginal.6.2,marginal.1.3,marginal.2.3,marginal.3.3,marginal.4.3,marginal.5.3,marginal.6.3,marginal.1.4,marginal.2.4,marginal.3.4,marginal.4.4,marginal.5.4,marginal.6.4,index.1,index.2,index.3,index.4
-518.173,0.666667,0.03125,2,3,0,835.498,-0.785854,-1.27423,0.215741,0.426336,0.168139,0.165432,0.622346,-1.40428,0.615398,1.93489,-0.298189,-0.0881712,-0.254947,0.482832,1.78128,0.307995,-1.44774,-1.00523,4.74917,3.37528,5.39678,0.872062,240,0.00181806,0.0488406,0.495099,0.577758,0.480249,0.479442,0.6763,0.209007,0.874066,0,0,0,0,0.505669,0.411517,0.41073,0.604052,0,0,0.474566,0.506265,0.393411,0.505754,0.616711,0,6,8,6,9
-518.173,0,5.46488,0,1,1,525.773,-0.785854,-1.27423,0.215741,0.426336,0.168139,0.165432,0.622346,-1.40428,0.615398,1.93489,-0.298189,-0.0881712,-0.254947,0.482832,1.78128,0.307995,-1.44774,-1.00523,4.74917,3.37528,5.39678,0.872062,240,0.00181806,0.0488406,0.495099,0.577758,0.480249,0.479442,0.6763,0.209007,0.874066,0,0,0,0,0.505669,0.411517,0.41073,0.604052,0,0,0.474566,0.506265,0.393411,0.505754,0.616711,0,6,8,6,9
-518.173,0,0.433702,0,1,1,527.507,-0.785854,-1.27423,0.215741,0.426336,0.168139,0.165432,0.622346,-1.40428,0.615398,1.93489,-0.298189,-0.0881712,-0.254947,0.482832,1.78128,0.307995,-1.44774,-1.00523,4.74917,3.37528,5.39678,0.872062,240,0.00181806,0.0488406,0.495099,0.577758,0.480249,0.479442,0.6763,0.209007,0.874066,0,0,0,0,0.505669,0.411517,0.41073,0.604052,0,0,0.474566,0.506265,0.393411,0.505754,0.616711,0,6,8,6,9
-329.441,1,0.0200999,5,31,0,532.079,-0.788598,-1.06804,0.388225,0.165315,0.233448,0.11977,0.19867,-1.30712,0.267469,1.73325,-0.239873,-0.044813,-0.29518,0.468803,1.75149,0.17818,-1.55177,-0.960569,3.95524,1.69626,6.05465,0.847417,240,0.00181806,0.0182662,0.60983,0.4654,0.509318,0.436437,0.486828,0.249503,0.703393,0,0,0,0,0.441971,0.501838,0.4025,0.471214,0,0,0.444741,0.454713,0.274438,0.463446,0.64983,0,6,8,6,9
-239.029,1,0.0128726,4,15,0,339.708,-1.10059,-0.528652,0.403182,0.145706,0.225421,0.03084,0.265711,-0.596204,-0.189232,1.65833,-0.31896,-0.153288,-0.249533,0.536801,1.68434,0.342021,-1.56097,-0.776426,2.43267,0.817399,6.09198,0.668472,240,0.00181806,0.162602,0.608688,0.467223,0.511409,0.404683,0.53375,0.437359,0.508162,0,0,0,0,0.473478,0.578717,0.326359,0.629638,0,0,0.450418,0.485037,0.36028,0.418242,0.68013,0,6,8,6,9
-213.312,0.996683,0.00966578,7,127,0,249.74,-0.571486,0.957413,0.074949,-0.337335,-0.0868857,0.110666,0.210903,0.779846,-0.897125,0.71283,-1.18864,-0.641023,1.10548,0.0280894,0.676895,-0.0276289,-0.854457,-0.34186,0.689171,0.872398,2.25267,0.381931,240,0.00181806,0.465975,0.342384,0.289526,0.321147,0.347149,0.360657,0.478318,0.190627,0,0,0,0,0.282882,0.394407,0.489822,0.538664,0,0,0.347728,0.355185,0.39857,0.276724,0.393376,0,6,8,6,9
-217.596,0.999962,0.00795826,9,511,0,224.957,-0.162613,1.58278,0.347037,-2.39133,-0.348043,-0.357344,-0.474527,0.690331,-0.962883,-1.22461,1.51655,0.517153,-1.33457,0.0585823,-0.777252,0.554888,0.133518,0.97639,0.494628,0.138612,0.120917,0.111179,240,0.00181806,0.592536,0.44226,0.171112,0.360501,0.359449,0.34631,0.407992,0.35643,0,0,0,0,0.366025,0.42223,0.421968,0.418677,0,0,0.386428,0.38349,0.413029,0.371336,0.364885,0,6,8,6,9
-222.25,0.999835,0.0070911,9,511,0,228.021,-0.475373,1.59215,-0.246317,-1.72767,-0.180202,-0.17904,0.669585,1.05278,0.503548,0.208451,1.70494,0.957059,-0.49875,0.575618,-0.494694,1.37846,1.60265,1.14437,0.286956,0.0568649,0.0544331,0.118346,240,0.00181806,0.507008,0.377808,0.284252,0.382272,0.382351,0.441182,0.410175,0.402744,0,0,0,0,0.398579,0.418662,0.418677,0.42981,0,0,0.388139,0.411924,0.422805,0.407234,0.398942,0,6,8,6,9
-217.548,0.99997,0.00662905,9,511,0,234.137,0.564076,-0.122922,1.16748,-0.297084,-0.952808,-0.498745,0.0484998,-0.630141,-0.478644,0.140562,-1.13138,-0.718741,-0.172224,0.85426,-0.812432,-0.495805,-1.67747,1.14915,0.170245,1.02937,0.648761,0.409415,240,0.00181806,0.405311,0.458615,0.398255,0.372084,0.390138,0.412294,0.391646,0.428922,0,0,0,0,0.414997,0.317493,0.383887,0.469772,0,0,0.387428,0.441243,0.374851,0.389365,0.45047,0,6,8,6,9
-214.038,0.999962,0.00641814,9,511,0,224.264,-0.0695931,0.864016,0.440933,-0.660455,0.422545,-0.739518,-0.0406191,0.164448,-1.41327,-1.43552,0.545465,0.0284412,1.02799,-0.730286,0.201476,1.02712,0.946871,0.459274,0.639657,0.142777,0.40933,0.148452,240,0.00181806,0.525925,0.459045,0.296897,0.456154,0.286537,0.384797,0.425173,0.372968,0,0,0,0,0.391257,0.496748,0.383813,0.451061,0,0,0.397325,0.421568,0.428756,0.374404,0.373656,0,6,8,6,9
