# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=21
# stan_version_patch=0
# init=random
# enable_random_init=1
# seed=1929026750
# chain_id=1
# iter=2000
# warmup=1000
# save_warmup=1
# thin=1
# refresh=200
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.999
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=20
# sampler_t=NUTS(diag_e)
# sample_file=/Users/davidhodgson/Dropbox/My Mac (David’s MacBook Air)/Documents/research/covid/HERO/serobayes/include/asymp/c19zones_unadjusted_1.csv
# diagnostic_file=/Users/davidhodgson/Dropbox/My Mac (David’s MacBook Air)/Documents/research/covid/HERO/serobayes/include/asymp/c19zones_unadjusted_diag_1.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,beta_0,beta.1,beta.2,beta.3,beta.4,beta.5,beta.6,sigma.1,l,prod_val,marginal.1.1,marginal.2.1,marginal.3.1,marginal.4.1,marginal.5.1,marginal.6.1,index.1
-240.484,0.2,0.25,3,15,0,248.509,-1.49563,-0.425372,-0.579748,-0.944564,0.640877,-1.17436,1.74604,0.316124,6,0.166667,0.163817,0.157241,0.142555,0.21534,0.133904,0.280161,6
-240.484,0,2.33931,0,1,1,242.571,-1.49563,-0.425372,-0.579748,-0.944564,0.640877,-1.17436,1.74604,0.316124,6,0.166667,0.163817,0.157241,0.142555,0.21534,0.133904,0.280161,6
-213.155,0.948593,0.144375,4,15,0,235.739,-0.372389,1.78193,0.232071,0.943658,1.06216,0.296242,-0.469094,0.00375509,6,0.166667,0.409581,0.408174,0.40882,0.408928,0.408233,0.407538,6
-213.643,0.91828,0.0725955,6,63,0,218.274,-0.275738,-2.12767,0.482908,-1.02871,-0.734141,-1.56315,0.593924,0.0270218,6,0.166667,0.417455,0.434703,0.424693,0.426639,0.421169,0.43544,6
-212.366,0.999998,0.0403887,6,127,0,216.978,-0.594932,0.571881,-0.255104,0.572209,-0.107213,-0.14592,-0.91705,0.0021115,6,0.166667,0.355781,0.355381,0.355781,0.355452,0.355434,0.355061,6
-214.184,0.996964,0.0318734,6,127,0,217.586,-0.309853,0.230041,-0.512568,-0.0515025,-0.411275,1.86924,0.331607,0.00105835,6,0.166667,0.42321,0.423018,0.423137,0.423044,0.423633,0.423236,6
-208.43,0.997808,0.0271247,7,127,0,215.53,-0.414745,-0.286864,0.206336,0.177595,0.367504,-1.7412,-0.34245,0.0930006,6,0.166667,0.391402,0.402381,0.401738,0.40599,0.359697,0.390171,6
-208.991,0.997906,0.0245009,7,127,0,212.728,-0.466693,0.542987,0.694658,-1.7803,-1.87056,-0.352401,0.0846351,0.606353,6,0.166667,0.465691,0.488631,0.175638,0.167855,0.336178,0.397624,6
-210.069,0.997441,0.0230401,7,127,0,213.014,-0.289097,-0.86984,-0.99807,0.453949,0.298494,-1.08559,-0.536628,0.0553223,6,0.166667,0.416485,0.414762,0.434385,0.432273,0.413588,0.420972,6
-213.207,0.999651,0.0222634,7,127,0,215.087,-0.300295,0.283252,0.789975,1.46836,-0.339346,0.454726,-2.0391,0.0152514,6,0.166667,0.426542,0.428433,0.430968,0.424221,0.427181,0.417901,6
-210.227,0.999834,0.022121,7,127,0,214.116,-0.358304,0.0891614,0.329923,1.59316,-0.161132,0.10861,-1.24538,0.0444445,6,0.166667,0.41233,0.414925,0.428617,0.409637,0.412539,0.398036,6
-211.374,0.999966,0.0223337,7,255,0,213.855,-0.399347,-0.313361,1.3043,-0.485202,0.356252,1.97476,-0.584024,0.0493138,6,0.166667,0.397762,0.417018,0.395734,0.405698,0.425077,0.394569,6
-211.173,0.999938,0.0228171,7,255,0,213.815,-0.474931,0.34124,-1.66936,0.0161191,-0.342175,-1.69115,0.31108,0.0281462,6,0.166667,0.385723,0.372404,0.383557,0.381175,0.372261,0.385522,6
-210.593,0.996901,0.023508,7,127,0,214.941,-0.439804,-0.259816,0.641815,0.0772114,-2.07445,-0.123139,-0.247762,0.561512,6,0.166667,0.357624,0.480156,0.402166,0.167335,0.37544,0.35918,6
-207.366,0.999998,0.0241439,6,63,0,212.918,-0.508102,0.347654,-0.200911,0.320985,-0.523921,-0.14634,-0.554633,0.209348,6,0.166667,0.392856,0.365827,0.391526,0.350286,0.368481,0.348824,6
-208.567,0.999751,0.0251566,7,127,0,211.249,-0.386414,1.87195,-0.217023,-0.113479,-0.25459,-0.505818,-0.671515,0.478994,6,0.166667,0.624863,0.379807,0.391558,0.375578,0.347806,0.330026,6
-209.012,0.999945,0.0262822,6,63,0,210.549,-0.261541,2.12875,-0.462225,-0.255346,-0.295459,-0.238319,-0.509319,0.37601,6,0.166667,0.631554,0.392851,0.411552,0.407904,0.413103,0.388636,6
-208.938,0.994711,0.027543,7,127,0,213.194,-0.548775,-1.30604,1.09663,-0.966117,-0.629556,-0.948835,0.291687,0.300833,6,0.166667,0.280563,0.445499,0.301658,0.323405,0.302755,0.386743,6
-209.163,0.988146,0.0284595,7,127,0,213.086,-0.261782,0.187039,0.825946,0.464008,0.206335,-0.283917,-0.657846,0.0644455,6,0.166667,0.43789,0.44805,0.442289,0.438196,0.430434,0.424537,6
-210.257,0.99373,0.0288727,6,127,0,214.626,-0.282448,-0.451887,2.13299,0.553402,-0.246377,-1.12086,-0.205269,0.133342,6,0.166667,0.415153,0.500492,0.448024,0.421821,0.393671,0.423159,6
-208.509,0.998852,0.0298223,7,127,0,213.15,-0.255168,0.136761,-1.13167,-0.499396,-0.779339,-0.146538,0.117993,0.23446,6,0.166667,0.444455,0.372735,0.407996,0.392243,0.42812,0.443368,6
-207.132,0.994307,0.0312941,7,127,0,210.638,-0.441789,1.04571,0.779299,-0.31262,-0.267676,-1.22845,-0.271736,0.57366,6,0.166667,0.539441,0.501316,0.349525,0.35541,0.241129,0.354876,6
-207.355,0.999991,0.0324084,6,63,0,208.691,-0.636635,0.426135,-0.290075,-0.48376,0.109183,0.428791,0.502105,0.308474,6,0.166667,0.376323,0.326048,0.313058,0.353668,0.376516,0.381839,6
-209.792,0.986342,0.0341265,6,127,0,212.693,-0.622649,1.04324,0.460094,0.0691851,1.37178,-0.590195,-0.545412,0.137257,6,0.166667,0.38238,0.363664,0.35134,0.393085,0.331002,0.332364,6
-206.367,0.996647,0.034539,6,63,0,211.339,-0.418225,-0.130942,0.543667,-0.852985,-0.23461,0.159002,0.457743,0.353672,6,0.166667,0.38591,0.443753,0.327415,0.377259,0.410478,0.436265,6
-206.449,0.999817,0.0360091,6,63,0,209.13,-0.436454,1.24835,-0.342002,0.341542,-0.387304,-0.684483,0.294873,0.352003,6,0.166667,0.500743,0.364279,0.421595,0.360594,0.336843,0.417594,6
-212.57,0.966299,0.0378658,7,127,0,215.341,-0.67519,-1.06036,1.07908,-0.286232,-0.0879987,0.168817,0.000873741,0.00752527,6,0.166667,0.335554,0.339153,0.336854,0.337188,0.33762,0.337337,6
-210.626,0.999871,0.036218,7,127,0,216.16,-0.26908,1.12606,-0.748936,0.392376,-1.00178,0.295382,0.598112,0.0471647,6,0.166667,0.446217,0.424481,0.437682,0.421571,0.436557,0.440072,6
-210.37,0.999845,0.0380716,7,127,0,213.573,-0.312211,0.0969039,0.160793,-0.533003,1.15945,0.399817,-1.5949,0.0858954,6,0.166667,0.424607,0.425949,0.411445,0.447044,0.430976,0.38955,6
-212.295,0.959405,0.0399874,7,127,0,216.736,-0.608515,0.141882,-1.42243,-0.399628,1.39984,0.356845,-0.866557,0.0199073,6,0.166667,0.353043,0.345963,0.350585,0.358783,0.354021,0.348471,6
-210.784,0.999913,0.0375675,6,127,0,217.685,-0.406589,0.717755,0.880603,0.177913,1.17351,0.710732,1.45127,0.0361687,6,0.166667,0.405975,0.407397,0.401275,0.409957,0.405914,0.412389,6
-211.433,0.991991,0.0394392,6,127,0,214.072,-0.594294,0.545293,0.915829,0.192183,1.383,0.692043,1.41801,0.0291507,6,0.166667,0.359301,0.361791,0.356935,0.364942,0.360287,0.365178,6
-218.059,0.986633,0.0404965,6,63,0,221.174,-0.420101,1.24731,2.70835,0.438016,-0.159459,0.356277,2.92068,0.00952527,6,0.166667,0.399339,0.402682,0.397491,0.396129,0.397305,0.403168,6
-211.291,0.984235,0.0409708,6,63,0,221.051,-0.60488,1.00438,1.73881,-0.220821,0.615709,-0.372639,1.64014,0.0471774,6,0.166667,0.364127,0.372186,0.350852,0.359892,0.349222,0.371099,6
-207.456,0.999912,0.0411768,6,63,0,214.48,-0.541398,0.622265,1.36165,-0.27713,0.690028,-0.865161,0.590171,0.163375,6,0.166667,0.391804,0.420935,0.357398,0.394445,0.335649,0.390555,6
-206.711,0.982087,0.0431172,5,63,0,210.214,-0.606382,0.799985,0.781807,-1.20516,0.165205,0.462835,0.311025,0.869266,6,0.166667,0.52224,0.518296,0.160571,0.386328,0.449162,0.416777,6
-205.11,1,0.0430613,5,31,0,210.196,-0.596877,0.892722,0.286832,-0.197657,-0.157605,-0.28991,0.36774,0.382583,6,0.166667,0.43651,0.380568,0.337938,0.341375,0.330087,0.387891,6
-206.536,0.992013,0.0450411,5,47,0,208.546,-0.465263,0.206269,-0.257771,-1.34158,-0.0732296,-0.212527,0.159857,0.261964,6,0.166667,0.398618,0.369866,0.306462,0.381203,0.372633,0.395707,6
-208.757,0.998298,0.0461167,6,63,0,210.39,-0.382476,-0.848148,1.45925,0.132205,0.286698,-0.460636,-0.473265,0.304699,6,0.166667,0.345042,0.515534,0.415277,0.426751,0.37219,0.371292,6
-208.731,0.99695,0.0479558,6,63,0,212.022,-0.568603,2.5255,0.273171,-0.821023,-0.49487,0.0608755,0.110903,0.221777,6,0.166667,0.497874,0.375658,0.320672,0.336629,0.364682,0.367256,6
-212.16,0.966397,0.0496614,6,63,0,218.857,-0.484989,-0.776114,0.856807,-0.420262,2.02763,0.177015,0.703921,0.291921,6,0.166667,0.329256,0.441551,0.35259,0.526705,0.393335,0.430576,6
