# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=21
# stan_version_patch=0
# init=random
# enable_random_init=1
# seed=1480661404
# chain_id=1
# iter=2000
# warmup=1000
# save_warmup=1
# thin=1
# refresh=200
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.999
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=20
# sampler_t=NUTS(diag_e)
# sample_file=/Users/davidhodgson/Dropbox/My Mac (David’s MacBook Air)/Documents/research/covid/HERO/serobayes/include/asymp/c19zones_adjusted_1.csv
# diagnostic_file=/Users/davidhodgson/Dropbox/My Mac (David’s MacBook Air)/Documents/research/covid/HERO/serobayes/include/asymp/c19zones_adjusted_diag_1.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,beta_0,beta.1,beta.2,beta.3,beta.4,beta.5,beta.6,beta.7,beta.8,beta.9,beta.10,beta.11,beta.12,beta.13,beta.14,beta.15,beta.16,beta.17,sigma.1,sigma.2,sigma.3,sigma.4,l,prod_val,marginal.1.1,marginal.2.1,marginal.3.1,marginal.4.1,marginal.5.1,marginal.6.1,marginal.1.2,marginal.2.2,marginal.3.2,marginal.4.2,marginal.5.2,marginal.6.2,marginal.1.3,marginal.2.3,marginal.3.3,marginal.4.3,marginal.5.3,marginal.6.3,marginal.1.4,marginal.2.4,marginal.3.4,marginal.4.4,marginal.5.4,marginal.6.4,index.1,index.2,index.3,index.4
-664.425,1,0.03125,3,7,0,1137.17,-1.87207,-0.179096,0.545466,0.219013,0.906665,0.829926,-1.67228,-0.286484,-1.24373,1.9887,1.86363,-0.353401,-0.309288,-0.571245,-1.25608,-0.819073,1.94213,1.15459,3.97125,1.10448,3.41518,0.621889,240,0.00181806,0.15672,0.570707,0.361647,0.761908,0.728589,0.000809894,0.444832,0.348662,0,0,0,0,0.390103,0.597785,0.580383,0.00414922,0,0,0.464585,0.320838,0.405108,0.34773,0.516359,0,6,8,6,9
-664.425,0,10.0182,0,1,1,679.674,-1.87207,-0.179096,0.545466,0.219013,0.906665,0.829926,-1.67228,-0.286484,-1.24373,1.9887,1.86363,-0.353401,-0.309288,-0.571245,-1.25608,-0.819073,1.94213,1.15459,3.97125,1.10448,3.41518,0.621889,240,0.00181806,0.15672,0.570707,0.361647,0.761908,0.728589,0.000809894,0.444832,0.348662,0,0,0,0,0.390103,0.597785,0.580383,0.00414922,0,0,0.464585,0.320838,0.405108,0.34773,0.516359,0,6,8,6,9
-664.425,0,0.951493,0,1,1,676.489,-1.87207,-0.179096,0.545466,0.219013,0.906665,0.829926,-1.67228,-0.286484,-1.24373,1.9887,1.86363,-0.353401,-0.309288,-0.571245,-1.25608,-0.819073,1.94213,1.15459,3.97125,1.10448,3.41518,0.621889,240,0.00181806,0.15672,0.570707,0.361647,0.761908,0.728589,0.000809894,0.444832,0.348662,0,0,0,0,0.390103,0.597785,0.580383,0.00414922,0,0,0.464585,0.320838,0.405108,0.34773,0.516359,0,6,8,6,9
-252.551,1,0.0488594,3,7,0,605.126,-1.73967,0.145658,0.65593,0.49376,0.899572,0.608518,-0.718086,-0.186411,-1.09469,1.84646,1.70365,-0.304937,-0.359323,-0.520416,-1.24463,-0.729605,1.87851,1.08534,0.834111,1.10451,3.70832,0.605731,240,0.00181806,0.409415,0.491939,0.465663,0.531054,0.484267,0.278885,0.504919,0.315348,0,0,0,0,0.42706,0.727403,0.516081,0.0117596,0,0,0.496521,0.340864,0.402189,0.299578,0.634909,0,6,8,6,9
-219.084,1,0.0333642,4,15,0,264.935,-1.16525,-0.254762,0.506989,0.239382,0.763332,0.190492,0.292953,-0.203837,-0.582276,1.36294,1.56107,-0.364653,-0.643169,-0.483967,-1.05725,-1.46748,1.58987,0.827801,0.303773,1.02483,2.91732,0.35092,240,0.00181806,0.324075,0.373658,0.355862,0.391045,0.352652,0.359393,0.396699,0.31267,0,0,0,0,0.3386,0.695944,0.308007,0.373706,0,0,0.361442,0.36938,0.331642,0.304281,0.455987,0,6,8,6,9
-221.819,0.999891,0.0261121,7,127,0,230.006,-0.317521,1.24371,0.273765,-2.0234,-1.228,0.233005,-0.890338,0.310007,-0.173118,-1.18017,-1.00164,-1.74465,-1.55086,2.34669,1.19945,0.353522,-1.70915,0.903922,0.191847,0.50688,0.0798743,0.443744,240,0.00181806,0.43364,0.389539,0.292848,0.324811,0.387719,0.338903,0.385994,0.331062,0,0,0,0,0.351687,0.365933,0.39269,0.372053,0,0,0.416562,0.303729,0.424786,0.374035,0.277506,0,6,8,6,9
-215.746,0.999521,0.0223015,7,127,0,228.611,-0.371215,0.282237,-0.477214,-0.892639,-0.923091,-0.0458735,0.131268,0.338198,-0.477932,1.18562,-0.580405,-1.34913,-0.0807739,0.76112,0.454509,-0.122719,-1.63082,0.936465,0.738072,0.702015,0.113787,0.511356,240,0.00181806,0.467758,0.338278,0.275202,0.270867,0.410226,0.44109,0.434951,0.307244,0,0,0,0,0.374212,0.373444,0.395791,0.400357,0,0,0.350918,0.370973,0.394944,0.30416,0.496996,0,6,8,6,9
-223.31,0.99349,0.0201863,7,127,0,229.37,-0.535097,1.92424,2.17724,-0.177089,0.678094,0.706957,0.526923,0.0875323,-0.627194,-1.50146,-0.411705,1.09408,1.20546,-0.766979,1.49922,1.81141,1.99835,-0.10049,0.120593,0.868101,1.65187,0.248153,240,0.00181806,0.433419,0.440005,0.379802,0.401359,0.402093,0.397519,0.465122,0.333458,0,0,0,0,0.293486,0.620146,0.630961,0.561811,0,0,0.449492,0.439767,0.416242,0.378801,0.334827,0,6,8,6,9
-221.205,0.99239,0.0186862,8,255,0,238.632,-0.868692,-0.536317,0.370009,0.517751,-0.669504,0.264849,-0.0486521,0.211836,-0.0866992,1.07501,0.798407,0.778474,-2.79366,-0.250343,-0.290809,1.17479,1.65589,-1.44061,0.285362,0.877675,0.0988073,0.218189,240,0.00181806,0.29817,0.35462,0.364272,0.290318,0.347821,0.327921,0.352602,0.295585,0,0,0,0,0.332577,0.307266,0.327098,0.320371,0,0,0.329298,0.314469,0.326765,0.312694,0.36916,0,6,8,6,9
-218.892,0.999675,0.0177525,7,127,0,229.707,-0.610496,0.695192,0.3175,0.884792,-0.513039,-0.322443,0.724298,-0.22071,-0.691695,-0.47053,1.47561,0.169846,-1.50331,1.29704,0.297872,-0.716231,-0.408981,-0.674521,0.0856219,0.560702,0.163398,0.115921,240,0.00181806,0.329647,0.322584,0.333222,0.307335,0.310799,0.330195,0.345688,0.288768,0,0,0,0,0.333937,0.285415,0.29178,0.328158,0,0,0.316759,0.343423,0.319302,0.30762,0.313077,0,6,8,6,9
