# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=21
# stan_version_patch=0
# init=random
# enable_random_init=1
# seed=639647342
# chain_id=2
# iter=2000
# warmup=1000
# save_warmup=1
# thin=1
# refresh=200
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.999
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=20
# sampler_t=NUTS(diag_e)
# sample_file=/Users/davidhodgson/Dropbox/My Mac (David’s MacBook Air)/Documents/research/covid/HERO/serobayes/include/asymp/loc_coded_adjusted_2.csv
# diagnostic_file=/Users/davidhodgson/Dropbox/My Mac (David’s MacBook Air)/Documents/research/covid/HERO/serobayes/include/asymp/loc_coded_adjusted_diag_2.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,beta_0,beta.1,beta.2,beta.3,beta.4,beta.5,beta.6,beta.7,beta.8,beta.9,beta.10,beta.11,beta.12,beta.13,beta.14,beta.15,beta.16,beta.17,beta.18,beta.19,sigma.1,sigma.2,sigma.3,sigma.4,l,prod_val,marginal.1.1,marginal.2.1,marginal.3.1,marginal.4.1,marginal.5.1,marginal.6.1,marginal.7.1,marginal.8.1,marginal.1.2,marginal.2.2,marginal.3.2,marginal.4.2,marginal.5.2,marginal.6.2,marginal.7.2,marginal.8.2,marginal.1.3,marginal.2.3,marginal.3.3,marginal.4.3,marginal.5.3,marginal.6.3,marginal.7.3,marginal.8.3,marginal.1.4,marginal.2.4,marginal.3.4,marginal.4.4,marginal.5.4,marginal.6.4,marginal.7.4,marginal.8.4,index.1,index.2,index.3,index.4
-245.903,0.929926,0.125,3,7,0,277.67,0.697875,0.798424,1.69544,1.22264,-1.96421,-1.1466,-0.961939,-0.0664067,-1.29844,2.80791e-05,1.16001,0.60109,-0.377391,0.0196821,0.854188,1.1929,1.18159,-0.220339,1.37949,1.33096,0.466464,0.344491,0.149561,1.02762,320,0.000315844,0.6155,0.702796,0.658015,0.328147,0.409663,0.428935,0.52444,0.394014,0.487281,0.574524,0,0,0,0,0,0,0.552291,0.448196,0.474803,0.480839,0,0,0,0,0.432521,0.475817,0.680161,0.397615,0.693866,0,0,0,8,10,6,9
-245.903,0,8.81978,0,1,1,253.113,0.697875,0.798424,1.69544,1.22264,-1.96421,-1.1466,-0.961939,-0.0664067,-1.29844,2.80791e-05,1.16001,0.60109,-0.377391,0.0196821,0.854188,1.1929,1.18159,-0.220339,1.37949,1.33096,0.466464,0.344491,0.149561,1.02762,320,0.000315844,0.6155,0.702796,0.658015,0.328147,0.409663,0.428935,0.52444,0.394014,0.487281,0.574524,0,0,0,0,0,0,0.552291,0.448196,0.474803,0.480839,0,0,0,0,0.432521,0.475817,0.680161,0.397615,0.693866,0,0,0,8,10,6,9
-245.903,0,0.806631,0,1,1,259.045,0.697875,0.798424,1.69544,1.22264,-1.96421,-1.1466,-0.961939,-0.0664067,-1.29844,2.80791e-05,1.16001,0.60109,-0.377391,0.0196821,0.854188,1.1929,1.18159,-0.220339,1.37949,1.33096,0.466464,0.344491,0.149561,1.02762,320,0.000315844,0.6155,0.702796,0.658015,0.328147,0.409663,0.428935,0.52444,0.394014,0.487281,0.574524,0,0,0,0,0,0,0.552291,0.448196,0.474803,0.480839,0,0,0,0,0.432521,0.475817,0.680161,0.397615,0.693866,0,0,0,8,10,6,9
-220.431,0.999919,0.0405373,6,63,0,260.849,-0.352858,0.164819,0.346517,-0.203475,-1.58657,1.65327,-1.12749,-2.12141,0.844912,0.359473,-0.691574,0.448215,1.48094,0.89038,0.552618,-0.634818,-0.476441,-0.0214385,-0.153865,0.778311,0.0825339,0.317393,0.214501,0.062815,320,0.000315844,0.407654,0.411217,0.400463,0.373854,0.437087,0.382611,0.363753,0.421035,0.430376,0.352186,0,0,0,0,0,0,0.387898,0.320844,0.48447,0.342456,0,0,0,0,0.425346,0.384042,0.369638,0.413206,0.405964,0,0,0,8,10,6,9
-221.209,0.991799,0.0273042,7,127,0,234.361,1.06086,0.65902,0.145432,-1.09886,-0.388684,0.894752,-1.56586,-0.663205,1.94293,-0.811679,-1.6134,0.629378,0.629167,-0.523665,-0.250038,-1.39837,-1.02776,1.36151,0.412929,0.299936,0.128783,1.01991,0.340028,0.188811,320,0.000315844,0.435791,0.420663,0.38464,0.40508,0.442773,0.3714,0.397138,0.474046,0.486332,0.300892,0,0,0,0,0,0,0.377617,0.432665,0.535273,0.342888,0,0,0,0,0.451501,0.346856,0.384177,0.497915,0.377936,0,0,0,8,10,6,9
-223.933,0.997638,0.0206722,7,127,0,235.788,1.45507,1.52997,-0.6781,-1.63307,-2.42676,0.187069,-0.231517,0.693653,0.758675,-0.761314,-1.21232,0.407933,-0.277457,-0.872333,-0.238852,-0.900032,-1.67073,1.36744,0.444084,0.0393719,0.269887,2.2393,0.19472,0.179926,320,0.000315844,0.3947,0.270767,0.224993,0.191152,0.316657,0.293963,0.345243,0.348993,0.38827,0.19093,0,0,0,0,0,0,0.289644,0.260577,0.362428,0.34502,0,0,0,0,0.306405,0.291609,0.324816,0.327217,0.273458,0,0,0,8,10,6,9
-216.2,0.999767,0.0174239,7,127,0,230.481,1.06372,0.143781,-0.276982,-1.65184,0.208828,0.327017,-1.77671,-0.577173,-0.910942,-0.280373,-1.00357,0.214526,-0.277068,-0.150215,0.0532082,0.390072,-0.996575,1.75913,-0.470412,0.151267,0.148904,1.3343,0.569076,0.188286,320,0.000315844,0.394441,0.381078,0.338664,0.396521,0.400308,0.334919,0.371646,0.361266,0.450708,0.249601,0,0,0,0,0,0,0.301592,0.539683,0.555326,0.287529,0,0,0,0,0.408539,0.325901,0.372126,0.359001,0.383949,0,0,0,8,10,6,9
-220.939,0.989945,0.0157188,8,255,0,231.059,-1.28031,1.10348,0.963776,1.2924,-0.11626,0.789402,-0.118493,1.13438,0.541736,1.34065,0.106514,-0.271457,-0.174551,0.596974,-0.215376,-0.323553,0.333507,-0.855309,-0.237243,0.49582,0.654045,0.410168,0.00110828,0.0751877,320,0.000315844,0.45879,0.436548,0.489106,0.278531,0.409144,0.278242,0.463733,0.37119,0.447039,0.330585,0,0,0,0,0,0,0.398835,0.398476,0.398707,0.398475,0,0,0,0,0.401057,0.385413,0.407054,0.396769,0.410652,0,0,0,8,10,6,9
-219.171,0.999011,0.0143548,8,255,0,229.355,-0.222285,0.297295,-0.168768,-1.31937,0.433019,0.900976,-1.81516,-0.122459,-0.556845,0.00510559,-0.188332,-0.339714,-0.100592,-0.691173,0.0608319,0.12639,-0.346334,0.814604,-0.297022,-0.840876,0.0840462,0.321349,0.000684642,0.408314,320,0.000315844,0.408987,0.399882,0.377696,0.411651,0.42087,0.368279,0.400784,0.39235,0.399744,0.385449,0,0,0,0,0,0,0.393735,0.394011,0.394085,0.393657,0,0,0,0,0.519926,0.26357,0.416439,0.374144,0.429127,0,0,0,8,10,6,9
-217.89,0.994917,0.013908,8,255,0,231.938,-0.141124,2.14294,-0.340652,1.93559,-0.122894,0.545283,-0.968695,0.219279,-0.457554,-0.156902,-0.553467,0.291707,0.0481311,0.502316,-0.0587211,0.0315394,0.383389,-0.856291,0.0770004,0.642825,0.251093,0.982411,0.00200047,0.609181,320,0.000315844,0.493498,0.348121,0.480975,0.360206,0.398308,0.314348,0.379539,0.34171,0.419834,0.332641,0,0,0,0,0,0,0.383981,0.383057,0.383357,0.382677,0,0,0,0,0.48614,0.278043,0.438142,0.342929,0.384189,0,0,0,8,10,6,9
-220.457,0.99956,0.0136048,8,255,0,226.581,0.0494925,-0.321515,0.625882,-2.06351,-1.4068,-0.0883394,-0.194082,-0.677881,-0.181588,-0.294428,-0.455094,-0.704457,0.0927548,-0.752042,0.813984,0.164294,-0.00678684,0.0510813,0.0697588,-0.667888,0.0629933,1.25098,0.0023163,0.171384,320,0.000315844,0.383742,0.397912,0.358209,0.36775,0.387213,0.385637,0.378461,0.385823,0.402176,0.354977,0,0,0,0,0,0,0.382282,0.38264,0.38336,0.383302,0,0,0,0,0.390619,0.386326,0.366917,0.386833,0.382268,0,0,0,8,10,6,9
-213.806,0.999433,0.0137313,8,255,0,226.771,-1.55193,1.08916,-0.336874,0.949552,0.848216,0.789824,-0.308387,0.415719,-0.253248,0.511406,-0.416443,1.5561,-0.11373,-0.205945,-1.01473,-0.114224,-0.068032,-0.182797,-0.214245,-0.0116872,0.230279,0.513514,0.846544,0.469795,320,0.000315844,0.392321,0.319855,0.384965,0.379656,0.376609,0.321237,0.357317,0.32392,0.394563,0.290715,0,0,0,0,0,0,0.375981,0.356588,0.345613,0.175288,0,0,0,0,0.413229,0.299136,0.37265,0.304451,0.382892,0,0,0,8,10,6,9
-216.669,0.998676,0.0140255,8,255,0,228.8,0.0600731,0.684587,0.953396,-1.54999,-0.153096,8.47743e-05,-0.545395,0.756521,0.249894,0.0198913,-0.573449,-0.55009,-2.0208,1.124,0.404571,-0.498779,1.52571,0.255644,1.51943,-0.163329,0.218757,1.03401,0.211341,0.148913,320,0.000315844,0.442849,0.456999,0.330561,0.399419,0.407268,0.379554,0.446628,0.420164,0.470642,0.326657,0,0,0,0,0,0,0.386441,0.45621,0.464013,0.436329,0,0,0,0,0.408257,0.389403,0.434826,0.416982,0.408947,0,0,0,8,10,6,9
-215.641,0.999979,0.0144241,8,255,0,223.262,-0.625745,0.28328,0.396893,-0.119546,-0.800045,0.842853,-0.268028,-0.704652,0.557389,0.232363,-0.558406,0.624401,1.10508,-1.264,-0.939485,1.04116,-1.89473,0.97831,0.186714,0.00623424,0.249557,0.819339,0.716018,0.204492,320,0.000315844,0.358609,0.364844,0.336879,0.301665,0.389728,0.329028,0.30648,0.373727,0.402108,0.263982,0,0,0,0,0,0,0.32258,0.228407,0.481664,0.30039,0,0,0,0,0.37812,0.328732,0.31021,0.365147,0.350603,0,0,0,8,10,6,9
-219.781,0.998997,0.0149973,8,255,0,228.356,-0.56509,1.22214,0.0867154,-0.593817,0.631734,-0.346658,0.073857,0.679276,-1.13717,0.835833,-0.786252,-0.833058,-0.35147,1.91647,1.02042,-0.372049,1.02472,0.322006,0.157762,1.97391,0.222215,0.364804,0.0645768,0.0790222,320,0.000315844,0.436706,0.377146,0.342995,0.4054,0.355236,0.376488,0.407897,0.316807,0.435582,0.299916,0,0,0,0,0,0,0.37643,0.394721,0.380093,0.386356,0,0,0,0,0.373235,0.380856,0.391927,0.359075,0.394809,0,0,0,8,10,6,9
-219.222,0.99757,0.0156248,8,255,0,230.279,-0.278196,-0.0516355,-0.221747,-0.194539,-0.253122,-0.117444,0.353471,-0.0586672,1.48717,-0.213638,-0.841898,0.675327,0.939766,-1.43718,-1.02943,0.243277,-0.900461,-0.174876,0.388616,-2.47213,0.13918,0.463438,1.28221,0.0688803,320,0.000315844,0.342531,0.337296,0.338131,0.336335,0.340502,0.35515,0.342314,0.391497,0.374078,0.309448,0,0,0,0,0,0,0.329865,0.313569,0.351942,0.497379,0,0,0,0,0.340867,0.348081,0.341763,0.365729,0.339402,0,0,0,8,10,6,9
-224.255,0.999036,0.0162684,8,255,0,231.368,-0.286404,0.592989,0.00641703,-0.0991117,1.34028,-0.219126,-0.719258,-2.02355,-0.882613,0.459152,-0.636017,-0.575003,-0.736543,1.60653,1.10211,-0.311056,0.860409,0.136096,-0.321705,2.52717,0.0619926,0.219107,0.0206186,0.154627,320,0.000315844,0.408967,0.400266,0.398707,0.420134,0.396937,0.389588,0.370664,0.387199,0.416864,0.360163,0,0,0,0,0,0,0.39321,0.400261,0.392624,0.390186,0,0,0,0,0.413843,0.395291,0.348413,0.389293,0.439387,0,0,0,8,10,6,9
-222.006,0.998423,0.017062,8,255,0,235.958,1.60605,-0.112474,0.362036,-0.446622,-1.18577,0.899939,-0.476167,1.17293,0.263096,-0.887958,-1.19313,1.8448,0.609959,0.274241,-0.870767,1.41304,-1.04108,1.81366,-1.05747,-1.27063,0.486479,2.31693,0.239985,0.229628,320,0.000315844,0.318039,0.368132,0.284974,0.219461,0.428347,0.282148,0.459817,0.357416,0.411042,0.260514,0,0,0,0,0,0,0.337518,0.30096,0.408825,0.336017,0,0,0,0,0.379288,0.311648,0.393353,0.347246,0.29267,0,0,0,8,10,6,9
