# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=21
# stan_version_patch=0
# init=random
# enable_random_init=1
# seed=2020433332
# chain_id=1
# iter=2000
# warmup=1000
# save_warmup=1
# thin=1
# refresh=200
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.999
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=20
# sampler_t=NUTS(diag_e)
# sample_file=/Users/davidhodgson/Dropbox/My Mac (David’s MacBook Air)/Documents/research/covid/HERO/serobayes/include/asymp/job_grouped_unadjusted_1.csv
# diagnostic_file=/Users/davidhodgson/Dropbox/My Mac (David’s MacBook Air)/Documents/research/covid/HERO/serobayes/include/asymp/job_grouped_unadjusted_diag_1.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,beta_0,beta.1,beta.2,beta.3,beta.4,beta.5,beta.6,beta.7,beta.8,beta.9,sigma.1,l,prod_val,marginal.1.1,marginal.2.1,marginal.3.1,marginal.4.1,marginal.5.1,marginal.6.1,marginal.7.1,marginal.8.1,marginal.9.1,index.1
-235.451,0.942616,0.125,2,7,0,306.21,0.451097,-0.112529,-0.140306,-0.176116,1.10569,-1.11744,-1.19513,1.68717,-0.555252,0.0390182,0.199488,9,0.111111,0.605551,0.604227,0.602517,0.661877,0.556799,0.552971,0.68733,0.584271,0.612749,9
-235.451,0,9.02563,0,1,1,239.703,0.451097,-0.112529,-0.140306,-0.176116,1.10569,-1.11744,-1.19513,1.68717,-0.555252,0.0390182,0.199488,9,0.111111,0.605551,0.604227,0.602517,0.661877,0.556799,0.552971,0.68733,0.584271,0.612749,9
-235.451,0,0.831121,0,1,1,240.892,0.451097,-0.112529,-0.140306,-0.176116,1.10569,-1.11744,-1.19513,1.68717,-0.555252,0.0390182,0.199488,9,0.111111,0.605551,0.604227,0.602517,0.661877,0.556799,0.552971,0.68733,0.584271,0.612749,9
-214.999,1,0.0419314,4,15,0,238.425,-0.790807,0.172334,-0.12499,0.025418,1.17023,-1.39196,-1.45462,1.7269,-0.482755,0.0536655,0.30837,9,0.111111,0.323515,0.303782,0.31368,0.39414,0.227928,0.224546,0.435786,0.280966,0.315559,9
-205.099,0.999643,0.0283189,7,127,0,218.617,-0.28475,-0.345148,1.79812,1.02542,-1.87047,-1.04473,1.00394,-0.127112,-0.851181,-0.20207,0.246872,9,0.111111,0.408551,0.539705,0.4921,0.321581,0.367568,0.490775,0.421619,0.378744,0.417113,9
-202.526,0.999661,0.0219825,7,127,0,209.941,0.102173,-0.485324,0.954968,-0.159664,-0.559749,-1.45403,-0.524193,1.23992,-2.33934,-1.34612,0.61022,9,0.111111,0.451656,0.664835,0.501186,0.440435,0.313221,0.445789,0.702409,0.209931,0.327557,9
-199.837,0.999694,0.0186744,7,127,0,205.963,-0.350297,-0.207665,0.679235,0.378478,-0.305449,-0.791523,-0.610156,0.795895,-1.87909,-0.745819,0.556338,9,0.111111,0.385604,0.506897,0.465123,0.372799,0.312029,0.334089,0.523106,0.198498,0.317513,9
-198.843,0.998562,0.0168625,7,127,0,201.727,-0.365309,0.0773236,0.659854,0.158998,-0.773062,-0.429405,0.569683,0.423867,-0.68045,-0.43035,0.777588,9,0.111111,0.424291,0.536879,0.439874,0.275592,0.331987,0.519408,0.491072,0.290199,0.331825,9
-197.972,0.999845,0.0158327,7,191,0,202.101,-0.670583,0.172685,1.04986,0.89476,0.478458,-0.327493,-0.0868152,1.00916,-0.550428,-0.182436,0.926289,9,0.111111,0.375047,0.574906,0.539474,0.443396,0.274097,0.320604,0.565667,0.234973,0.301625,9
-198.986,0.99972,0.0153876,7,127,0,201.622,-0.849631,0.700574,1.43231,0.77525,0.180545,-0.053893,1.25486,1.06175,0.155609,-0.391239,1.03639,9,0.111111,0.469148,0.653576,0.488459,0.340175,0.287925,0.610851,0.562363,0.334398,0.221818,9
-199.528,0.997814,0.0152847,7,255,0,204.918,-0.293283,-0.554795,1.47109,0.664994,-0.636072,-1.24953,0.318305,0.0235644,-1.13391,-1.01374,0.528582,9,0.111111,0.35743,0.618765,0.514551,0.347624,0.278129,0.468783,0.430251,0.290564,0.30383,9
-202.597,0.999033,0.0153399,7,127,0,205.014,0.0975985,-0.268222,0.270319,-0.162791,-0.991633,-1.50201,0.0556945,1.85017,-0.774115,0.283767,0.647427,9,0.111111,0.480995,0.567734,0.498051,0.367162,0.294248,0.533365,0.785068,0.400451,0.569869,9
-201.524,0.999622,0.0156437,8,255,0,210.542,-0.737808,0.692994,2.04603,1.44094,0.594792,-0.224195,0.402193,-0.232427,-0.642876,-0.818634,0.490671,9,0.111111,0.401847,0.566141,0.492306,0.390322,0.299892,0.36808,0.299044,0.258602,0.242414,9
-206.124,0.99939,0.0161283,7,255,0,210.516,-0.214155,0.782556,1.07551,0.141916,0.377413,-1.75117,-1.5895,-1.19754,-1.58015,-0.879725,0.354805,9,0.111111,0.51587,0.541763,0.459141,0.479949,0.302488,0.314726,0.345462,0.315442,0.371384,9
-207.325,0.999338,0.0167282,8,255,0,214.669,-1.51179e-05,-0.589874,0.396475,0.497484,-1.44098,-0.961085,1.33147,2.03026,-1.81745,-2.45462,0.636313,9,0.111111,0.407247,0.562735,0.578481,0.285584,0.351702,0.699983,0.784462,0.239307,0.173371,9
-203.86,0.998239,0.0174346,7,127,0,211.7,-0.128693,0.603806,1.16335,0.0200676,0.0753049,-1.73571,-0.0108549,-1.14361,-0.843204,-1.17124,0.399389,9,0.111111,0.528086,0.583204,0.469867,0.475366,0.305357,0.466792,0.357682,0.385691,0.355151,9
-202.331,0.999236,0.0181763,7,127,0,211.062,-0.490655,0.27077,1.96561,0.690541,-0.689011,-1.1088,-0.165443,-0.923745,-0.226964,-0.268289,0.541744,9,0.111111,0.414846,0.639733,0.470893,0.29652,0.251366,0.358868,0.270697,0.351236,0.346151,9
-201.053,0.99902,0.0190589,7,127,0,209.091,-0.0552332,0.0329806,0.836641,0.482938,-0.358493,-1.21115,-1.6379,0.466159,-1.86243,-1.4003,0.703062,9,0.111111,0.491989,0.630177,0.570601,0.42378,0.287666,0.230271,0.567708,0.203488,0.261202,9
-202.026,0.999531,0.0200091,7,127,0,207.394,-0.0024939,-0.322285,-0.0157279,-0.496834,-1.19078,-1.04587,0.419377,1.15131,-1.44136,-0.274416,0.671817,9,0.111111,0.445465,0.496735,0.416715,0.309495,0.330676,0.569363,0.683732,0.274716,0.453423,9
-205.3,0.99592,0.0210658,7,127,0,209.722,-0.331028,-0.161048,1.28277,1.77278,0.0432366,-1.45933,-0.0704175,1.77509,-2.62131,-1.06064,0.37309,9,0.111111,0.403449,0.536823,0.581852,0.42192,0.294114,0.411613,0.582061,0.212652,0.32591,9
-201.795,0.999949,0.021958,7,127,0,210.497,0.165666,0.123802,0.553464,-0.589026,-1.14164,-1.05689,0.317934,-0.0791263,-0.853923,-1.6745,0.933085,9,0.111111,0.569837,0.664206,0.405176,0.289137,0.305656,0.613566,0.522943,0.347257,0.198327,9
-204.016,0.99857,0.0231758,6,63,0,206.579,-0.169488,0.0680758,0.424872,-0.565507,-1.20618,-0.930673,0.534631,-0.539732,-0.667651,-1.81513,0.439354,9,0.111111,0.465162,0.504295,0.397009,0.331939,0.359305,0.516345,0.399723,0.386316,0.275485,9
-203.724,0.999609,0.0243646,7,127,0,210.281,-0.0955307,-1.16063,0.324068,-0.36421,-0.624993,-0.586107,-1.05044,0.267961,-1.51135,-0.0545132,0.757081,9,0.111111,0.27404,0.537384,0.408235,0.361537,0.368359,0.290945,0.526809,0.22448,0.465853,9
-205.018,0.999844,0.0256901,7,127,0,209.575,0.323373,-0.926794,0.387699,0.0978142,-0.956526,-2.26945,-1.79333,-0.801781,-1.16331,-1.31651,0.625323,9,0.111111,0.436305,0.637796,0.594967,0.431738,0.250534,0.310446,0.455617,0.400335,0.377571,9
-205.351,0.987629,0.0270977,7,127,0,212.848,-0.281795,-1.20631,0.319375,-0.366268,-0.806495,-0.338572,-0.386268,0.596476,-0.378365,-1.08951,0.485197,9,0.111111,0.29586,0.468334,0.387103,0.337802,0.390296,0.384803,0.501903,0.385711,0.3078,9
-200.987,0.999666,0.0275896,7,127,0,209.084,-0.500207,0.317564,1.16308,1.02762,0.0694752,-0.196424,0.195361,0.704899,-1.04338,0.856932,0.504026,9,0.111111,0.415774,0.521491,0.504434,0.385755,0.354525,0.400894,0.463833,0.263841,0.482934,9
