# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=21
# stan_version_patch=0
# init=random
# enable_random_init=1
# seed=1480661404
# chain_id=2
# iter=2000
# warmup=1000
# save_warmup=1
# thin=1
# refresh=200
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.999
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=20
# sampler_t=NUTS(diag_e)
# sample_file=/Users/davidhodgson/Dropbox/My Mac (David’s MacBook Air)/Documents/research/covid/HERO/serobayes/include/asymp/c19zones_adjusted_2.csv
# diagnostic_file=/Users/davidhodgson/Dropbox/My Mac (David’s MacBook Air)/Documents/research/covid/HERO/serobayes/include/asymp/c19zones_adjusted_diag_2.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,beta_0,beta.1,beta.2,beta.3,beta.4,beta.5,beta.6,beta.7,beta.8,beta.9,beta.10,beta.11,beta.12,beta.13,beta.14,beta.15,beta.16,beta.17,sigma.1,sigma.2,sigma.3,sigma.4,p_beta_0,p_beta.1,p_beta.2,p_beta.3,p_beta.4,p_beta.5,p_beta.6,p_beta.7,p_beta.8,p_beta.9,p_beta.10,p_beta.11,p_beta.12,p_beta.13,p_beta.14,p_beta.15,p_beta.16,p_beta.17,p_sigma.1,p_sigma.2,p_sigma.3,p_sigma.4,g_beta_0,g_beta.1,g_beta.2,g_beta.3,g_beta.4,g_beta.5,g_beta.6,g_beta.7,g_beta.8,g_beta.9,g_beta.10,g_beta.11,g_beta.12,g_beta.13,g_beta.14,g_beta.15,g_beta.16,g_beta.17,g_sigma.1,g_sigma.2,g_sigma.3,g_sigma.4
-218.252,0.989907,0.0181008,8,255,0,228.542,-0.218102,-0.0749458,-0.0124457,-0.821438,-0.306112,-0.00839128,-0.729393,-0.510026,-0.555959,-0.202672,1.20095,-1.71603,-1.28228,0.66422,0.947415,-1.36776,-0.616795,0.569572,-1.58869,-1.02539,-2.21524,-1.57647,-1.94253,0.689766,0.55541,-1.57633,-0.389264,-0.341588,-0.404113,0.968453,-0.575469,-1.19689,0.09716,-0.0550873,-1.47851,-0.208349,-0.915643,-1.38185,0.997829,0.211726,-0.569539,1.33017,0.531194,-1.4139,-14.2835,-0.79483,-1.04515,-1.7434,-0.244947,-1.30646,-2.64949,-7.47311,-0.0139298,-0.309075,1.20095,-1.71603,-1.28228,0.66422,0.947415,-1.36776,-0.616795,0.569572,0.442036,1.89158,0.227812,-0.19436
-213.592,0.99949,0.0177148,8,255,0,222.845,-0.709089,0.489681,-0.0956432,-0.265331,0.038674,0.65542,-0.125867,0.604853,-0.0711531,0.535939,0.96624,0.144542,-0.422179,0.414082,-1.31298,0.425869,-1.22917,0.472261,-1.94819,-0.659312,-2.76467,-0.524144,-1.21245,-0.460303,-0.50616,-0.491786,-0.0645573,-1.37702,-0.568285,0.612883,-1.8506,0.0414188,1.14053,-1.729,-1.25746,0.63864,1.03487,-1.39833,-0.538045,0.540007,-0.313322,-0.101865,-0.388907,-0.393699,11.578,0.227726,-0.383779,0.834681,0.514699,2.1095,2.30494,7.77991,2.8599,1.674,0.96624,0.144542,-0.422179,0.414082,-1.31298,0.425869,-1.22917,0.472261,-0.321257,2.06829,-1.16231,1.74421
-217.754,0.991807,0.0180837,7,127,0,228.883,0.211599,1.09009,0.741319,-0.836453,-0.165341,0.770511,0.721882,-0.442047,-1.21844,-1.00598,-2.26564,0.490956,0.2374,-0.527516,0.108168,2.23505,-0.105414,0.38131,-0.37368,-0.244186,0.0435307,-2.67012,-0.476459,-1.06159,-1.2533,-1.07552,-0.813558,0.609611,0.201124,-0.270039,-1.62718,-0.299804,-0.130513,-0.353159,0.359562,-0.234201,1.37158,-1.35754,1.36712,-0.662277,-0.669028,-1.79411,2.01257,-0.466655,-5.71316,-0.53997,-1.95821,-11.6934,-1.29335,7.20502,0.228535,-6.80057,0.251612,-1.06128,-2.26564,0.490956,0.2374,-0.527516,0.108168,2.23505,-0.105414,0.38131,-2.9804,0.634701,12.9018,-0.804185
-217.267,0.995925,0.018181,8,255,0,227.003,-0.767096,0.786861,0.0173869,-0.409606,-0.49881,-0.24595,0.0068197,1.72613,-0.514365,1.62491,2.19298,0.345233,0.973946,0.666262,1.13843,-0.556477,0.362196,0.243878,-0.754035,-1.29188,-2.51115,-2.10586,1.32301,-0.168044,-1.21126,0.0661501,-1.44805,0.706037,0.248446,1.62417,-0.25528,-0.0205641,1.25448,-0.82445,-0.942218,0.187239,-0.8972,-2.31987,-0.116864,-0.623987,0.0344368,-0.348408,-0.205205,0.964948,2.05361,0.587563,-1.09048,0.714889,-0.136881,0.214029,0.65798,2.87771,-0.449684,1.79265,2.19298,0.345233,0.973946,0.666262,1.13843,-0.556477,0.362196,0.243878,-1.49217,0.984257,-1.07534,-0.167457
-213.735,0.99984,0.0186423,8,255,0,227.322,-0.574176,1.52037,1.23233,-0.932835,0.778695,0.68627,0.96595,-0.115048,-0.715619,-0.146357,-0.0523244,-1.63686,-0.445081,0.572539,-0.00883817,-1.83387,-1.68957,-0.0606916,-0.40843,-0.305644,-0.742449,-1.86375,-0.236575,-0.192031,-1.25639,1.94512,-0.318719,-0.881271,-0.993156,-0.0641325,-1.55163,-1.79723,-2.20371,-0.141164,-0.925415,-0.743863,-1.14632,0.792565,-0.151602,-0.238138,-0.799273,1.87818,-1.20181,0.542421,-0.790672,0.655892,0.0862055,-1.82154,2.18888,1.30741,1.86887,-2.18765,0.848458,-0.112771,-0.0523244,-1.63686,-0.445081,0.572539,-0.00883817,-1.83387,-1.68957,-0.0606916,-1.75135,-1.17857,0.924564,-0.349177
-213.116,0.996973,0.0194465,7,255,0,222.926,-0.756905,1.03887,0.705343,-1.18313,-0.265103,-0.109294,1.11025,0.176448,0.0347959,-0.125196,-0.402657,-0.237753,0.534238,0.303325,0.265788,0.378365,-0.599291,-1.12755,-1.47248,0.897436,-1.21911,-1.35699,-0.604487,0.922142,1.00224,-0.675177,1.96996,0.730232,0.171722,-0.273802,-1.25921,-0.166636,0.0321263,-1.62282,-0.568607,0.520816,-0.0655505,-1.95523,-1.59983,0.177708,0.668488,0.747561,-0.0148315,-0.397983,-3.93358,0.396342,-0.208983,-1.59366,-0.225379,-2.04933,3.40602,-13.1237,4.90886,-0.405551,-0.402657,-0.237753,0.534238,0.303325,0.265788,0.378365,-0.599291,-1.12755,-2.06023,-0.619776,-0.000282167,1.69746
-215.244,0.969126,0.0201797,7,127,0,222.808,-0.315895,1.84541,-0.0579515,-0.612934,-1.7197,0.641524,-0.763476,0.53474,-0.5278,1.18267,0.0754972,0.143869,-0.49781,-0.503069,0.761305,-0.505818,-0.129821,0.193314,-1.37967,-0.940901,-0.525742,-1.43094,-0.175731,-0.486729,-0.124571,-0.161997,0.430251,-1.58576,-0.256613,0.0970699,-0.962978,0.34526,0.463764,0.31351,-0.77421,-0.527656,0.0180055,-0.60956,0.593462,1.29143,-2.2167,-1.4253,0.248869,0.636259,-7.63349,1.65208,-1.0121,-3.25063,-3.03848,1.46558,-4.24767,-3.15702,-0.305121,1.64332,0.0754972,0.143869,-0.49781,-0.503069,0.761305,-0.505818,-0.129821,0.193314,1.96568,-2.61326,4.44106,-1.09629
-211.686,0.994132,0.0192856,7,127,0,220.386,-0.442775,0.449207,0.707688,-0.67527,0.278796,0.475257,0.701608,0.21957,-0.465065,-1.23971,0.685412,-0.150711,1.23859,-0.452215,-0.687552,0.14313,-0.479398,0.00383562,-0.912397,0.242971,-0.792805,-1.26372,-0.516107,0.216937,-1.37985,0.238293,-2.14159,-0.750984,0.823586,-1.24193,-0.621697,-0.011514,-0.846238,-0.0492973,-0.59893,1.22315,-0.378859,0.588327,0.704848,-0.287663,-1.82958,-0.446034,0.377134,-0.195664,9.72021,-0.811728,-0.0582971,4.27677,1.45203,2.33418,5.71222,14.5986,-0.764345,-1.77662,0.685412,-0.150711,1.23859,-0.452215,-0.687552,0.14313,-0.479398,0.00383562,1.09098,3.76565,-3.63477,1.42549
-217.59,0.997633,0.0199475,7,127,0,224.012,-0.527182,2.03307,0.658472,-0.270169,-0.332413,-1.14809,0.322407,0.27393,-0.598568,0.74735,0.993405,-0.410363,-1.11672,0.112367,-0.0381045,-0.528851,0.676699,-1.12358,-1.38035,-2.20491,-1.53036,-2.8925,-0.724497,0.00175381,1.86353,-0.457562,1.05637,1.11817,-0.159707,-0.595516,-0.245888,-1.08204,1.26334,-0.373803,0.826214,-0.449413,-0.787822,-0.104532,-0.197488,-0.557807,0.905028,0.187076,0.0901546,0.441564,-8.52398,1.8297,-0.14048,-0.79557,-0.37781,-2.68715,-0.592336,-1.02202,-0.36266,0.767172,0.993405,-0.410363,-1.11672,0.112367,-0.0381045,-0.528851,0.676699,-1.12358,-1.37031,-1.3372,-0.10808,-0.342582
-222.129,0.999803,0.0208821,7,127,0,228.901,0.279929,-0.30305,0.417372,-1.37571,0.187123,0.0705613,0.0780846,1.93539,-0.867783,0.0125897,1.59053,-0.250132,-1.08128,1.21674,0.240948,-0.764873,1.42446,-0.141964,-0.483962,-4.65972,-0.577015,-3.21632,0.267851,1.044,0.204204,0.11421,1.71217,-0.533353,-0.586233,0.398245,-0.532336,0.786456,1.1935,-0.443679,-1.25596,0.26073,-0.00916328,-0.625448,0.854355,-1.14897,-0.788625,0.448433,-0.928196,-0.560729,9.26047,-2.5753,0.453828,1.81992,3.02367,5.27267,1.79555,2.0278,-0.682456,0.0423261,1.59053,-0.250132,-1.08128,1.21674,0.240948,-0.764873,1.42446,-0.141964,0.58738,-1.0462,-4.08184,-0.873944
