# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=21
# stan_version_patch=0
# init=random
# enable_random_init=1
# seed=917402092
# chain_id=3
# iter=2000
# warmup=1000
# save_warmup=1
# thin=1
# refresh=200
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.999
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=20
# sampler_t=NUTS(diag_e)
# sample_file=/Users/davidhodgson/Dropbox/My Mac (David’s MacBook Air)/Documents/research/covid/HERO/serobayes/include/asymp/job_grouped_adjusted_3.csv
# diagnostic_file=/Users/davidhodgson/Dropbox/My Mac (David’s MacBook Air)/Documents/research/covid/HERO/serobayes/include/asymp/job_grouped_adjusted_diag_3.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,beta_0,beta.1,beta.2,beta.3,beta.4,beta.5,beta.6,beta.7,beta.8,beta.9,beta.10,beta.11,beta.12,beta.13,beta.14,beta.15,beta.16,beta.17,beta.18,beta.19,beta.20,sigma.1,sigma.2,sigma.3,sigma.4,p_beta_0,p_beta.1,p_beta.2,p_beta.3,p_beta.4,p_beta.5,p_beta.6,p_beta.7,p_beta.8,p_beta.9,p_beta.10,p_beta.11,p_beta.12,p_beta.13,p_beta.14,p_beta.15,p_beta.16,p_beta.17,p_beta.18,p_beta.19,p_beta.20,p_sigma.1,p_sigma.2,p_sigma.3,p_sigma.4,g_beta_0,g_beta.1,g_beta.2,g_beta.3,g_beta.4,g_beta.5,g_beta.6,g_beta.7,g_beta.8,g_beta.9,g_beta.10,g_beta.11,g_beta.12,g_beta.13,g_beta.14,g_beta.15,g_beta.16,g_beta.17,g_beta.18,g_beta.19,g_beta.20,g_sigma.1,g_sigma.2,g_sigma.3,g_sigma.4
-220.823,0.999989,0.017855,8,255,0,236.505,-0.400257,1.07163,0.779234,0.524287,-0.96467,-2.36471,-1.53547,-0.143312,-0.218508,-0.56102,0.202167,-0.567873,-3.11955,0.636308,0.250322,0.370152,0.0439478,1.68006,-0.732584,-0.66998,-0.246222,-1.31281,-0.964828,-1.9822,-3.45079,0.898613,-1.005,-1.25908,-2.74295,0.964529,0.888743,-0.936149,0.454185,1.88321,0.0272538,-0.553799,0.369208,-0.383474,-0.864548,1.03606,0.0101134,-0.51907,-0.582965,1.13741,-0.0600627,1.56276,0.103146,-1.54937,-0.746747,2.08773,-9.27591,1.43643,-0.615359,-0.736518,-1.61305,-3.47417,-1.93027,-0.720432,0.551426,-0.203011,-2.88321,-0.864551,-3.11955,0.636308,0.250322,0.370152,0.0439478,1.68006,-0.732584,-0.66998,-0.246222,-0.564062,-1.07424,0.539616,-0.324967
-214.334,0.996704,0.0180399,7,255,0,231.686,-0.895486,0.345137,1.17739,1.3051,0.449692,-0.229264,1.67353,2.09882,-0.0181309,0.195046,0.664916,-0.297721,1.68056,-0.168099,-0.0690275,-0.869122,-0.166751,-1.84206,0.000387142,0.357476,-0.773162,-0.484379,-1.52103,-2.91202,-2.38854,1.30153,-0.21983,0.951985,1.11717,1.4178,2.27601,-0.596697,-1.20574,-1.71016,0.0605395,-0.852546,1.24207,-2.6296,0.64106,0.250455,-0.0893274,-0.0486961,0.854689,-0.853802,-0.566825,-0.750379,2.27926,0.0880789,-0.202195,-1.274,4.70738,-0.343546,-1.07149,1.92616,1.88954,1.26647,2.78785,2.44036,1.37739,0.995135,0.981572,0.609773,1.68056,-0.168099,-0.0690275,-0.869122,-0.166751,-1.84206,0.000387142,0.357476,-0.773162,-1.47447,-0.841144,-0.470382,0.649121
-210.615,0.999125,0.0182538,8,255,0,224.472,0.456363,-0.394721,0.682556,0.357794,-0.162948,-0.818251,-1.01237,-0.376118,-0.772525,-0.767488,-0.416859,-0.531841,-1.71548,-0.246341,-0.459471,1.75323,-0.240039,1.59888,0.349395,-0.191554,0.84552,0.0710164,-2.41545,-1.04056,-0.138546,2.57412,-1.47265,-1.47516,-1.49001,-0.638898,0.515448,1.21421,-0.787687,-0.562711,-0.303315,-0.0243515,0.870543,-0.454404,0.675018,0.816946,-1.0696,0.663088,0.922047,-0.527023,-0.357787,0.124251,1.53049,0.929383,-0.222002,1.77432,0.471897,-1.93264,2.58621,3.07828,1.86514,-11.345,-2.28948,-0.0100118,3.79826,1.02084,-0.675267,-0.272045,-1.71548,-0.246341,-0.459471,1.75323,-0.240039,1.59888,0.349395,-0.191554,0.84552,4.28238,-0.941123,1.16306,1.2665
-213.742,0.998835,0.0187771,7,127,0,223.646,0.881265,-0.52769,0.884454,0.287786,-0.20412,-0.746169,-1.08202,-0.855118,-1.2833,-1.53264,-1.47215,-0.58461,-2.13321,-0.708099,-0.87348,1.11581,0.188402,1.33822,0.446205,-1.04831,1.25109,-0.494757,-1.8902,-0.845574,0.0548612,0.332808,-1.28284,-1.03298,0.692109,1.53543,2.66717,0.393025,-0.513531,-0.158024,-0.274739,0.901611,0.0527192,-0.193185,0.419098,0.284271,1.38117,-0.568538,0.902957,0.0263013,0.879408,-0.126862,0.551533,-1.02727,0.182629,0.420636,-4.66175,-2.29444,-1.62178,-1.82786,0.983146,-3.63416,0.128449,-2.11208,-2.69899,-3.59606,-2.80695,-0.0870317,-2.13321,-0.708099,-0.87348,1.11581,0.188402,1.33822,0.446205,-1.04831,1.25109,-3.38952,0.825183,0.87786,6.37081
-217.42,0.981473,0.0194256,8,255,0,229.153,1.78526,-0.213589,0.152091,-0.247997,-1.0705,-0.618799,-1.68827,-1.26815,-1.52255,-1.33285,-0.719942,-0.994703,-2.21058,-1.19189,-1.3689,1.19217,-0.587554,0.808092,-0.826053,0.016667,0.0350628,0.277855,-1.41114,-1.58202,-0.0812179,-0.712231,-0.432731,0.77498,1.27158,0.285204,-1.64127,0.313614,0.231447,-0.572092,-0.657245,-1.58387,0.293699,-0.821741,0.175291,0.117091,0.394722,0.838195,1.08148,1.43207,-1.48263,1.71568,0.398467,-0.796748,1.33992,1.32035,4.68208,1.86029,0.489067,-0.9678,-7.00393,15.3626,-6.8268,-5.25648,0.816062,0.807321,0.228108,-1.23632,-2.21058,-1.19189,-1.3689,1.19217,-0.587554,0.808092,-0.826053,0.016667,0.0350628,6.00597,-1.19834,-0.132691,-2.8563
-214.952,0.999274,0.0191376,8,255,0,226.813,-1.59784,0.953765,1.16061,1.38544,0.979315,0.117938,0.625159,1.2372,-0.32581,0.297435,0.967169,0.174007,0.291201,2.27861,-0.488844,-1.91996,0.667405,-0.541461,0.468806,0.270343,-0.054772,-0.800174,-0.297076,-1.64956,-1.20991,1.24375,-0.711493,-0.397075,0.1613,-0.673765,-0.247884,-1.11173,-1.3651,-0.382602,-0.410252,-0.248232,-0.734625,-2.7383,0.479822,-2.3127,-0.148747,-0.183795,0.599895,-0.691318,0.271943,-0.00281118,-0.872701,-0.931429,0.209103,1.11226,8.12466,1.20335,-1.06561,3.49779,2.23513,2.9316,2.5036,2.24625,0.938503,1.07578,7.39593,0.968942,0.291201,2.27861,-0.488844,-1.91996,0.667405,-0.541461,0.468806,0.270343,-0.054772,-2.21043,6.09901,2.38735,2.14749
-218.37,0.999385,0.0200025,8,255,0,231.713,0.555479,-0.619786,1.11733,-0.304838,-1.72518,-1.65035,-0.270704,0.541191,-2.18376,-2.93429,-0.875044,-0.97403,-0.625171,-1.35358,0.956125,1.78138,-0.106977,0.837822,-0.978518,0.297298,0.141354,-0.507908,-0.787795,-2.64834,-2.27245,-0.220069,-0.378161,-0.56906,-0.0523714,0.385919,-1.60288,-0.239093,0.278575,0.978664,-0.823046,0.905185,0.445574,-0.89033,2.9975,1.2317,-0.720998,1.69319,0.741308,-1.35464,1.6451,0.234387,0.263615,0.435225,-0.654267,0.384175,-8.09287,-1.15254,1.99067,-2.37579,-4.36861,-3.80726,-0.0556325,0.309512,-1.9512,-3.32703,-4.67331,-1.10944,-0.625171,-1.35358,0.956125,1.78138,-0.106977,0.837822,-0.978518,0.297298,0.141354,8.23746,2.91039,-0.43292,0.48937
-219.647,0.998173,0.0209685,7,255,0,230.026,0.150378,-0.0132918,2.16461,1.0699,-0.089817,-1.54221,-0.612359,0.830594,-1.64504,-2.74289,-0.349011,-0.665773,0.322691,-1.67376,1.87756,1.55332,0.242383,0.0701297,-0.773566,0.317848,0.805651,-0.892431,0.697905,-1.52183,-2.08653,1.17193,-0.854553,-0.208368,-0.917905,-2.16531,-1.26097,0.24068,0.00805273,-1.08876,-1.60644,-0.403859,-0.834989,-1.05219,-0.402012,-0.26585,1.04264,-0.328057,1.01264,-0.635733,0.127657,-0.456903,-0.640217,-1.17658,-0.883052,-0.204958,-14.957,-0.737323,1.80934,-1.4656,-1.54931,-5.95227,-1.40426,0.0460775,-1.49774,-3.19153,-20.0475,-11.3262,0.322691,-1.67376,1.87756,1.55332,0.242383,0.0701297,-0.773566,0.317848,0.805651,1.34874,14.982,-0.908044,1.59315
-220.576,1,0.0219412,7,127,0,234.97,-0.249642,0.308497,0.183622,0.396592,-0.0545578,-1.32669,-0.482649,-0.62862,-1.06213,0.386946,1.23719,1.2502,1.92435,-1.12993,-1.11814,1.03916,0.613111,-0.258769,0.182039,-1.55723,1.4042,-0.485503,-1.25456,-1.97135,-0.602542,-0.214006,-1.04694,0.87898,-0.893905,0.75493,1.0654,-1.70159,-1.61995,0.154824,-1.29232,-1.01931,-0.0784231,0.687412,-1.91346,1.70117,1.774,0.360988,0.0230391,-0.752902,0.0326705,1.0816,-0.42983,1.70765,0.139808,0.973525,-5.98926,1.23776,-3.10602,-1.11929,2.08321,-10.9483,2.37677,-3.2164,-1.31693,4.25685,-2.12527,2.97572,1.92435,-1.12993,-1.11814,1.03916,0.613111,-0.258769,0.182039,-1.55723,1.4042,3.10305,-2.71756,-0.628152,9.57168
-221.486,0.99998,0.0231154,7,127,0,232.025,-0.388869,0.945499,1.23288,0.916149,0.366076,-1.6783,1.24167,1.3684,-0.889512,-1.93212,-0.827315,-1.57917,-1.62177,0.356638,1.24733,-1.1089,-0.790538,0.807652,-0.44463,1.34573,-1.82998,-1.00008,-2.6956,-2.53767,-2.47924,0.762686,0.275761,-1.09722,0.3929,-1.43265,0.984066,1.06538,-0.0139767,0.328706,1.23871,-0.385192,-0.497601,-1.09276,1.99744,-0.0593217,-0.0594095,0.275151,-1.19508,0.559509,0.808384,0.674389,-0.416961,0.862652,-0.670097,-1.83986,-1.99331,1.35429,-0.335228,0.322642,1.84191,-3.40692,1.88244,1.08454,-0.150651,-1.87376,-1.27828,-1.23651,-1.62177,0.356638,1.24733,-1.1089,-0.790538,0.807652,-0.44463,1.34573,-1.82998,-1.63641,-1.10053,-0.795048,0.950258
