# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=21
# stan_version_patch=0
# init=random
# enable_random_init=1
# seed=1929026750
# chain_id=4
# iter=2000
# warmup=1000
# save_warmup=1
# thin=1
# refresh=200
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.999
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=20
# sampler_t=NUTS(diag_e)
# sample_file=/Users/davidhodgson/Dropbox/My Mac (David’s MacBook Air)/Documents/research/covid/HERO/serobayes/include/asymp/c19zones_unadjusted_4.csv
# diagnostic_file=/Users/davidhodgson/Dropbox/My Mac (David’s MacBook Air)/Documents/research/covid/HERO/serobayes/include/asymp/c19zones_unadjusted_diag_4.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,beta_0,beta.1,beta.2,beta.3,beta.4,beta.5,beta.6,sigma.1,l,prod_val,marginal.1.1,marginal.2.1,marginal.3.1,marginal.4.1,marginal.5.1,marginal.6.1,index.1
-207.633,0.999547,0.035,6,127,0,209.777,-0.199167,0.329372,-0.49969,0.478203,0.059492,-1.14447,-0.762176,0.387281,6,0.166667,0.482106,0.403071,0.496508,0.456082,0.344704,0.378871,6
-210.957,0.989971,0.0367289,6,63,0,215.28,-0.406202,1.41128,0.798104,-2.43662,-1.92821,-0.286217,0.461263,0.167818,6,0.166667,0.45776,0.432351,0.306803,0.325241,0.388355,0.418534,6
-207.085,0.99975,0.0375307,6,63,0,213.601,-0.463979,0.599415,-0.112524,0.352333,-1.05708,0.066846,-0.0229946,0.165032,6,0.166667,0.409736,0.38165,0.399912,0.345601,0.38866,0.385143,6
-209.746,0.995319,0.0393489,6,63,0,211.269,-0.404564,1.6223,-0.846602,0.151244,0.562827,0.631689,0.566194,0.118076,6,0.166667,0.446948,0.376477,0.404511,0.416269,0.418246,0.416366,6
-209.813,0.999698,0.0407389,6,127,0,215.847,-0.410016,1.65227,-0.926982,-0.0109473,0.448244,0.58176,0.740996,0.119962,6,0.166667,0.447245,0.372567,0.398593,0.411869,0.415754,0.420402,6
-210.565,0.99411,0.0426383,5,31,0,212.061,-0.43747,1.74086,-0.859162,-0.367029,0.499779,0.618068,0.614638,0.28749,6,0.166667,0.515747,0.335264,0.367493,0.427077,0.435417,0.435175,6
-211.203,0.989866,0.0439436,6,63,0,214.531,-0.30357,-0.593031,1.63974,-1.92548,-0.926369,-0.740553,0.938199,0.176052,6,0.166667,0.399398,0.496277,0.344669,0.385407,0.393184,0.465455,6
-210.147,0.999994,0.044767,6,63,0,212.792,-0.650005,1.61175,-0.427703,0.831197,0.200148,-0.0139686,-0.0954275,0.465784,6,0.166667,0.52516,0.299596,0.434664,0.364293,0.341524,0.333043,6
-211.488,0.999807,0.0467875,6,63,0,214.069,-0.305134,-1.22315,1.00276,0.576626,0.169687,-0.249519,0.711301,0.0122916,6,0.166667,0.420635,0.427316,0.426035,0.424812,0.423554,0.42644,6
-211.833,0.983499,0.0488355,6,63,0,215.552,-0.229669,-1.41666,-0.244399,0.378442,1.07332,-1.36451,0.568403,0.106726,6,0.166667,0.405919,0.436408,0.452821,0.471252,0.407261,0.457849,6
-209.816,0.998637,0.0488737,6,63,0,215.302,-0.266718,0.134849,1.55183,-0.735792,-0.693817,0.479314,-0.39736,0.305935,6,0.166667,0.443872,0.551824,0.379464,0.382493,0.470016,0.40413,6
-207.972,0.991662,0.0507979,5,63,0,215.831,-0.714049,0.475236,1.22773,-1.02681,0.460767,-0.407687,0.501743,0.212188,6,0.166667,0.351327,0.38852,0.282534,0.350628,0.309907,0.35261,6
-208.811,0.99849,0.0518497,5,47,0,211.104,-0.258777,0.284197,-0.0725487,0.270327,-0.378615,0.156565,0.112578,0.0705244,6,0.166667,0.440598,0.434407,0.440357,0.429111,0.438381,0.437617,6
-209.702,0.981222,0.0537998,6,63,0,211.217,-0.697083,1.37524,-0.21301,-0.470311,-0.209797,-0.554981,0.0868628,0.127181,6,0.166667,0.372343,0.326475,0.31932,0.326564,0.316984,0.334916,6
-208.834,0.995234,0.0534671,6,63,0,214.032,-0.212671,0.482303,0.484585,-1.56935,-1.87441,-0.642201,-0.994577,0.236619,6,0.166667,0.475383,0.475517,0.35801,0.341595,0.40984,0.389835,6
-204.744,0.998054,0.0549793,6,63,0,210.072,-0.575077,0.809298,0.375619,-0.608889,0.416794,-0.266755,0.0910498,0.657219,6,0.166667,0.489204,0.418676,0.273835,0.425276,0.320736,0.373967,6
-207.796,0.966347,0.0568895,5,31,0,209.201,-0.78928,0.470431,1.53482,-1.3748,0.590631,-0.209287,0.793877,0.336984,6,0.166667,0.34734,0.432399,0.222256,0.356578,0.29738,0.372442,6
-206.488,0.999957,0.0545081,6,63,0,209.05,-0.500964,1.40679,0.0978753,0.45004,-0.587064,-0.0476486,0.0614211,0.689396,6,0.166667,0.615118,0.393294,0.452467,0.287884,0.369628,0.387313,6
-205.333,0.99881,0.056616,5,31,0,207.796,-0.474225,1.02553,0.604205,0.295866,-0.524052,-0.837541,0.216934,0.48797,6,0.166667,0.50655,0.455272,0.418277,0.325206,0.292573,0.408935,6
-204.313,0.994502,0.0586054,5,31,0,206.029,-0.505638,0.981952,0.642673,-0.245684,-0.0654331,-0.364264,0.0251522,0.577371,6,0.166667,0.515323,0.466406,0.343556,0.367393,0.328285,0.379631,6
-204.57,0.97935,0.0600137,6,63,0,206.192,-0.478295,0.639467,0.441005,-1.49276,-0.448485,-0.0392967,0.239868,0.648209,6,0.166667,0.484059,0.45204,0.190631,0.316694,0.376656,0.419991,6
-205.485,0.994583,0.0592851,5,63,0,207.455,-0.304448,0.604416,0.000624378,0.0896563,-0.322739,-0.9485,0.129581,0.455313,6,0.166667,0.492688,0.42454,0.434473,0.389029,0.323811,0.438944,6
