# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=21
# stan_version_patch=0
# init=random
# enable_random_init=1
# seed=1929026750
# chain_id=3
# iter=2000
# warmup=1000
# save_warmup=1
# thin=1
# refresh=200
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.999
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=20
# sampler_t=NUTS(diag_e)
# sample_file=/Users/davidhodgson/Dropbox/My Mac (David’s MacBook Air)/Documents/research/covid/HERO/serobayes/include/asymp/c19zones_unadjusted_3.csv
# diagnostic_file=/Users/davidhodgson/Dropbox/My Mac (David’s MacBook Air)/Documents/research/covid/HERO/serobayes/include/asymp/c19zones_unadjusted_diag_3.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,beta_0,beta.1,beta.2,beta.3,beta.4,beta.5,beta.6,sigma.1,p_beta_0,p_beta.1,p_beta.2,p_beta.3,p_beta.4,p_beta.5,p_beta.6,p_sigma.1,g_beta_0,g_beta.1,g_beta.2,g_beta.3,g_beta.4,g_beta.5,g_beta.6,g_sigma.1
-214.6,0.999597,0.0205233,6,63,0,218.001,-0.203316,2.72366,0.0537548,1.01679,0.110841,0.0512952,-0.782071,-3.40168,0.52243,-1.35972,-0.559447,-1.53385,-1.14514,-0.00759663,0.716563,0.435412,18.0924,2.68733,0.0367441,1.09023,0.254399,0.322313,-0.607182,-1.09883
-209.546,0.999962,0.0215244,7,127,0,217.339,-0.282796,-1.38308,0.0607756,-1.51394,0.00725755,-0.71087,0.40013,-1.32804,1.89147,1.42685,-1.26277,0.577718,1.69711,1.35765,-1.79995,-0.286126,10.238,-2.38846,-0.287435,-1.15682,0.968703,0.283043,2.22922,0.126016
-208.214,0.998181,0.0226406,7,127,0,212.729,-0.443388,-0.95222,0.459789,-0.856574,0.428205,-1.01066,-0.555535,-1.75504,-1.48284,-1.30731,-0.755136,-1.36226,-0.467755,0.301366,1.37572,0.703477,-4.90981,-1.5742,0.0276947,-0.598251,0.928879,-0.757564,-1.28581,-0.290498
-208.24,0.999986,0.0237163,7,127,0,210.193,-0.374859,-0.912461,0.681884,-0.857468,0.31251,-1.30248,-0.492126,-1.89008,-0.539709,-0.34199,-1.00727,-0.0611378,0.630714,1.26739,-0.39921,0.560379,0.639733,-1.38591,0.473815,-0.6104,0.801883,-0.973473,-0.722791,-0.93274
-208.239,0.997439,0.0249978,7,127,0,210.969,-0.392862,-1.37228,0.707707,-0.0464078,-0.402581,-1.08068,-0.319252,-1.22635,-0.856856,-0.0274206,0.135721,-1.21979,1.22921,-0.685632,-0.612398,-0.929,-4.18826,-2.6833,0.617058,0.481146,0.110478,-1.05584,-1.09647,1.01855
-209.542,0.993006,0.0261607,7,127,0,211.975,-0.594229,0.176294,-0.137952,-1.89729,0.101724,-0.14715,-0.30922,-2.22001,-0.661308,-1.7856,0.476826,0.525287,-0.157634,-0.696256,-0.475592,0.0330255,-12.2907,-0.197169,-0.723136,-1.77024,0.229755,0.0249662,-1.0481,-0.901369
-206.615,0.998207,0.0270301,7,127,0,211.541,-0.47753,0.980426,0.980975,0.0704786,4.20401e-05,0.161174,-0.166325,-0.504309,1.65133,-0.910239,-0.473283,1.67158,1.08495,0.576206,-0.075125,-1.3283,6.67619,1.04133,3.05528,1.1277,1.21792,3.30603,-3.40119,2.81794
-211.97,0.997409,0.0283596,7,127,0,214.576,-0.399208,0.846296,0.55989,-1.78698,0.966433,-1.05313,1.8734,-2.66612,0.322422,-1.06532,-1.21235,0.507333,-1.47834,0.217988,0.0146806,-0.109978,7.42551,0.68849,0.389183,-1.67545,1.18914,-0.793758,2.15227,-0.894392
-211.541,0.998961,0.0296793,7,127,0,213.52,-0.4919,0.360924,1.37962,0.453236,-1.34903,-2.75651,0.231876,-1.94759,0.764421,0.139383,0.0820855,-0.822822,0.606082,-0.763526,1.0414,-0.797271,-7.01078,-0.0349212,1.14249,0.704737,-1.29194,-3.10262,-0.0273391,-0.396496
-205.37,0.995116,0.0311882,6,63,0,215.671,-0.52801,0.563328,0.0840714,-1.04359,-0.0806541,-0.300389,0.59714,-0.794866,1.25747,0.347858,-1.0716,-1.39047,1.43159,3.52846,-0.498312,1.0338,0.865998,-0.307184,-1.72511,-0.644564,0.518103,0.0492881,2.55897,-0.589108
-206.67,0.984131,0.0324021,6,63,0,209.914,-0.176855,0.468928,0.182388,-2.08066,-0.692007,-0.34826,-0.339862,-0.729476,-1.17594,-0.6543,-1.02534,0.387422,-1.339,0.466583,0.627194,-1.03555,10.4358,0.352476,0.611175,-1.76953,0.152973,2.4394,0.521034,-2.98974
-205.739,0.993997,0.032627,6,127,0,212.617,-0.537623,0.583945,0.370261,0.587415,-0.850994,-0.469481,0.257032,-0.852589,2.04978,-0.877054,-1.29637,-0.259965,0.301304,0.763472,0.125144,2.51935,-5.62078,-0.270865,-0.776925,1.44038,-1.35197,-0.608456,-0.120991,-0.602153
-206.903,0.997717,0.0337701,6,63,0,208.384,-0.708199,2.0174,0.545933,-0.587843,0.372897,-0.117678,0.267494,-0.81766,0.267371,0.561347,-0.736357,1.14838,-0.309934,0.24327,-0.288984,-0.688389,-7.93514,2.21827,-1.10334,-0.178448,1.03071,-0.405899,-2.25352,-1.6895
-207.473,0.995432,0.0352972,6,127,0,213.242,-0.577976,-0.468921,1.02031,-1.2026,-0.576165,0.00998246,0.779688,-0.768301,-0.324677,-0.644619,-0.273746,0.0636802,0.55387,-2.17096,-0.714506,-2.32544,3.36988,-2.54167,1.34113,-0.877144,-0.940261,1.00769,3.40357,2.63725
-206.752,1,0.0366377,6,63,0,208.687,-0.334839,0.496303,0.623344,-1.10322,-0.704241,-1.02732,-0.39528,-1.69176,0.204298,1.07781,-0.759087,0.832132,0.318591,-0.548758,-0.851248,0.518625,3.50639,0.169964,0.487179,-0.8121,-0.313603,-0.489941,-0.444374,-2.19157
-209.103,0.996159,0.0384803,6,63,0,210.206,-0.480565,0.257176,-0.191542,-0.485216,0.913306,-1.82076,-0.455664,-1.97437,0.170448,0.235795,0.522864,-0.847405,-0.835452,-0.229101,-0.371215,-0.492205,-7.51179,-0.131286,-0.775685,-0.268,1.3332,-1.85707,-1.06013,-0.229518
-207.383,0.999977,0.039966,6,63,0,210.318,-0.556044,-0.476913,0.544711,0.524452,-0.484751,-0.124526,0.527518,-1.9142,0.63815,0.0751854,-0.598479,-0.428475,1.28539,-1.54825,-0.589949,-0.720076,-5.83244,-1.0203,-0.0210677,0.771874,-0.361705,0.190267,0.173367,-1.05749
-208.453,0.999843,0.0419063,5,63,0,210.768,-0.494818,-0.81318,0.717948,0.257544,-0.219779,-0.507821,0.176176,-3.05193,0.581283,0.299872,-0.150557,0.598249,-0.497139,0.626665,0.691144,1.64401,-3.57375,-0.966095,0.544893,0.336547,-0.134943,-0.366038,0.0509895,-1.04498
-206.623,0.999655,0.0438878,6,63,0,213.243,-0.889785,1.20875,1.48823,-0.7758,0.718524,0.454947,0.995985,-0.555576,0.0222741,-2.38843,2.2722,0.461271,0.88243,-1.09484,0.357912,0.231283,5.38782,0.332569,2.37809,-0.512764,1.87538,1.20196,2.41713,2.22142
-206.404,0.964293,0.0459016,6,95,0,210.984,-0.149081,0.713675,0.00859331,0.269761,-0.789234,-0.844274,-0.0627392,-0.664722,1.03966,-1.93,0.130537,-0.0749341,-0.270747,-1.60309,-0.547029,-1.17874,13.3213,1.04301,0.108846,1.54652,-0.0693731,0.182631,3.41353,-1.55849
-208.792,0.998348,0.0437413,6,63,0,210.381,-0.0894876,-0.500546,0.20807,-2.07218,-0.807359,-1.02547,-0.404287,0.0167082,-0.0475962,-0.129685,-0.27001,0.993667,-0.169808,-0.525117,-1.03029,0.856781,-10.4,-4.1118,3.79165,-2.37682,-2.07347,-6.78976,-3.52584,11.3967
-209.071,1,0.0455517,6,63,0,212.099,-0.794036,2.11924,1.32586,1.00871,0.50503,-0.00489237,0.944882,-0.602892,0.920132,-0.497585,-1.56057,-1.14739,-0.203476,0.629989,-0.407564,0.777609,8.10361,2.88462,1.952,2.14612,1.43286,-0.651248,3.00352,5.56364
