# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=21
# stan_version_patch=0
# init=random
# enable_random_init=1
# seed=2020433332
# chain_id=2
# iter=2000
# warmup=1000
# save_warmup=1
# thin=1
# refresh=200
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.999
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=20
# sampler_t=NUTS(diag_e)
# sample_file=/Users/davidhodgson/Dropbox/My Mac (David’s MacBook Air)/Documents/research/covid/HERO/serobayes/include/asymp/job_grouped_unadjusted_2.csv
# diagnostic_file=/Users/davidhodgson/Dropbox/My Mac (David’s MacBook Air)/Documents/research/covid/HERO/serobayes/include/asymp/job_grouped_unadjusted_diag_2.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,beta_0,beta.1,beta.2,beta.3,beta.4,beta.5,beta.6,beta.7,beta.8,beta.9,sigma.1,l,prod_val,marginal.1.1,marginal.2.1,marginal.3.1,marginal.4.1,marginal.5.1,marginal.6.1,marginal.7.1,marginal.8.1,marginal.9.1,index.1
-203.196,0.999999,0.0227236,7,127,0,205.857,-0.454717,-0.002914,2.14212,2.08795,-0.00707624,-0.665717,0.952327,0.671637,-1.00437,0.22005,0.481751,9,0.111111,0.387906,0.640435,0.634403,0.38743,0.315306,0.501017,0.467258,0.281188,0.413696,9
-198.159,0.999049,0.023933,6,127,0,209.799,-0.588421,0.515334,1.36347,0.786576,0.15671,-0.411648,0.393945,0.822661,-1.1324,-0.467854,0.640303,9,0.111111,0.435745,0.570678,0.478819,0.380346,0.299013,0.416738,0.484588,0.211902,0.291525,9
-201.121,0.997996,0.025154,6,63,0,202.343,-0.682779,1.23665,0.907664,1.14751,-0.282895,-0.439174,-0.601803,1.32932,-0.99806,-0.00541405,0.807147,9,0.111111,0.578198,0.512457,0.560558,0.286771,0.26168,0.237122,0.596326,0.184168,0.334668,9
-201.775,0.998864,0.0263662,6,63,0,204.745,-0.34308,-0.870639,1.29722,0.268581,0.180952,-0.498724,0.002545,1.07765,-1.1676,0.263059,0.662276,9,0.111111,0.285022,0.626221,0.458792,0.444421,0.337742,0.415471,0.591609,0.246688,0.457884,9
-199.309,0.999906,0.0277124,6,63,0,204.829,-0.351078,0.736967,0.632384,0.547193,-0.658431,-0.927448,-0.328604,0.886198,-0.125581,-1.10276,0.706781,9,0.111111,0.542347,0.523951,0.508916,0.306519,0.26765,0.358167,0.568386,0.39178,0.244071,9
-200.264,0.997307,0.0292132,6,63,0,202.92,-0.216054,0.650892,0.883046,0.378538,-0.632651,-0.682168,-0.39308,0.911425,0.0336336,-0.885731,1.05032,9,0.111111,0.614814,0.670717,0.545259,0.293065,0.282407,0.347757,0.677266,0.454941,0.241155,9
-202.665,0.999722,0.0305559,6,63,0,204.656,-0.599325,-1.01982,1.75914,1.43042,0.562805,-0.503173,0.0313652,0.856077,-0.768872,0.0827297,0.503331,9,0.111111,0.24738,0.571042,0.530125,0.421639,0.29889,0.358119,0.457991,0.271639,0.364083,9
-203.527,0.993724,0.0321713,6,63,0,208.532,-0.256683,0.175011,0.374499,1.50203,-0.914357,-2.2368,-0.527051,0.731324,-1.26853,-0.142864,0.357809,9,0.111111,0.451636,0.469367,0.569732,0.358047,0.257877,0.390487,0.501248,0.329471,0.423651,9
-207.743,0.99519,0.0332831,6,63,0,212.696,-0.296214,0.877841,0.45726,1.41125,-2.07873,-1.76941,0.135848,1.55792,-2.29125,-0.0555235,0.387635,9,0.111111,0.511015,0.470294,0.562382,0.249365,0.272476,0.439411,0.576321,0.234266,0.421227,9
-204.572,0.995223,0.0345636,6,63,0,210.897,-0.78779,-0.0612684,1.35884,0.488401,0.657016,-0.378059,0.664519,-0.430101,-1.23195,-0.899717,0.895997,9,0.111111,0.300969,0.605809,0.413338,0.450387,0.244802,0.452052,0.236284,0.131061,0.168831,9
