# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=21
# stan_version_patch=0
# init=random
# enable_random_init=1
# seed=1929026750
# chain_id=2
# iter=2000
# warmup=1000
# save_warmup=1
# thin=1
# refresh=200
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.999
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=20
# sampler_t=NUTS(diag_e)
# sample_file=/Users/davidhodgson/Dropbox/My Mac (David’s MacBook Air)/Documents/research/covid/HERO/serobayes/include/asymp/c19zones_unadjusted_2.csv
# diagnostic_file=/Users/davidhodgson/Dropbox/My Mac (David’s MacBook Air)/Documents/research/covid/HERO/serobayes/include/asymp/c19zones_unadjusted_diag_2.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,beta_0,beta.1,beta.2,beta.3,beta.4,beta.5,beta.6,sigma.1,p_beta_0,p_beta.1,p_beta.2,p_beta.3,p_beta.4,p_beta.5,p_beta.6,p_sigma.1,g_beta_0,g_beta.1,g_beta.2,g_beta.3,g_beta.4,g_beta.5,g_beta.6,g_sigma.1
-219.478,1,0.125,2,3,0,239.8,0.311856,1.3912,-0.458005,-0.286552,-0.481307,-0.92121,-0.522882,0.429482,2.05679,2.55468,-1.49627,1.39768,-0.507703,0.667839,3.77364,3.27898,2.38992,14.1912,-4.81606,3.20978,3.23594,-9.08277,-4.82401,27.3164
-219.478,0,10.0182,0,1,1,224.433,0.311856,1.3912,-0.458005,-0.286552,-0.481307,-0.92121,-0.522882,0.429482,-0.0845424,-0.0704437,1.60024,-1.94387,1.42349,-0.482676,0.460639,-1.04342,2.38992,14.1912,-4.81606,3.20978,3.23594,-9.08277,-4.82401,27.3164
-219.478,7.2931e-191,0.951493,1,1,0,226.313,0.311856,1.3912,-0.458005,-0.286552,-0.481307,-0.92121,-0.522882,0.429482,1.07961,2.4598,-1.51481,-0.0756618,-1.78618,0.0337171,-0.807254,0.557834,2.38992,14.1912,-4.81606,3.20978,3.23594,-9.08277,-4.82401,27.3164
-206.724,0.999421,0.0488594,4,15,0,223.98,-0.295759,-0.11217,-0.328764,-0.00452204,-0.417517,-1.14086,-0.635591,-0.78295,-2.51491,-4.01964,0.578104,0.216619,-0.491903,0.100133,-0.173262,-3.37161,-9.23008,-1.16514,-1.92144,0.901647,0.470875,-1.81451,-3.19433,2.11862
-207.197,0.999708,0.0333091,6,127,0,208.717,-0.624722,0.838045,0.386722,-1.03888,-0.626588,0.369922,0.455227,-1.56545,-0.274188,0.667853,1.02118,-0.468064,0.0287498,0.460893,0.927643,0.428733,-8.48683,0.248409,-0.582166,-0.807313,-0.654609,0.903523,-0.366534,-2.05955
-209.041,0.990262,0.0260444,6,127,0,211.87,-0.225018,0.808801,0.533542,-1.4469,-0.670017,0.122697,0.163235,-1.53568,0.36238,0.188452,-0.509916,1.43715,0.147331,1.18088,1.29517,-0.270926,18.7858,0.64365,0.66803,-1.10608,-0.0464129,1.88486,1.56051,-1.31317
-213.501,0.999838,0.0215959,6,63,0,216.723,0.0129885,-0.18599,1.31848,-1.49875,-2.36715,-1.2452,-0.581224,-0.826497,1.03405,0.984707,0.294733,-0.413312,0.911757,1.64759,0.719447,-0.292703,15.3955,-0.561846,5.32997,-0.880783,-3.24571,-0.0220838,1.55168,3.18735
-207.573,0.999999,0.0195565,6,63,0,214.803,-0.296035,0.0033404,-0.378714,-0.559647,-1.37401,-0.58163,-0.779438,-1.72616,-1.5651,0.486014,-2.1757,1.30225,2.00305,0.739228,0.36909,-0.806451,2.30633,-0.359689,-0.822484,-0.236366,-1.10459,0.289556,-0.973402,-1.56183
-209.746,0.9968,0.0184717,7,127,0,212.088,-0.177748,-0.293334,1.25887,-0.171347,-1.05575,-2.12462,-0.953188,-1.29996,-1.42857,0.320873,0.249801,0.170657,0.904389,0.0402916,1.10016,0.647663,4.48275,-0.796301,2.36599,0.403408,-0.479785,-2.28927,-1.27322,0.762105
-208.527,0.994873,0.0177938,7,127,0,213.884,-0.611308,0.0410585,1.50487,0.151966,-0.241888,-0.342642,0.891838,-2.35831,-1.57584,0.686892,-1.327,-0.0794879,0.824386,2.01178,1.11127,-0.172145,-8.4733,-0.298899,1.14953,0.292446,-0.167821,-0.240942,0.527308,-1.81064
