# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=21
# stan_version_patch=0
# init=random
# enable_random_init=1
# seed=2020433332
# chain_id=3
# iter=2000
# warmup=1000
# save_warmup=1
# thin=1
# refresh=200
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.999
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=20
# sampler_t=NUTS(diag_e)
# sample_file=/Users/davidhodgson/Dropbox/My Mac (David’s MacBook Air)/Documents/research/covid/HERO/serobayes/include/asymp/job_grouped_unadjusted_3.csv
# diagnostic_file=/Users/davidhodgson/Dropbox/My Mac (David’s MacBook Air)/Documents/research/covid/HERO/serobayes/include/asymp/job_grouped_unadjusted_diag_3.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,beta_0,beta.1,beta.2,beta.3,beta.4,beta.5,beta.6,beta.7,beta.8,beta.9,sigma.1,p_beta_0,p_beta.1,p_beta.2,p_beta.3,p_beta.4,p_beta.5,p_beta.6,p_beta.7,p_beta.8,p_beta.9,p_sigma.1,g_beta_0,g_beta.1,g_beta.2,g_beta.3,g_beta.4,g_beta.5,g_beta.6,g_beta.7,g_beta.8,g_beta.9,g_sigma.1
-228.254,1,0.125,5,31,0,246.381,-0.644002,0.406783,-1.3538,0.606419,-2.17194,-1.4596,-0.368378,2.2037,1.63886,1.88418,-12.0218,4.49451,-1.68358,-0.316828,1.24232,-0.573667,-0.197703,-1.15654,1.47556,-1.03758,0.662644,2.4853,-14.2755,0.406769,-1.35386,0.606374,-2.17194,-1.45956,-0.368379,2.20369,1.63887,1.88419,-0.999997
-228.254,0,10.0182,0,1,1,235.26,-0.644002,0.406783,-1.3538,0.606419,-2.17194,-1.4596,-0.368378,2.2037,1.63886,1.88418,-12.0218,1.15488,0.713152,-0.674721,1.54941,1.01495,-0.529933,0.803197,-2.09154,-0.206832,0.11968,-1.71067,-14.2755,0.406769,-1.35386,0.606374,-2.17194,-1.45956,-0.368379,2.20369,1.63887,1.88419,-0.999997
-228.254,0,0.951493,0,1,1,230.799,-0.644002,0.406783,-1.3538,0.606419,-2.17194,-1.4596,-0.368378,2.2037,1.63886,1.88418,-12.0218,0.0395017,0.970077,0.436892,0.0628494,0.116816,0.201075,1.65535,-0.116805,-0.69565,0.798712,0.151348,-14.2755,0.406769,-1.35386,0.606374,-2.17194,-1.45956,-0.368379,2.20369,1.63887,1.88419,-0.999997
-223.387,0.997138,0.0488594,6,127,0,235.779,-0.401404,-0.520727,-1.75235,-0.421869,2.0856,0.0403231,-0.90074,-1.51626,-2.37908,-0.0114851,-10.4073,1.7644,-0.337554,1.6127,-0.552883,1.89989,1.46764,0.498274,-2.01184,-1.32063,-1.9005,1.79896,3.29672,-0.520757,-1.7526,-0.422031,2.08568,0.0407192,-0.90074,-1.51631,-2.379,-0.0114365,-0.999354
-220.732,0.999877,0.0330925,7,127,0,229.453,-0.456373,1.74211,1.66113,0.107901,-1.20641,-1.0337,0.990722,0.296201,0.914994,1.20422,-10.3007,-0.463723,-0.900204,0.8514,0.474842,-1.72471,0.899315,0.311013,1.79041,2.39313,-1.09668,1.20468,-0.77564,1.74207,1.66083,0.107703,-1.20634,-1.03331,0.99072,0.296137,0.915076,1.20427,-1.00094
-217.828,0.999754,0.0258808,7,127,0,224.913,-0.481535,-0.932923,-0.722343,0.223257,1.01183,1.3577,-1.18951,-1.77524,-0.539917,-0.538268,-8.46294,0.186573,-1.56581,-1.67678,-0.40708,0.679156,0.0369351,-0.161094,1.52368,-0.767678,-1.20078,1.96542,-2.61666,-0.93323,-0.724266,0.221968,1.01222,1.36001,-1.18953,-1.77565,-0.539422,-0.537965,-0.99455
-217.408,0.99984,0.0220893,7,127,0,223.273,-0.398051,-0.489144,0.530266,0.166401,0.681128,0.341676,0.471783,-2.11615,-0.395835,-1.12369,-9.11421,-0.0561429,-1.01896,-0.650528,0.250645,1.12837,1.42742,-1.13099,-2.12071,-0.6066,-0.716693,-0.481993,3.54841,-0.489249,0.529349,0.165814,0.681446,0.34313,0.471784,-2.11635,-0.395546,-1.12351,-0.999606
-220.032,0.999975,0.0200109,7,127,0,222.199,-0.456819,-0.982335,1.41908,0.142507,-0.229442,0.64623,-0.869602,-2.24764,0.363725,-1.61673,-9.43085,-0.406662,-0.0900106,0.345663,-0.103146,-0.991652,0.0344522,-1.18375,1.0105,0.737228,0.240531,0.150594,-0.806909,-0.98244,1.41837,0.142035,-0.229269,0.647159,-0.869607,-2.2478,0.36392,-1.61661,-1.00011
-217.138,1,0.0189036,7,127,0,222.957,-0.453109,-0.858591,0.202062,-0.50022,-0.88882,0.867778,-0.73859,-2.14245,0.546823,-0.450288,-8.44347,-0.0783859,-0.533532,1.79065,0.691156,0.552104,0.0538808,-0.493339,-1.04578,-0.0273431,-1.82425,-1.63989,-0.534697,-0.858868,0.200158,-0.501478,-0.888345,0.870296,-0.738602,-2.14286,0.547348,-0.449965,-0.996515
-217.386,0.999107,0.0183969,8,255,0,223.619,-0.470966,1.30614,-1.64279,-1.31451,-0.840406,0.246408,0.776236,0.628591,-0.615113,1.73072,-7.1239,-0.662951,-1.04555,0.424904,-0.327558,-0.781394,0.846602,-0.851523,-2.24892,0.636879,-0.690377,-1.6288,-1.86403,1.30503,-1.65006,-1.31936,-0.838811,0.255439,0.776173,0.627041,-0.613196,1.73189,-0.981616
