# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=21
# stan_version_patch=0
# init=random
# enable_random_init=1
# seed=639647342
# chain_id=4
# iter=2000
# warmup=1000
# save_warmup=1
# thin=1
# refresh=200
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.999
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=20
# sampler_t=NUTS(diag_e)
# sample_file=/Users/davidhodgson/Dropbox/My Mac (David’s MacBook Air)/Documents/research/covid/HERO/serobayes/include/asymp/loc_coded_adjusted_4.csv
# diagnostic_file=/Users/davidhodgson/Dropbox/My Mac (David’s MacBook Air)/Documents/research/covid/HERO/serobayes/include/asymp/loc_coded_adjusted_diag_4.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,beta_0,beta.1,beta.2,beta.3,beta.4,beta.5,beta.6,beta.7,beta.8,beta.9,beta.10,beta.11,beta.12,beta.13,beta.14,beta.15,beta.16,beta.17,beta.18,beta.19,sigma.1,sigma.2,sigma.3,sigma.4,p_beta_0,p_beta.1,p_beta.2,p_beta.3,p_beta.4,p_beta.5,p_beta.6,p_beta.7,p_beta.8,p_beta.9,p_beta.10,p_beta.11,p_beta.12,p_beta.13,p_beta.14,p_beta.15,p_beta.16,p_beta.17,p_beta.18,p_beta.19,p_sigma.1,p_sigma.2,p_sigma.3,p_sigma.4,g_beta_0,g_beta.1,g_beta.2,g_beta.3,g_beta.4,g_beta.5,g_beta.6,g_beta.7,g_beta.8,g_beta.9,g_beta.10,g_beta.11,g_beta.12,g_beta.13,g_beta.14,g_beta.15,g_beta.16,g_beta.17,g_beta.18,g_beta.19,g_sigma.1,g_sigma.2,g_sigma.3,g_sigma.4
-219.72,0.999855,0.0179131,7,127,0,229.518,0.347409,0.300415,-0.527186,-1.23902,1.04418,0.146455,-0.902401,-0.0276984,-0.855332,-0.776229,-1.89934,-0.888316,0.145379,-0.959964,-1.40924,-0.544648,-0.535955,0.731734,0.749742,2.58173,-1.16545,-1.15653,-3.72585,-0.691192,0.185315,1.25028,-0.331962,1.44987,0.0213736,1.05615,0.599019,-0.257062,-0.251788,1.60818,-0.657517,-0.405749,-0.274519,-0.715388,1.10747,-0.389425,0.0448289,-1.0153,-0.306181,-0.380929,-1.24103,1.3058,0.796753,1.97006,5.10158,0.175138,-0.83943,-1.21219,1.19362,0.752069,1.35311,2.16696,-1.13592,-0.574464,-1.14097,-0.888316,0.145379,-0.959964,-1.40924,-0.544648,-0.535955,0.731734,0.749742,2.58173,-1.12155,-2.69803,-1.15602,-0.987683
-215.846,0.999866,0.0180909,7,127,0,229.293,-0.271733,-1.16103,0.88289,0.671095,0.164619,1.13518,-1.16779,0.403159,0.197241,0.0362258,-0.480434,-0.97733,0.611262,0.564438,-1.11486,-1.41692,0.212756,-0.246393,-0.087275,0.488421,-1.80549,0.0468457,-2.95986,-1.65618,-1.95845,-0.281433,0.883933,1.30571,-1.09098,0.0914755,0.468997,-0.480212,0.76162,1.62837,-1.27486e-05,0.60998,0.0509842,1.20072,1.11324,0.100754,0.63616,-0.853813,-0.819628,-2.55875,-0.80969,1.46135,1.14568,-0.298104,8.58396,-1.69632,1.08988,1.45153,0.177534,1.35495,0.168728,0.906013,1.23786,8.91133,-0.0348949,-0.97733,0.611262,0.564438,-1.11486,-1.41692,0.212756,-0.246393,-0.087275,0.488421,-0.503864,0.153959,-0.509912,-1.15088
-220.115,0.995931,0.0184884,7,255,0,232.613,0.38102,-0.393767,-0.256394,-1.74332,-1.03163,-0.102503,-0.627818,-0.146396,-0.200269,-0.785512,-1.56202,-0.179235,-1.40322,-1.41921,0.0895482,-2.25216,0.0706201,0.125974,1.59386,-1.10975,-0.781954,-0.977872,-3.21776,-0.572242,-1.46349,-2.03056,1.00507,1.31862,0.664736,0.68718,-0.74664,0.612309,1.11353,-1.09848,0.924474,-0.996667,1.34225,1.29801,-1.2764,-0.499771,0.201973,-0.332469,-0.852747,1.06706,0.0761759,0.920582,-0.253946,-1.2412,1.14249,-1.57336,-0.674938,-2.59593,-1.0698,-1.70689,2.54174,0.374012,1.97856,-2.05578,-0.972303,-0.179235,-1.40322,-1.41921,0.0895482,-2.25216,0.0706201,0.125974,1.59386,-1.10975,0.473043,-1.30678,-1.12265,-0.769471
-220.02,0.989944,0.0188279,8,255,0,233.039,-0.678113,1.27182,0.0490903,-0.0527818,0.594991,0.0693121,-0.463603,-0.644799,0.00164671,0.619249,0.129889,-0.218953,1.6966,1.79505,-1.1075,2.20006,0.4125,-0.587526,-0.94322,1.33415,-1.39208,0.0937372,0.194786,-1.94439,-0.460704,-0.699207,0.432149,1.17072,0.263717,1.42967,3.06002,1.31827,1.68289,0.548938,0.542624,0.616644,0.0362719,-0.0744795,1.4014,0.792856,-0.701249,0.608128,-1.42333,0.0393881,1.07586,-0.276211,-0.150311,0.101511,17.0273,1.37545,0.328003,22.9601,1.89057,0.297802,1.17505,-0.221549,1.22946,17.0994,3.33284,-0.218953,1.6966,1.79505,-1.1075,2.20006,0.4125,-0.587526,-0.94322,1.33415,-2.00588,10.5724,0.816375,-1.3696
-217.024,0.990095,0.0189453,8,255,0,233.717,-0.761791,0.70299,0.38785,-0.764834,0.807304,0.623607,-0.412556,0.393478,-0.00388603,0.495947,-0.021767,-0.520825,-1.82234,-1.26724,0.309594,-0.195968,0.52274,-0.408646,2.38677,1.80788,-0.452152,-0.734985,-1.87868,-0.744003,-1.84113,1.11642,-0.0849505,-0.701887,1.03673,-1.29614,-0.0480068,-1.59905,0.477098,0.417537,0.522257,-0.171298,1.87392,1.92101,-1.14115,2.22781,0.365499,-0.551923,-1.16997,1.17121,0.12074,1.3961,1.33305,-1.35818,-11.1679,0.156606,-0.093993,-3.51943,1.01082,-0.54073,-6.39471,-0.0626855,-1.66646,-5.4313,0.604193,-0.520825,-1.82234,-1.26724,0.309594,-0.195968,0.52274,-0.408646,2.38677,1.80788,3.24815,-3.31926,0.181466,-2.05084
-210.826,0.998629,0.0191728,7,255,0,221.785,-0.637485,0.302155,-0.00934767,-0.345183,0.566965,0.387175,-0.142165,0.363815,0.0689424,0.77646,-0.165467,0.307045,-0.684073,-1.53419,1.24512,-0.431489,0.279835,-0.165501,1.36953,-0.300896,-1.45026,-0.841332,-0.35174,-0.419538,-1.27353,0.118235,0.155629,-1.56572,0.811574,0.304131,0.0912099,-1.01732,0.30864,0.441334,0.766122,-0.64285,-1.69502,-0.845046,-0.0678827,-0.0694524,0.459864,-0.376281,2.07074,1.99033,0.611798,-0.988528,-1.08107,0.0589728,1.42171,-0.291111,-0.313185,1.0861,0.803973,-1.01357,1.2434,1.03122,0.534987,1.99421,0.900181,0.307045,-0.684073,-1.53419,1.24512,-0.431489,0.279835,-0.165501,1.36953,-0.300896,-0.964502,-0.883292,-0.314812,-0.0421932
-212.487,0.998784,0.0199993,8,255,0,219.489,0.0565441,-0.0759908,0.0585273,-0.179524,-0.238491,0.261502,-0.126141,-0.2161,0.119838,-0.502005,-0.924453,-1.55805,0.273534,1.33778,-0.409584,0.112936,1.58995,-0.349344,-0.858483,0.00543393,0.131397,-0.696135,-0.142799,-1.29863,0.618758,-0.855329,-0.637501,-0.296537,0.3933,0.387486,-0.280814,-1.12717,1.04092,0.952114,-1.05704,0.340943,0.626975,1.09206,-1.17947,0.421317,-0.99443,0.331865,-1.12043,0.325596,-1.23308,0.222526,-0.566981,-0.109298,0.203504,-3.55716,-0.55157,0.453125,-0.870443,1.19669,2.85538,-1.2548,1.88444,-2.22201,0.651871,-1.55805,0.273534,1.33778,-0.409584,0.112936,1.58995,-0.349344,-0.858483,0.00543393,0.788521,-1.20418,0.00998356,-0.838988
-212.661,0.999072,0.0209267,7,127,0,219.952,-0.720791,1.7262,1.12319,-0.148737,0.0411623,0.0701043,0.0727203,0.42126,-0.472242,0.496998,0.241926,-0.371585,0.145901,0.903226,-0.418873,0.797022,-0.0427266,-1.12278,0.523648,-0.227976,-1.22021,-0.261966,0.39798,-2.38849,0.517189,-0.487237,-0.406724,-0.511316,0.944594,0.445564,0.618264,-0.0320275,0.909148,-0.237232,-0.660833,-1.64203,0.301804,1.50785,-0.485522,0.24816,1.6049,-0.542482,-0.782612,-0.0327201,1.15066,0.223558,0.794571,-0.100243,-1.01599,1.59666,1.20191,-0.175573,-0.286041,0.241222,-0.172567,0.584579,-0.706804,-2.92559,3.4339,-0.371585,0.145901,0.903226,-0.418873,0.797022,-0.0427266,-1.12278,0.523648,-0.227976,-0.600242,-1.15755,0.428238,-0.924896
-218.045,0.957175,0.0219575,7,127,0,228.248,-0.897337,1.79368,0.548068,0.334089,0.146125,-0.7375,0.194306,0.267943,-1.03586,0.329669,0.54606,0.0820816,0.446252,0.425641,-0.596392,0.903925,-0.686079,-0.101838,1.22426,0.0219264,-1.54238,-0.773809,-0.723873,-2.08303,-0.575158,-0.350256,-1.16792,-0.190331,0.296149,-0.659135,-0.132496,-0.399407,-0.739052,0.323727,-0.577024,0.846278,0.449933,-1.03507,-0.172267,-0.0496479,-1.03972,1.98516,0.997925,0.47273,-0.4601,-1.13034,-2.58581,0.656541,-9.47338,1.47415,-0.0936873,-1.64276,-0.266627,-3.50431,0.229286,-0.109919,-1.60644,-5.62481,2.51538,0.0820816,0.446252,0.425641,-0.596392,0.903925,-0.686079,-0.101838,1.22426,0.0219264,-1.01548,-1.41669,-0.546207,0.266776
-226.994,0.979219,0.0203382,7,127,0,241.077,-0.325004,-1.05156,-0.783003,-0.955018,0.0639847,1.33461,-1.60095,-0.610472,0.0963223,-1.19724,-0.214882,-0.0245223,0.858878,-1.81294,1.26641,-0.504975,0.179735,0.455589,-1.09256,0.41896,-3.08717,-4.5336,-5.27661,-0.909608,2.83974,2.08026,-0.0770195,0.109732,0.317841,0.177889,-0.656615,-1.1796,-0.141182,0.716997,-0.565762,0.0870093,1.32088,-0.989299,0.297704,0.75745,-0.74883,0.25535,0.676706,0.386841,0.460241,2.68541,0.940572,0.110006,-2.37377,-1.16981,-0.893738,-0.954995,0.0636047,2.98798,-2.76593,-2.35387,1.59723,-2.19671,-0.182937,-0.0245223,0.858878,-1.81294,1.26641,-0.504975,0.179735,0.455589,-1.09256,0.41896,-0.901147,-0.931528,-0.989301,5.96743
