# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=21
# stan_version_patch=0
# init=random
# enable_random_init=1
# seed=1929026750
# chain_id=1
# iter=2000
# warmup=1000
# save_warmup=1
# thin=1
# refresh=200
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.999
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=20
# sampler_t=NUTS(diag_e)
# sample_file=/Users/davidhodgson/Dropbox/My Mac (David’s MacBook Air)/Documents/research/covid/HERO/serobayes/include/asymp/c19zones_unadjusted_1.csv
# diagnostic_file=/Users/davidhodgson/Dropbox/My Mac (David’s MacBook Air)/Documents/research/covid/HERO/serobayes/include/asymp/c19zones_unadjusted_diag_1.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,beta_0,beta.1,beta.2,beta.3,beta.4,beta.5,beta.6,sigma.1,p_beta_0,p_beta.1,p_beta.2,p_beta.3,p_beta.4,p_beta.5,p_beta.6,p_sigma.1,g_beta_0,g_beta.1,g_beta.2,g_beta.3,g_beta.4,g_beta.5,g_beta.6,g_sigma.1
-240.484,0.2,0.25,3,15,0,248.509,-1.49563,-0.425372,-0.579748,-0.944564,0.640877,-1.17436,1.74604,-1.15162,-2.68266,-2.47211,-0.522846,0.104958,0.03555,1.50647,0.0964936,-0.420651,-56.322,-2.81522,-5.36521,-0.945232,-0.521966,-5.29296,-3.12845,-1.3119
-240.484,0,2.33931,0,1,1,242.571,-1.49563,-0.425372,-0.579748,-0.944564,0.640877,-1.17436,1.74604,-1.15162,0.230578,0.815723,-0.533564,-0.143635,-0.377521,-0.875577,-1.36036,0.624532,-56.322,-2.81522,-5.36521,-0.945232,-0.521966,-5.29296,-3.12845,-1.3119
-213.155,0.948593,0.144375,4,15,0,235.739,-0.372389,1.78193,0.232071,0.943658,1.06216,0.296242,-0.469094,-5.58464,5.44012,0.523654,0.790815,0.837503,-0.865388,1.03516,-2.17071,-2.72746,5.51177,1.77292,0.222341,0.950649,1.07307,0.316337,-0.46625,-0.991757
-213.643,0.91828,0.0725955,6,63,0,218.274,-0.275738,-2.12767,0.482908,-1.02871,-0.734141,-1.56315,0.593924,-3.61111,1.41231,0.263426,0.800594,0.314095,0.822705,-1.16477,-0.0552024,-2.10242,12.2238,-2.18802,0.448729,-0.975396,-0.63941,-1.39512,0.710142,-1.17909
-212.366,0.999998,0.0403887,6,127,0,216.978,-0.594932,0.571881,-0.255104,0.572209,-0.107213,-0.14592,-0.91705,-6.16036,0.597861,2.06797,-0.405189,0.892365,0.78296,1.64768,-0.337829,-0.433387,-10.8719,0.56443,-0.266149,0.575356,-0.104922,-0.142089,-0.929523,-0.986897
-214.184,0.996964,0.0318734,6,127,0,217.586,-0.309853,0.230041,-0.512568,-0.0515025,-0.411275,1.86924,0.331607,-6.85105,-1.15274,0.540964,0.064874,0.756678,0.177354,-1.59063,-1.40008,0.288221,10.2084,0.227805,-0.514525,-0.0494261,-0.407694,1.876,0.334518,-0.986439
-208.43,0.997808,0.0271247,7,127,0,215.53,-0.414745,-0.286864,0.206336,0.177595,0.367504,-1.7412,-0.34245,-2.37515,-1.68637,-0.342197,-1.26895,0.492893,-0.0415832,0.909041,-0.141589,-2.92172,-0.809014,-0.545458,-0.0615964,0.346127,0.628246,-1.54592,-0.477141,-1.05624
-208.991,0.997906,0.0245009,7,127,0,212.728,-0.466693,0.542987,0.694658,-1.7803,-1.87056,-0.352401,0.0846351,-0.500294,-0.288215,-0.724753,0.74839,-0.434227,-1.21338,-1.82524,-0.0354135,-1.14519,-5.29689,-0.197057,1.56267,-1.64116,-5.07995,-0.0347041,-0.219585,5.42543
-210.069,0.997441,0.0230401,7,127,0,213.014,-0.289097,-0.86984,-0.99807,0.453949,0.298494,-1.08559,-0.536628,-2.89458,-0.358649,0.117111,0.239828,-1.54099,-1.72359,-0.00847781,0.0151316,0.586861,9.10699,-0.994526,-1.1232,0.566845,0.503036,-0.769681,-0.400344,-1.01511
-213.207,0.999651,0.0222634,7,127,0,215.087,-0.300295,0.283252,0.789975,1.46836,-0.339346,0.454726,-2.0391,-4.18309,-0.195637,0.937424,1.09506,-0.440815,-0.360226,1.01363,0.509526,-0.180708,10.2136,0.2521,0.765904,1.49912,-0.287133,0.555708,-2.00747,-1.00371
