# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=21
# stan_version_patch=0
# init=random
# enable_random_init=1
# seed=917402092
# chain_id=2
# iter=2000
# warmup=1000
# save_warmup=1
# thin=1
# refresh=200
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.999
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=20
# sampler_t=NUTS(diag_e)
# sample_file=/Users/davidhodgson/Dropbox/My Mac (David’s MacBook Air)/Documents/research/covid/HERO/serobayes/include/asymp/job_grouped_adjusted_2.csv
# diagnostic_file=/Users/davidhodgson/Dropbox/My Mac (David’s MacBook Air)/Documents/research/covid/HERO/serobayes/include/asymp/job_grouped_adjusted_diag_2.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,beta_0,beta.1,beta.2,beta.3,beta.4,beta.5,beta.6,beta.7,beta.8,beta.9,beta.10,beta.11,beta.12,beta.13,beta.14,beta.15,beta.16,beta.17,beta.18,beta.19,beta.20,sigma.1,sigma.2,sigma.3,sigma.4,l,prod_val,marginal.1.1,marginal.2.1,marginal.3.1,marginal.4.1,marginal.5.1,marginal.6.1,marginal.7.1,marginal.8.1,marginal.9.1,marginal.1.2,marginal.2.2,marginal.3.2,marginal.4.2,marginal.5.2,marginal.6.2,marginal.7.2,marginal.8.2,marginal.9.2,marginal.1.3,marginal.2.3,marginal.3.3,marginal.4.3,marginal.5.3,marginal.6.3,marginal.7.3,marginal.8.3,marginal.9.3,marginal.1.4,marginal.2.4,marginal.3.4,marginal.4.4,marginal.5.4,marginal.6.4,marginal.7.4,marginal.8.4,marginal.9.4,index.1,index.2,index.3,index.4
-210.498,0.972878,0.0179778,7,127,0,230.361,-0.577096,0.766761,1.41875,0.587076,-0.427896,-0.307669,-0.151713,-0.580621,-1.45583,-0.86739,0.870134,0.917103,-0.779712,-1.0807,-0.31346,1.42994,1.40316,-0.17381,0.95375,-0.134028,-1.41835,0.713251,0.282145,0.0805318,0.379192,360,0.000315844,0.503402,0.6166,0.471633,0.303105,0.321403,0.345968,0.28073,0.17335,0.241537,0.358136,0.360988,0,0,0,0,0,0,0,0.36339,0.345902,0.347954,0.350623,0,0,0,0,0,0.384558,0.397777,0.361824,0.293208,0.338569,0,0,0,0,9,11,6,9
-212.448,0.999602,0.0166731,8,255,0,220.778,-0.449597,1.44754,1.72075,0.159267,-0.603517,-0.0322692,-0.159466,-0.44977,-1.15264,-0.490958,0.428984,0.851837,-0.327245,-1.12208,-0.582855,1.95176,1.01712,0.525954,0.414813,-0.342638,-0.700132,0.673116,0.24551,0.0932778,0.603879,360,0.000315844,0.602455,0.644995,0.391816,0.27944,0.361925,0.342624,0.300517,0.211911,0.294783,0.366628,0.389144,0,0,0,0,0,0,0,0.377886,0.362584,0.374019,0.371461,0,0,0,0,0,0.427901,0.410477,0.371623,0.284789,0.366231,0,0,0,0,9,11,6,9
-209.433,0.999414,0.0170295,7,127,0,220.208,0.174171,-0.466074,1.46661,1.17277,0.0121455,-0.458156,-1.59247,-0.519273,-1.22929,-1.82767,0.265232,-0.309278,-0.279313,0.683995,0.52152,0.788583,-0.444897,0.721826,0.273035,-0.066625,1.26212,0.582972,0.317413,0.0969942,0.786726,360,0.000315844,0.310814,0.56959,0.52918,0.370763,0.311766,0.19294,0.304464,0.22696,0.173003,0.357408,0.320467,0,0,0,0,0,0,0,0.351659,0.328809,0.319753,0.298432,0,0,0,0,0,0.435649,0.25116,0.424688,0.304845,0.219778,0,0,0,0,9,11,6,9
-206.45,0.999413,0.017539,8,255,0,217.553,-0.509658,0.436022,1.5881,1.07318,0.137775,-0.24553,0.00947319,1.24585,-0.583262,-1.17294,-0.196692,-0.183528,0.291416,-0.450487,-0.700164,-0.472726,0.760872,-0.656663,-0.489109,0.254847,-0.985517,0.643524,1.60116,0.217174,0.0907409,360,0.000315844,0.409373,0.591826,0.510409,0.364084,0.309304,0.345266,0.537991,0.265039,0.198095,0.376966,0.381655,0,0,0,0,0,0,0,0.393773,0.34887,0.331141,0.342888,0,0,0,0,0,0.373484,0.378621,0.403881,0.366723,0.355039,0,0,0,0,9,11,6,9
-215.419,0.998359,0.0181843,7,127,0,225.973,-0.595534,0.613139,0.489079,-0.569519,-0.687031,-1.00715,0.740139,0.201444,-0.692905,0.573965,1.14032,0.401191,-1.02091,0.190622,-0.940147,-2.81727,-0.987264,0.935942,-0.787973,0.597075,0.904229,0.5809,0.587906,0.250962,0.0762265,360,0.000315844,0.527254,0.50952,0.361623,0.346219,0.305902,0.545338,0.468386,0.345457,0.52166,0.446383,0.346784,0,0,0,0,0,0,0,0.403202,0.396449,0.378251,0.480322,0,0,0,0,0,0.38863,0.419171,0.409679,0.394068,0.416236,0,0,0,0,9,11,6,9
-216.871,0.998757,0.0188848,7,255,0,227.969,-1.27012,-0.0944344,1.49102,1.46629,0.680538,-0.0720741,0.757776,1.14292,-1.15029,-1.55576,0.377753,-1.1153,0.102603,-0.551968,-1.0154,1.58283,0.64569,-2.61459,1.30198,0.644561,-0.309425,0.542471,0.333857,0.387815,0.0619582,360,0.000315844,0.283854,0.478652,0.475392,0.374213,0.286277,0.383841,0.433038,0.184166,0.153762,0.378038,0.275085,0,0,0,0,0,0,0,0.35911,0.296066,0.241803,0.301995,0,0,0,0,0,0.333753,0.344508,0.349551,0.320015,0.314921,0,0,0,0,9,11,6,9
-216.307,0.999269,0.0197087,8,255,0,228.337,-0.504415,0.381307,0.575096,-0.303976,-0.362886,-0.618762,1.45404,0.860015,-0.0222456,-1.29063,0.985215,-0.677387,-1.1418,1.04738,-0.27153,1.88504,0.955362,-1.76612,0.00236464,1.58162,1.47103,0.725883,0.243313,0.198872,0.0792058,360,0.000315844,0.45561,0.490193,0.338689,0.32929,0.290076,0.643473,0.541114,0.385289,0.201345,0.408733,0.320713,0,0,0,0,0,0,0,0.36844,0.36589,0.354898,0.447286,0,0,0,0,0,0.357306,0.39331,0.382857,0.367528,0.345942,0,0,0,0,9,11,6,9
-215.094,0.998073,0.0206555,7,127,0,228.329,-0.817521,-0.0846288,0.981192,-0.394024,-0.307466,-0.457829,-0.663332,-0.106768,-1.82206,-0.0707061,0.59715,0.180823,-1.40453,1.18004,-1.3735,2.19552,-0.759108,-1.30688,0.458774,-0.254874,0.650769,0.849318,2.13832,0.851995,0.128037,360,0.000315844,0.402828,0.614958,0.344106,0.36017,0.332475,0.296357,0.398517,0.139369,0.405547,0.439533,0.250813,0,0,0,0,0,0,0,0.36534,0.3812,0.353817,0.317807,0,0,0,0,0,0.365419,0.35982,0.37506,0.328942,0.376056,0,0,0,0,9,11,6,9
-217.986,0.99891,0.0216096,7,127,0,229.102,0.69936,-0.271256,1.02322,-1.18804,-0.633751,-1.02276,0.0227417,-0.654829,-0.440948,-3.14547,0.898294,-0.790557,-0.244296,-1.42453,0.108618,1.07003,1.40835,-0.18774,-0.736367,-0.0323398,-0.931825,0.549377,0.199049,0.831216,0.160042,360,0.000315844,0.40006,0.570957,0.290195,0.354672,0.308707,0.438214,0.352102,0.378547,0.125119,0.373184,0.30293,0,0,0,0,0,0,0,0.317356,0.418128,0.346209,0.545359,0,0,0,0,0,0.337606,0.373392,0.350023,0.357332,0.270402,0,0,0,0,9,11,6,9
-216.086,0.999424,0.0226944,7,255,0,228.278,0.130767,0.16449,0.877334,1.17092,-0.298241,-0.114636,-0.187695,1.8649,-1.65977,1.23473,-0.559961,-0.548623,-0.298438,-0.43623,0.465372,-1.65223,-1.22189,0.126675,0.487958,0.209686,2.08185,0.4918,1.42802,0.10071,0.0441857,360,0.000315844,0.380479,0.465678,0.50166,0.328551,0.34874,0.340637,0.585981,0.200447,0.509491,0.391044,0.394748,0,0,0,0,0,0,0,0.400855,0.367261,0.371399,0.36975,0,0,0,0,0,0.388748,0.388011,0.40887,0.373287,0.402429,0,0,0,0,9,11,6,9
