# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=21
# stan_version_patch=0
# init=random
# enable_random_init=1
# seed=758170905
# chain_id=3
# iter=2000
# warmup=1000
# save_warmup=1
# thin=1
# refresh=200
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.8
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=10
# sampler_t=NUTS(diag_e)
# sample_file=/Users/davidhodgson/Dropbox/My Mac (David’s MacBook Air)/Documents/research/covid/HERO/hero-study/include/time/IgA_N_Serum_3.csv
# diagnostic_file=/Users/davidhodgson/Dropbox/My Mac (David’s MacBook Air)/Documents/research/covid/HERO/hero-study/include/time/IgA_N_Serum_diag_3.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,a,b,sigma,p_a,p_b,p_sigma,g_a,g_b,g_sigma
-2.94985,1,0.0078125,1,1,0,425.545,0.253628,0.950952,-1.74357,19.7888,17.2018,-12.5575,1659.81,1574.56,-811.275
-2.94985,0,14.3855,0,1,1,5.43176,0.253628,0.950952,-1.74357,-1.68019,-0.463744,1.38771,1659.81,1574.56,-811.275
-2.94985,0,2.43117,0,1,1,5.01925,0.253628,0.950952,-1.74357,-0.845145,-1.71488,-0.695503,1659.81,1574.56,-811.275
-2.94985,0,0.239791,0,1,1,5.4741,0.253628,0.950952,-1.74357,2.01399,0.0288642,-0.995748,1659.81,1574.56,-811.275
-2.94985,7.24931e-65,0.0186273,2,3,0,4.553,0.253628,0.950952,-1.74357,-1.41902,-1.02051,0.388914,1659.81,1574.56,-811.275
7.79756,0.997509,0.00130482,2,3,0,4.82779,0.250074,0.948179,-1.74277,3.76809,3.12626,-1.1308,1600.27,1534.3,-789.218
38.7854,1,0.00187667,2,3,0,-7.86587,0.239309,0.940567,-1.7381,-5.66555,-4.7666,2.64955,1420.05,1410.63,-724.085
104.348,1,0.00303345,2,3,0,-39.5495,0.221117,0.910206,-1.73037,6.53561,8.75002,-3.2125,1006.39,1124.2,-587.738
190.036,1,0.00525952,4,15,0,-111.409,0.169267,0.856295,-1.70073,-7.1354,-8.89221,5.22192,100.731,493.591,-396.386
235.278,0.810437,0.00953631,2,3,0,-186.198,0.153232,0.766221,-1.6094,-3.29234,5.48627,-7.56445,-520.141,-6.81478,-246.362
