# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=21
# stan_version_patch=0
# init=random
# enable_random_init=1
# seed=758170905
# chain_id=2
# iter=2000
# warmup=1000
# save_warmup=1
# thin=1
# refresh=200
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.8
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=10
# sampler_t=NUTS(diag_e)
# sample_file=/Users/davidhodgson/Dropbox/My Mac (David’s MacBook Air)/Documents/research/covid/HERO/hero-study/include/time/IgA_N_Serum_2.csv
# diagnostic_file=/Users/davidhodgson/Dropbox/My Mac (David’s MacBook Air)/Documents/research/covid/HERO/hero-study/include/time/IgA_N_Serum_diag_2.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,a,b,sigma,p_a,p_b,p_sigma,g_a,g_b,g_sigma
405.82,0.966743,0.0125544,4,15,0,-405.468,0.840424,-0.217447,-1.71456,0.248995,-0.0898994,-0.797018,-67.2266,-72.1581,25.6614
405.312,0.328516,0.0202818,1,3,0,-403.761,0.828709,-0.200012,-1.68785,0.116818,1.51373,0.8928,-68.4799,-64.4989,41.816
406.704,0.986872,0.00639208,4,15,0,-404.112,0.792033,-0.115281,-1.74978,0.381668,-0.967464,2.02572,112.137,88.998,3.72059
406.587,0.970226,0.0108384,4,15,0,-405.371,0.808765,-0.175495,-1.7793,-0.837187,0.199683,-1.3009,-132.371,-96.3171,-15.4516
407.468,0.333336,0.0174834,1,3,0,-404.264,0.796515,-0.146037,-1.75082,-0.239637,1.95663,1.58827,-52.7379,-31.0847,4.63992
407.406,0.998951,0.00572399,3,15,0,-407.268,0.797343,-0.132274,-1.75699,-0.340518,0.272344,-0.291989,52.4074,42.9507,0.514593
407.359,0.580258,0.00988626,2,3,0,-405.539,0.797689,-0.131922,-1.76373,1.53671,1.09416,0.28384,59.3727,47.7788,-3.9579
406.295,0.933831,0.00605517,3,11,0,-405.888,0.779007,-0.133169,-1.77574,0.24368,0.66746,-0.557089,-161.275,-93.9264,-14.1666
406.758,0.894311,0.00884532,3,15,0,-404.592,0.804499,-0.143618,-1.80482,-0.919485,-1.72538,-0.713916,55.497,40.4395,-31.7813
405.571,0.849614,0.0116765,4,15,0,-404.97,0.819526,-0.186897,-1.6898,0.894203,-0.375855,-0.511567,-76.2522,-64.0683,40.913
407.199,0.85286,0.0137862,3,7,0,-405.098,0.81114,-0.161606,-1.72311,-1.23594,0.398648,-1.58557,-1.83781,-5.80273,22.3564
407.199,0.0614822,0.0163629,3,15,0,-404.275,0.81114,-0.161606,-1.72311,1.63734,-0.516142,-1.70314,-1.83781,-5.80273,22.3564
407.402,0.999881,0.00296235,5,63,0,-406.772,0.804402,-0.15165,-1.73238,-0.407738,0.714388,-0.764223,-5.74658,-3.78627,16.6253
405.656,0.95061,0.00500984,3,15,0,-403.447,0.80913,-0.144298,-1.68735,0.82825,0.342164,-1.90123,85.5355,57.3323,42.5013
406.06,1,0.0074951,3,7,0,-405.589,0.807533,-0.146375,-1.69192,0.430556,0.422916,0.761163,58.0367,38.9116,40.3107
