# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=21
# stan_version_patch=0
# init=random
# enable_random_init=1
# seed=758170905
# chain_id=1
# iter=2000
# warmup=1000
# save_warmup=1
# thin=1
# refresh=200
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.8
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=10
# sampler_t=NUTS(diag_e)
# sample_file=/Users/davidhodgson/Dropbox/My Mac (David’s MacBook Air)/Documents/research/covid/HERO/hero-study/include/time/IgA_N_Serum_1.csv
# diagnostic_file=/Users/davidhodgson/Dropbox/My Mac (David’s MacBook Air)/Documents/research/covid/HERO/hero-study/include/time/IgA_N_Serum_diag_1.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,a,b,sigma,p_a,p_b,p_sigma,g_a,g_b,g_sigma
-423.386,1,0.0625,1,1,0,573.701,-0.863504,0.849425,1.16534,-1.80169,-0.25588,17.2429,-66.6097,-18.6842,292.523
-423.386,0,14.3855,0,1,1,425.39,-0.863504,0.849425,1.16534,1.45867,0.263895,1.34575,-66.6097,-18.6842,292.523
-423.386,0,2.43117,0,1,1,423.909,-0.863504,0.849425,1.16534,-0.700495,-0.339348,-0.663549,-66.6097,-18.6842,292.523
-423.386,0,0.239791,0,1,1,423.511,-0.863504,0.849425,1.16534,-0.361755,0.30669,-0.158095,-66.6097,-18.6842,292.523
-355.349,1,0.0186273,2,3,0,424.034,-0.784773,0.89627,0.952075,-3.46396,-1.6819,11.0699,-76.6569,-25.5366,282.994
-323.719,0.980219,0.0257257,2,3,0,356.73,-0.794528,0.880666,0.832912,-0.779829,0.175762,8.08608,-90.1059,-33.4898,268.526
162.891,0.408594,0.0380318,2,5,1,181.44,0.123305,1.16014,-0.914743,8.6434,-0.588594,-24.7711,316.355,324.39,62.2945
190.032,1,0.0102543,2,3,0,-163.885,0.0767443,1.09429,-0.908809,-4.34004,-5.73504,-0.753883,132.978,200.313,121.224
372.398,0.774092,0.0179895,4,15,0,-204.069,0.530616,0.236821,-1.65278,12.0415,-11.9507,-6.98877,-225.814,5.28009,-3.85602
374.224,1,0.0160773,1,1,0,-372.965,0.552196,0.24356,-1.64589,1.30242,-0.815955,0.393757,4.95816,153.645,4.32481
374.867,0.333333,0.0299922,1,3,1,-372.495,0.543939,0.230613,-1.63145,-1.7719,1.2399,-0.256954,-136.517,53.8965,14.9821
379.398,1,0.00691346,3,7,0,-374.484,0.571526,0.20769,-1.65078,-2.12991,2.04315,1.05669,-27.4106,120.523,11.5384
379.398,0.448814,0.0132661,1,1,0,-378.49,0.571526,0.20769,-1.65078,0.666365,1.16817,0.0893753,-27.4106,120.523,11.5384
379.685,0.991851,0.00454231,2,3,0,-379.065,0.575068,0.205671,-1.64842,-0.278515,1.07488,-0.0866315,-7.40003,131.912,13.6555
385.598,0.993053,0.00861838,3,7,0,-379.199,0.603879,0.152767,-1.62916,2.5239,-2.53465,0.0442661,-50.2221,79.6652,38.1256
392.014,0.802894,0.0163879,2,3,0,-384.446,0.642546,0.0792367,-1.62763,-2.02268,3.23345,0.766791,-121.557,6.44577,52.1714
394.172,0.549396,0.0172857,2,3,0,-392.066,0.654626,0.0702599,-1.64379,1.30605,-0.854033,-1.33288,-70.2564,38.7277,46.0636
394.127,0.982069,0.00842808,3,7,0,-392.431,0.675397,0.0548094,-1.61659,1.18722,-1.39195,-0.211695,23.8511,88.8542,63.8401
395.538,0.674968,0.0154598,2,3,0,-393.231,0.668467,0.0313067,-1.6382,0.672421,-1.28748,-1.58196,-165.631,-38.024,52.5404
400.354,0.979288,0.0111822,3,7,0,-394.325,0.713664,-0.040105,-1.6563,-1.39943,2.47058,1.99918,-176.873,-70.5247,50.8255
400.354,5.90715e-05,0.0201806,1,1,0,-399.926,0.713664,-0.040105,-1.6563,0.451792,0.574194,0.568016,-176.873,-70.5247,50.8255
404.801,0.999809,0.00199686,5,63,0,-398.928,0.738108,-0.0683846,-1.77249,-0.109179,-2.14297,-2.67244,-153.056,-56.9989,-15.5834
406.302,0.99562,0.00385482,6,63,0,-404.292,0.758877,-0.0919731,-1.73381,-1.83794,0.470445,-0.647916,-82.018,-25.5369,12.8392
405.301,0.807709,0.00727758,3,11,0,-402.71,0.740531,-0.0630336,-1.77069,-1.90332,-0.441398,-1.16836,-86.486,-11.8736,-13.3879
406.736,0.95009,0.00791449,4,15,0,-403.627,0.801361,-0.164332,-1.77287,-1.40679,2.03301,-0.325736,-133.391,-91.4147,-11.0876
407.001,0.986961,0.0129166,3,11,0,-405.159,0.810296,-0.153238,-1.79794,0.366012,0.651491,-1.76799,50.4415,32.1085,-26.7299
407.001,0.177902,0.0232158,1,3,1,-406.365,0.810296,-0.153238,-1.79794,0.378053,-1.0126,-0.322786,50.4415,32.1085,-26.7299
407.226,0.999738,0.00425902,3,7,0,-406.883,0.807682,-0.155613,-1.79313,-0.373982,-0.317059,0.666967,1.25299,-0.684548,-23.195
405.379,0.976766,0.00793179,4,15,0,-403.48,0.759253,-0.0771916,-1.8051,-0.0994812,0.0201637,1.94581,23.425,54.5811,-35.3803
407.495,0.995329,0.0137216,3,15,0,-404.34,0.818676,-0.173639,-1.76571,-1.0247,1.95842,-1.19314,-4.67369,-13.3935,-4.64314
407.495,1.74682e-61,0.0247499,1,1,0,-401.439,0.818676,-0.173639,-1.76571,3.12506,1.44015,0.521044,-4.67369,-13.3935,-4.64314
406.98,0.986236,0.0029613,4,27,0,-405.846,0.83721,-0.190728,-1.75453,0.221103,1.38532,-0.548375,78.3744,31.8657,1.91657
406.683,0.953039,0.005227,3,7,0,-405.712,0.827196,-0.198043,-1.73702,1.16414,0.533325,-0.550213,-79.0565,-71.942,12.5484
403.671,0.907035,0.00836482,4,15,0,-401.386,0.76818,-0.116092,-1.83994,-0.783086,0.307736,1.96517,-182.738,-96.2079,-61.328
406.616,0.897277,0.0117592,3,15,0,-402.256,0.831266,-0.185863,-1.80152,2.05933,-0.889619,1.92048,51.3935,15.8316,-29.4825
406.616,0.018966,0.0160229,3,15,0,-405.713,0.831266,-0.185863,-1.80152,0.561667,0.953452,-0.762338,51.3935,15.8316,-29.4825
406.335,0.996405,0.00219711,6,127,0,-404.825,0.818345,-0.166879,-1.81725,1.49834,-0.677862,0.561744,43.504,20.5567,-40.4918
407.384,0.982314,0.00390018,5,31,0,-404.906,0.823669,-0.177923,-1.7722,1.05485,0.324396,1.93313,20.5735,0.625469,-9.0034
407.011,0.997337,0.0066171,4,15,0,-406.891,0.836727,-0.201669,-1.76611,-0.352658,0.160037,-0.300296,-3.75427,-26.3751,-5.56092
407.344,0.60643,0.0115689,3,13,0,-405.807,0.809901,-0.168659,-1.76497,1.72308,-0.257481,-0.195883,-66.8929,-50.8643,-4.5964
406.6,0.997464,0.00745916,3,15,0,-406.373,0.836905,-0.205185,-1.78824,-0.670828,0.0475205,-0.0188104,-28.5458,-44.8764,-20.7749
406.816,0.454984,0.01292,4,15,0,-405.102,0.789301,-0.115405,-1.73284,-1.61171,0.0949426,0.906508,79.2417,67.1281,14.9258
406.675,0.974953,0.00574095,4,19,0,-406.004,0.821575,-0.15729,-1.76356,0.432785,-0.86815,-0.633532,144.124,89.8827,-4.83676
407.229,0.978754,0.00934367,3,15,0,-406.087,0.819413,-0.182589,-1.76349,0.424292,1.4501,-0.0422483,-60.199,-53.2729,-3.70873
407.425,0.904137,0.0152394,2,7,0,-406.141,0.814311,-0.164434,-1.78041,-0.430843,1.17524,-1.00047,12.604,2.11109,-14.4113
407.425,0.000995055,0.020571,1,3,0,-404.928,0.814311,-0.164434,-1.78041,-0.4865,-1.16469,1.8438,12.604,2.11109,-14.4113
407.351,0.999437,0.00310128,5,63,0,-406.993,0.785347,-0.119595,-1.76491,0.472408,-0.367686,-0.597763,10.0002,22.1173,-4.92568
406.688,0.985887,0.00529881,5,31,0,-405.703,0.843857,-0.200676,-1.7712,-0.0568377,0.286315,-1.37314,83.7928,30.0427,-9.39533
404.422,0.901332,0.00869874,3,15,0,-403.137,0.881341,-0.267545,-1.74454,1.46381,-0.107032,0.644728,22.347,-39.439,4.12547
406.335,0.994402,0.0116032,4,15,0,-403.255,0.829895,-0.18638,-1.70271,-1.24949,1.95205,-0.888395,26.9039,1.99865,34.2086
406.335,0.00476115,0.0191952,2,5,1,-402.834,0.829895,-0.18638,-1.70271,-2.26477,1.26097,0.531787,26.9039,1.99865,34.2086
404.879,0.987762,0.00310798,3,15,0,-403.843,0.837805,-0.184376,-1.68168,-0.0119879,0.15074,-1.43107,112.939,58.3513,45.1077
405.534,0.939616,0.0050707,3,7,0,-403.418,0.829994,-0.202547,-1.69544,1.33821,1.15258,1.05546,-72.9447,-68.6606,37.3468
404.994,0.991216,0.00735313,4,31,0,-403.367,0.864348,-0.226351,-1.71062,-0.713287,1.29572,1.03222,115.601,41.3231,26.9985
405.736,0.917223,0.0119446,3,15,0,-404.138,0.825676,-0.200576,-1.70838,-0.262074,1.7019,-0.481366,-105.498,-89.1009,29.2593
405.736,0.0200392,0.0162849,2,5,0,-405.199,0.825676,-0.200576,-1.70838,-0.807596,-0.160494,0.629403,-105.498,-89.1009,29.2593
406.775,0.999081,0.00289098,5,31,0,-405.152,0.795955,-0.15668,-1.74818,0.922943,-0.924974,1.24036,-132.002,-86.9045,4.96774
407.182,1,0.00476134,4,19,0,-406.02,0.830192,-0.180551,-1.7606,0.324869,1.43912,0.382495,73.7612,33.6255,-1.75191
404.841,0.944042,0.00780827,4,15,0,-404.789,0.838637,-0.220635,-1.80996,-0.017595,-0.237046,-0.215494,-129.874,-118.92,-38.3868
405.38,1,0.0112352,2,3,0,-404.845,0.850441,-0.202091,-1.80082,0.41356,-0.543395,-0.776538,156.368,74.7422,-31.1683
405.758,0.225557,0.0182142,2,5,0,-402.696,0.845354,-0.228831,-1.75895,-0.63449,0.548399,-2.32835,-100.335,-100.986,-3.25234
404.166,0.999666,0.00534211,5,63,0,-402.545,0.726245,-0.0345928,-1.76745,-0.602954,-0.985804,-1.38064,-41.6805,30.3417,-13.7145
