# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=21
# stan_version_patch=0
# init=random
# enable_random_init=1
# seed=758170905
# chain_id=4
# iter=2000
# warmup=1000
# save_warmup=1
# thin=1
# refresh=200
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.8
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=10
# sampler_t=NUTS(diag_e)
# sample_file=/Users/davidhodgson/Dropbox/My Mac (David’s MacBook Air)/Documents/research/covid/HERO/hero-study/include/time/IgA_N_Serum_4.csv
# diagnostic_file=/Users/davidhodgson/Dropbox/My Mac (David’s MacBook Air)/Documents/research/covid/HERO/hero-study/include/time/IgA_N_Serum_diag_4.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,a,b,sigma,p_a,p_b,p_sigma,g_a,g_b,g_sigma
-331.215,1,0.015625,4,15,0,1486.07,-0.35098,-0.186671,-0.294432,-25.9218,-17.4737,-36.5026,-713.953,-445.794,-508.437
-331.215,0,14.3855,0,1,1,334.494,-0.35098,-0.186671,-0.294432,1.2791,2.21805,0.0305482,-713.953,-445.794,-508.437
-331.215,0,2.43117,0,1,1,331.856,-0.35098,-0.186671,-0.294432,0.0631324,0.980721,0.562901,-713.953,-445.794,-508.437
-331.215,0,0.239791,0,1,1,334.167,-0.35098,-0.186671,-0.294432,2.12974,0.988523,-0.624347,-713.953,-445.794,-508.437
-52.0677,1,0.0186273,2,3,0,307.296,0.116872,0.00606233,-0.0616107,19.5163,9.45395,6.3398,-226.215,-136.532,187.308
-20.2654,1,0.0257257,1,1,0,52.2759,0.19961,0.05626,-0.100066,5.7331,3.4579,-4.38125,-195.674,-117.131,224.399
58.8878,1,0.0404064,1,1,0,19.3816,0.375353,0.127229,-0.266419,-7.23074,-3.42649,9.61844,-142.619,-82.666,272.306
58.8878,4.76437e-16,0.0687243,1,3,1,-58.8506,0.375353,0.127229,-0.266419,-0.0731987,0.250418,0.0794244,-142.619,-82.666,272.306
57.2243,1,0.00530085,2,3,0,-57.0331,0.372025,0.128879,-0.261551,-0.249823,0.530332,0.196976,-142.598,-82.6249,272.176
61.3285,0.999842,0.00961161,4,15,0,-55.9144,0.388577,0.121337,-0.270309,2.38575,-0.399857,-2.23079,-138.094,-80.0638,274.57
