# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=21
# stan_version_patch=0
# init=random
# enable_random_init=1
# seed=729436361
# chain_id=2
# iter=2000
# warmup=1000
# save_warmup=1
# thin=1
# refresh=200
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.999
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=20
# sampler_t=NUTS(diag_e)
# sample_file=/Users/davidhodgson/Dropbox/My Mac (David’s MacBook Air)/Documents/research/covid/HERO/serobayes/include/start/IgA_N_Serum_2.csv
# diagnostic_file=/Users/davidhodgson/Dropbox/My Mac (David’s MacBook Air)/Documents/research/covid/HERO/serobayes/include/start/IgA_N_Serum_diag_2.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,z_a.1,z_a.2,z_a.3,z_a.4,z_a.5,z_e.1,z_e.2,z_e.3,z_e.4,z_g.1,z_g.2,z_s.1,z_s.2,sigma_a_1,sigma_g_1,sigma_e_1,sigma_s_1,a,sigma,p_z_a.1,p_z_a.2,p_z_a.3,p_z_a.4,p_z_a.5,p_z_e.1,p_z_e.2,p_z_e.3,p_z_e.4,p_z_g.1,p_z_g.2,p_z_s.1,p_z_s.2,p_sigma_a_1,p_sigma_g_1,p_sigma_e_1,p_sigma_s_1,p_a,p_sigma,g_z_a.1,g_z_a.2,g_z_a.3,g_z_a.4,g_z_a.5,g_z_e.1,g_z_e.2,g_z_e.3,g_z_e.4,g_z_g.1,g_z_g.2,g_z_s.1,g_z_s.2,g_sigma_a_1,g_sigma_g_1,g_sigma_e_1,g_sigma_s_1,g_a,g_sigma
-864.098,1,0.015625,4,15,0,1347.84,0.389891,1.55515,-0.510984,1.40525,1.65016,0.515262,-1.59585,-0.576334,-1.79483,-1.55617,-0.186214,0.0241347,0.133623,-1.4665,0.500743,1.13257,1.75056,-1.91406,0.42269,1.53051,1.93054,-0.273727,1.68031,0.1772,-7.3986,-3.98464,-3.27616,-0.518142,-12.2582,-1.04402,-13.6146,-12.614,0.0285782,12.0869,-0.168178,0.491067,-0.681595,-15.3041,14.3137,89.7705,-39.4124,89.5223,40.7287,-24.5558,-55.4459,-60.0819,-66.3221,-503.329,0.0576663,-370.679,-166.738,-11.6044,263.934,131.433,-29.4376,-42.0806,-142.619
-864.098,0,10.0182,0,1,1,873.772,0.389891,1.55515,-0.510984,1.40525,1.65016,0.515262,-1.59585,-0.576334,-1.79483,-1.55617,-0.186214,0.0241347,0.133623,-1.4665,0.500743,1.13257,1.75056,-1.91406,0.42269,1.01878,0.177874,-1.57134,-1.54535,0.220051,-0.9771,0.155689,0.551258,0.702542,-0.818219,2.05718,-0.318065,-1.04994,-1.52006,0.970389,1.22276,-0.426139,0.151932,0.734663,14.3137,89.7705,-39.4124,89.5223,40.7287,-24.5558,-55.4459,-60.0819,-66.3221,-503.329,0.0576663,-370.679,-166.738,-11.6044,263.934,131.433,-29.4376,-42.0806,-142.619
-864.098,0,0.951493,0,1,1,872.168,0.389891,1.55515,-0.510984,1.40525,1.65016,0.515262,-1.59585,-0.576334,-1.79483,-1.55617,-0.186214,0.0241347,0.133623,-1.4665,0.500743,1.13257,1.75056,-1.91406,0.42269,-0.619703,0.364771,-0.787284,-0.189273,0.487477,-0.905431,-1.6483,0.218698,-0.426018,-1.27403,-0.0188423,0.0974398,-0.14054,-1.79359,0.72465,-2.17184,0.439985,0.0887877,0.805916,14.3137,89.7705,-39.4124,89.5223,40.7287,-24.5558,-55.4459,-60.0819,-66.3221,-503.329,0.0576663,-370.679,-166.738,-11.6044,263.934,131.433,-29.4376,-42.0806,-142.619
-864.098,3.52694e-57,0.0488594,2,5,1,880.076,0.389891,1.55515,-0.510984,1.40525,1.65016,0.515262,-1.59585,-0.576334,-1.79483,-1.55617,-0.186214,0.0241347,0.133623,-1.4665,0.500743,1.13257,1.75056,-1.91406,0.42269,-1.32595,-0.0419351,1.70214,0.537389,0.880799,2.19136,-0.387809,-0.73718,-0.977855,1.58917,1.02372,0.996055,-0.258124,1.71625,1.61058,1.80875,-0.171727,-2.3052,-0.997403,14.3137,89.7705,-39.4124,89.5223,40.7287,-24.5558,-55.4459,-60.0819,-66.3221,-503.329,0.0576663,-370.679,-166.738,-11.6044,263.934,131.433,-29.4376,-42.0806,-142.619
-809.656,0.999587,0.00191619,4,15,0,872.109,0.387244,1.54485,-0.495199,1.36713,1.66237,0.530084,-1.58874,-0.560099,-1.78386,-1.50361,-0.186541,0.061604,0.13796,-1.46943,0.454121,1.12957,1.76765,-1.91977,0.433002,0.299804,1.37389,-1.42903,3.44033,-0.632476,-0.853985,-0.890211,-1.59363,-1.25044,-7.01245,0.0404886,-4.84415,-1.074,0.166279,4.84354,1.24879,-1.45228,0.165184,-1.43038,15.9651,90.8523,-36.3889,89.1732,41.7767,81.0533,-52.0577,-54.533,-62.7184,-431.158,4.14805,-256.934,-71.0751,-4.96716,162.535,166.929,-24.2623,-36.5234,-67.7071
-721.61,0.999991,0.00132279,5,31,0,815.022,0.376875,1.51398,-0.527619,1.31991,1.64067,0.485647,-1.57772,-0.538869,-1.77461,-1.38992,-0.210251,0.154568,0.145725,-1.4737,0.385264,1.10006,1.7534,-1.88366,0.459643,-0.62393,-2.36874,-0.830531,-2.99218,-1.38878,-3.37276,1.03948,1.45929,1.10091,9.34462,-0.981411,5.60381,0.869688,-0.152624,-4.06088,-3.38328,-0.289658,1.86331,1.22227,17.5016,90.5612,-36.0862,88.2291,41.8883,163.059,-43.9212,-43.71,-54.05,-344.491,2.96479,-75.5753,-16.927,1.37866,63.0295,178.185,-15.2485,-31.7143,26.8199
-518.398,0.999926,0.00104272,6,63,0,733.429,0.274329,1.4441,-0.564757,1.24733,1.63513,0.306296,-1.50928,-0.475834,-1.71208,-0.946184,-0.186604,0.294547,0.156175,-1.4385,0.405276,0.880927,1.73541,-1.86464,0.41685,2.49915,3.59812,-0.118593,3.59552,1.12851,7.42076,-2.24806,-2.08125,-2.33691,-15.7845,-0.419062,-1.47412,-1.72703,-0.650363,0.293183,7.8077,0.445965,-1.10958,3.05909,13.8743,87.4749,-36.8278,84.8548,42.2174,146.842,-28.1857,-24.1007,-36.0954,-209.122,3.35947,123.598,-45.5113,5.53555,4.41339,107.628,21.2307,-27.9593,129.589
-462.611,1,0.0008982,6,63,0,523.867,0.310185,1.40249,-0.564046,1.21135,1.63626,0.233749,-1.48005,-0.465698,-1.68094,-0.841516,-0.157604,0.263639,0.168567,-1.48495,0.436357,0.816194,1.71958,-1.8366,0.368724,-1.03574,2.67922,-0.561905,2.44433,0.565176,4.13799,-1.41066,-0.687307,-1.58687,-6.6718,-0.961961,2.36078,-1.38261,1.66912,-0.845221,3.60571,0.65371,-1.40323,3.70512,15.0507,84.3243,-37.466,81.4641,41.8722,92.4766,-27.0961,-22.7204,-34.5978,-207.524,3.28247,58.0204,-62.6483,2.90736,21.8788,87.7186,-2.33351,-30.7646,149.684
-390.505,0.999975,0.000823518,6,63,0,468.423,0.328842,1.30536,-0.569395,1.17089,1.62031,0.125389,-1.51134,-0.5023,-1.63733,-0.691689,-0.134681,0.223331,0.202057,-1.49139,0.457305,0.772868,1.74769,-1.78958,0.262669,-0.184071,4.07399,-0.607542,2.59405,1.21809,4.07431,0.253563,0.477176,-1.81333,-7.78411,-0.525634,1.22003,-1.91161,0.210981,0.00601306,2.82252,-0.991059,-1.84244,5.66072,15.7777,78.7289,-38.2586,78.9159,41.5892,70.2123,-29.4406,-24.0097,-35.8756,-178.557,5.80878,-14.118,4.22046,3.73642,20.0117,90.4689,-9.25121,-31.8301,153.87
-368.337,0.999944,0.000789331,6,63,0,395.234,0.30777,1.28363,-0.554652,1.153,1.61459,0.114033,-1.52873,-0.495093,-1.65398,-0.652735,-0.133116,0.205348,0.215105,-1.49712,0.479028,0.735516,1.77336,-1.79342,0.201588,1.09369,1.84629,-1.07581,1.68096,0.726974,1.39498,0.413095,-0.584808,0.307269,-3.67361,0.0357471,0.320624,0.0160671,0.30431,-0.748664,2.70952,-1.17323,-0.188541,4.37235,14.7868,77.946,-37.3225,78.1672,41.6861,82.5309,-30.7019,-23.3684,-37.2025,-165.69,10.4526,-47.4978,70.8429,5.2595,15.311,95.8958,-1.42526,-30.7762,146.681
