# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=21
# stan_version_patch=0
# init=random
# enable_random_init=1
# seed=282705322
# chain_id=2
# iter=2000
# warmup=1000
# save_warmup=1
# thin=1
# refresh=200
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.999
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=20
# sampler_t=NUTS(diag_e)
# sample_file=/Users/davidhodgson/Dropbox/My Mac (David’s MacBook Air)/Documents/research/covid/HERO/serobayes/include/start/IgG_S_2.csv
# diagnostic_file=/Users/davidhodgson/Dropbox/My Mac (David’s MacBook Air)/Documents/research/covid/HERO/serobayes/include/start/IgG_S_diag_2.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,z_a.1,z_a.2,z_a.3,z_a.4,z_a.5,z_e.1,z_e.2,z_e.3,z_e.4,z_g.1,z_g.2,z_s.1,z_s.2,sigma_a_1,sigma_g_1,sigma_e_1,sigma_s_1,a,sigma,p_z_a.1,p_z_a.2,p_z_a.3,p_z_a.4,p_z_a.5,p_z_e.1,p_z_e.2,p_z_e.3,p_z_e.4,p_z_g.1,p_z_g.2,p_z_s.1,p_z_s.2,p_sigma_a_1,p_sigma_g_1,p_sigma_e_1,p_sigma_s_1,p_a,p_sigma,g_z_a.1,g_z_a.2,g_z_a.3,g_z_a.4,g_z_a.5,g_z_e.1,g_z_e.2,g_z_e.3,g_z_e.4,g_z_g.1,g_z_g.2,g_z_s.1,g_z_s.2,g_sigma_a_1,g_sigma_g_1,g_sigma_e_1,g_sigma_s_1,g_a,g_sigma
-1916.86,1,0.0078125,2,3,0,3274.01,-1.47474,-0.5161,0.550597,-0.629396,0.914869,-0.594987,0.699764,1.38583,-1.83167,1.1262,1.86752,-1.94972,0.257462,-0.341141,1.97104,1.47775,0.142102,-0.57562,0.216164,-0.181714,2.92143,0.112063,2.74047,0.963933,18.4926,0.509016,-0.953234,0.128229,26.4807,-9.89323,3.77005,-1.13975,-2.21606,10.9759,-18.0835,-3.83753,1.43627,32.7156,-95.3162,-21.6899,52.8962,-88.9286,26.7596,-701.319,45.4991,396.041,-82.5268,-1384.61,1371.77,-345.57,134.857,68.1914,562.837,1018.43,313.891,-36.6696,-2263.75
-1916.86,0,10.0182,0,1,1,1925.68,-1.47474,-0.5161,0.550597,-0.629396,0.914869,-0.594987,0.699764,1.38583,-1.83167,1.1262,1.86752,-1.94972,0.257462,-0.341141,1.97104,1.47775,0.142102,-0.57562,0.216164,0.136699,-0.0560105,-0.0173792,1.07839,-0.276919,-0.960942,-1.22813,-0.346259,0.204074,-1.41313,-0.108696,-1.44411,-2.37389,0.650909,0.756173,-1.0975,0.15908,-0.524569,1.24369,-95.3162,-21.6899,52.8962,-88.9286,26.7596,-701.319,45.4991,396.041,-82.5268,-1384.61,1371.77,-345.57,134.857,68.1914,562.837,1018.43,313.891,-36.6696,-2263.75
-1916.86,0,0.951493,0,1,1,1932.35,-1.47474,-0.5161,0.550597,-0.629396,0.914869,-0.594987,0.699764,1.38583,-1.83167,1.1262,1.86752,-1.94972,0.257462,-0.341141,1.97104,1.47775,0.142102,-0.57562,0.216164,0.717562,-0.21565,-0.388713,-1.2152,0.158273,-1.06024,-0.471219,-2.37944,-0.40915,-1.28138,0.114972,0.26997,1.55256,3.58217,0.141865,1.78554,0.0296304,-0.641608,-0.993097,-95.3162,-21.6899,52.8962,-88.9286,26.7596,-701.319,45.4991,396.041,-82.5268,-1384.61,1371.77,-345.57,134.857,68.1914,562.837,1018.43,313.891,-36.6696,-2263.75
-1916.86,0,0.0488594,0,1,1,1923.82,-1.47474,-0.5161,0.550597,-0.629396,0.914869,-0.594987,0.699764,1.38583,-1.83167,1.1262,1.86752,-1.94972,0.257462,-0.341141,1.97104,1.47775,0.142102,-0.57562,0.216164,0.155023,-0.287564,0.654434,1.48906,1.0331,1.07123,-1.14155,-1.21656,-0.0887254,-1.93496,0.0213773,0.238917,0.742821,-0.274102,0.850336,0.0350981,-0.768479,0.190927,0.610655,-95.3162,-21.6899,52.8962,-88.9286,26.7596,-701.319,45.4991,396.041,-82.5268,-1384.61,1371.77,-345.57,134.857,68.1914,562.837,1018.43,313.891,-36.6696,-2263.75
-1893.01,1,0.00191619,2,3,0,1927.24,-1.47281,-0.518292,0.553229,-0.631014,0.91551,-0.596254,0.699887,1.38466,-1.83121,1.13207,1.86619,-1.94937,0.254456,-0.340409,1.96519,1.47821,0.141889,-0.574455,0.221248,1.09682,-1.12215,1.32404,-0.759132,0.309694,0.0224779,0.0211005,-0.981292,0.318832,4.37246,-1.96749,0.513801,-1.69276,0.316148,-3.5218,-0.730529,-0.409941,0.645154,4.77098,-95.601,-22.9563,52.098,-89.2339,26.3372,-713.638,44.8118,389.737,-82.6577,-1370.24,1329.66,-345.532,129.376,68.6067,487.939,1016.9,312.284,-39.0063,-2210.76
-1855.31,1,0.00132442,3,7,0,1904.9,-1.47048,-0.517428,0.552771,-0.636339,0.912415,-0.588837,0.697385,1.38143,-1.83816,1.13842,1.86447,-1.94466,0.253061,-0.338342,1.96457,1.47678,0.141203,-0.575775,0.22942,1.00456,0.355497,-0.243103,-1.8943,-1.20397,3.69435,-1.00346,-1.7295,-2.51453,4.12688,-2.39397,2.22658,-0.702623,0.692668,-0.937073,-1.84264,-0.660076,-0.451987,5.94787,-93.7789,-21.5941,53.3666,-86.9203,26.8565,-657.621,44.2723,382.173,-81.5525,-1271.01,1308.51,-337.576,134.075,65.1776,547.701,967.047,298.161,-33.0862,-2132.43
-1588.85,1,0.00104407,4,15,0,1858.25,-1.47063,-0.51509,0.552098,-0.631127,0.908304,-0.561595,0.688639,1.36738,-1.83392,1.17648,1.82357,-1.9378,0.244944,-0.342973,1.9365,1.44607,0.141214,-0.574974,0.29143,0.366271,0.373311,-0.298789,0.96661,-0.602488,5.71586,-1.21209,-3.11203,0.829633,9.03461,-9.72494,2.18414,-1.50874,-0.801577,-5.20853,-7.23777,-1.14647,0.220938,15.0954,-89.8739,-22.29,52.0018,-76.6276,26.4032,-504.26,35.7276,306.776,-72.052,-866.898,1028.3,-312.302,126.359,52.29,398.758,738.551,247.24,-24.1234,-1568.22
-1435.83,1,0.000899589,4,15,0,1598.56,-1.46882,-0.511689,0.550535,-0.633781,0.920463,-0.529961,0.689233,1.37378,-1.83713,1.19812,1.79331,-1.93733,0.253169,-0.337146,1.92172,1.43038,0.131255,-0.583314,0.348791,-0.579507,-0.508257,0.403915,0.0333032,-1.39285,-5.67336,0.0606505,0.35696,0.118693,-5.56077,7.55491,-1.27512,-0.503305,-0.528685,3.44691,4.60664,2.14029,0.951685,-12.7154,-86.2591,-21.5417,52.0055,-69.3823,27.1372,-380.999,30.8483,262.13,-65.4004,-583.701,866.972,-290.499,125.617,42.6973,393.238,590.443,205.21,-15.4934,-1233.61
-1406.85,0.99982,0.000824805,4,15,0,1444.18,-1.46923,-0.516015,0.546658,-0.629606,0.917217,-0.517599,0.687672,1.36774,-1.8392,1.20174,1.78509,-1.92674,0.249846,-0.338766,1.9104,1.42926,0.130438,-0.583377,0.352813,-0.132214,0.818239,0.909682,-1.016,0.722091,-3.46771,0.390258,1.86133,0.252671,-2.19011,3.7519,-2.85991,0.97275,0.434303,3.13532,1.69159,0.674457,-0.0315259,-3.81361,-86.8304,-23.123,50.4859,-69.2884,26.5547,-390.598,29.6028,254.397,-66.5069,-576.831,824.644,-289.957,119.451,42.9106,316.239,583.095,203.536,-18.5173,-1181.41
-878.429,0.999996,0.000790183,6,63,0,1421.95,-1.44594,-0.577772,0.406553,-0.595742,0.809305,-0.356229,0.694015,1.22315,-1.79931,1.37209,1.39235,-1.74823,0.220173,-0.403285,1.73828,1.07999,0.0409185,-0.558394,0.943303,-2.15217,0.973535,4.27809,-1.843,3.18288,-7.24831,0.0835473,5.55516,-1.6897,-3.24838,16.2148,-8.95605,2.3425,1.93458,6.64639,12.4063,3.90164,-0.778939,-19.6605,-76.5978,-34.5205,28.2397,-43.6135,20.3006,-107.758,5.39319,36.3547,-22.111,234.06,104.5,-195.315,50.1109,7.3689,-28.4757,55.2183,35.9424,-9.86188,93.6274
