# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=21
# stan_version_patch=0
# init=random
# enable_random_init=1
# seed=1313403272
# chain_id=2
# iter=2000
# warmup=1000
# save_warmup=1
# thin=1
# refresh=200
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.999
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=20
# sampler_t=NUTS(diag_e)
# sample_file=/Users/davidhodgson/Dropbox/My Mac (David’s MacBook Air)/Documents/research/covid/HERO/serobayes/include/start/IgG_N_2.csv
# diagnostic_file=/Users/davidhodgson/Dropbox/My Mac (David’s MacBook Air)/Documents/research/covid/HERO/serobayes/include/start/IgG_N_diag_2.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,z_a.1,z_a.2,z_a.3,z_a.4,z_a.5,z_e.1,z_e.2,z_e.3,z_e.4,z_g.1,z_g.2,z_s.1,z_s.2,sigma_a_1,sigma_g_1,sigma_e_1,sigma_s_1,a,sigma,p_z_a.1,p_z_a.2,p_z_a.3,p_z_a.4,p_z_a.5,p_z_e.1,p_z_e.2,p_z_e.3,p_z_e.4,p_z_g.1,p_z_g.2,p_z_s.1,p_z_s.2,p_sigma_a_1,p_sigma_g_1,p_sigma_e_1,p_sigma_s_1,p_a,p_sigma,g_z_a.1,g_z_a.2,g_z_a.3,g_z_a.4,g_z_a.5,g_z_e.1,g_z_e.2,g_z_e.3,g_z_e.4,g_z_g.1,g_z_g.2,g_z_s.1,g_z_s.2,g_sigma_a_1,g_sigma_g_1,g_sigma_e_1,g_sigma_s_1,g_a,g_sigma
-826.534,1,0.0625,1,1,0,1300,-1.50287,1.44802,-1.62527,-0.0150523,1.45019,0.688677,-1.77174,1.00463,0.322893,0.362287,1.5392,-1.40238,-1.2053,-0.207892,-0.18252,-0.946204,-1.29067,-0.385894,0.682868,5.56095,-9.2192,6.96673,0.366508,-3.43256,-14.3495,1.95129,-1.5478,-1.2283,-8.68908,-4.29346,10.4827,13.6111,-5.35325,-4.62014,-1.70191,0.801022,-8.36755,-6.65605,-85.1941,108.256,-109.837,2.56257,44.6014,170.841,-9.4583,14.7476,2.32078,78.5964,90.3027,-141.244,-192.102,73.0441,20.757,5.56295,-6.53735,32.4703,168.748
-826.534,0,10.0182,0,1,1,837.355,-1.50287,1.44802,-1.62527,-0.0150523,1.45019,0.688677,-1.77174,1.00463,0.322893,0.362287,1.5392,-1.40238,-1.2053,-0.207892,-0.18252,-0.946204,-1.29067,-0.385894,0.682868,-0.933109,0.860436,0.499468,-1.81343,1.76444,-0.433833,0.251985,0.266784,-0.0613368,-0.337992,0.205713,-1.23011,-0.118704,-0.668178,-0.493968,-0.216481,-3.11697,0.739835,-0.608288,-85.1941,108.256,-109.837,2.56257,44.6014,170.841,-9.4583,14.7476,2.32078,78.5964,90.3027,-141.244,-192.102,73.0441,20.757,5.56295,-6.53735,32.4703,168.748
-826.534,0,0.951493,0,1,1,836.899,-1.50287,1.44802,-1.62527,-0.0150523,1.45019,0.688677,-1.77174,1.00463,0.322893,0.362287,1.5392,-1.40238,-1.2053,-0.207892,-0.18252,-0.946204,-1.29067,-0.385894,0.682868,-1.09189,-0.130959,-1.81718,-0.335568,0.98564,-0.670907,1.75082,-0.317301,-1.05584,1.04327,0.0302761,-1.02892,0.593056,-0.254348,-0.96094,0.764425,-2.43367,0.593053,0.240264,-85.1941,108.256,-109.837,2.56257,44.6014,170.841,-9.4583,14.7476,2.32078,78.5964,90.3027,-141.244,-192.102,73.0441,20.757,5.56295,-6.53735,32.4703,168.748
-233.415,1,0.0488594,2,3,0,799.464,-1.13288,0.802578,-1.11942,0.0570536,1.10978,0.118285,-1.77661,0.900282,0.333813,-0.0210003,1.01352,-0.731195,-0.446818,-0.618327,-0.24959,-1.01578,-1.19872,-0.500753,-0.123035,-7.7725,10.6411,-9.97205,-0.697568,5.41509,9.60058,-0.472962,1.78029,0.0188568,3.22033,9.51193,-11.9303,-13.5505,7.88714,2.04942,0.929734,-0.855585,1.14396,15.412,-80.1665,69.6459,-92.2377,-2.54864,37.3218,13.3741,-11.587,14.7434,2.91707,-68.5578,83.4423,-83.9537,-74.8428,79.2308,34.3338,4.63541,7.5876,-23.8735,125.938
-210.534,1,0.0333642,2,3,0,242.714,-1.11844,0.771514,-1.08248,0.0535078,1.05853,0.109237,-1.80981,0.895186,0.335525,0.073556,0.980979,-0.693736,-0.413204,-0.599784,-0.305474,-1.06842,-1.23946,-0.443158,-0.12999,1.71373,-2.12318,2.55107,-0.141084,-2.16098,-0.63561,-0.80507,-0.396716,0.00083732,3.2002,-2.29698,2.39178,2.08007,-0.69244,-2.1183,-1.66646,-1.25771,1.67209,-2.61194,-76.7775,71.461,-86.5569,2.08655,37.4628,21.8444,-11.3903,14.6255,3.02508,-21.9481,79.2329,-76.0735,-64.2955,74.8245,26.5744,5.32806,2.19314,3.24752,144.075
-135.555,1,0.0261121,2,3,0,217.458,-1.09519,0.659957,-1.01627,0.0879305,0.998004,0.0514749,-1.82982,0.926433,0.259154,0.0944309,0.834815,-0.508988,-0.352369,-0.67654,-0.302874,-1.02368,-1.17792,-0.44518,-0.301727,2.50384,-3.91629,3.51557,0.541155,-2.13267,-1.38773,-0.0655599,0.191739,-1.53681,1.05107,-4.82113,5.20777,2.70641,-3.49339,-0.612024,0.666063,1.12371,-0.0645628,-6.89844,-78.6469,66.6376,-84.5858,5.5133,37.3036,6.85919,-12.571,16.0245,2.86433,-24.4359,77.1295,-58.2437,-54.4583,77.5718,25.066,8.50951,1.73798,1.40541,135.821
-126.493,1,0.0223089,3,7,0,142.184,-1.05902,0.663709,-1.02717,0.0688597,1.02227,0.0666513,-1.8096,0.918553,0.247817,0.0867688,0.823975,-0.503237,-0.324212,-0.724297,-0.279408,-1.01282,-1.18944,-0.434925,-0.322156,-2.44491,0.578335,-0.438176,0.905546,-0.664004,-0.52566,-1.04622,0.536096,0.54079,0.0916882,1.39028,-0.889656,-1.79233,2.94543,-0.72787,-0.384741,0.521889,-0.346236,2.44441,-73.84,66.9263,-83.0872,4.54491,37.9718,13.8622,-12.5584,16.3949,2.92321,-22.5706,81.0752,-56.65,-47.5318,72.1455,29.0439,9.181,0.511633,10.1698,137.046
206.313,0.48394,0.0202232,5,31,0,123.348,-0.267868,-0.165531,-0.12218,-0.0281678,0.564557,-0.00936443,-1.56543,0.831935,0.263733,0.209287,-0.119034,0.0806405,0.0423089,-1.49727,-0.648916,-1.09024,-1.65541,-0.550571,-1.80709,-9.10327,7.53793,-9.32589,-0.175967,5.43918,0.258857,-3.75543,2.39108,0.439429,-2.18444,8.65862,-5.23756,-4.82234,7.77766,3.40314,3.91332,2.8014,-1.27967,12.4764,-12.1915,-11.0815,8.15987,-11.7273,22.5878,38.7713,-52.5594,26.2652,12.5717,166.281,-93.4202,32.779,-5.30175,2.17389,35.3614,84.0368,0.661448,31.149,-213.112
250.31,1,0.00377451,6,63,0,-196.938,-0.159118,-0.0646762,0.00923251,0.13359,0.240673,0.0255518,-1.30581,0.867111,0.027559,-0.10162,0.148527,0.0356512,0.0778527,-1.29672,-0.715413,-1.90437,-1.47187,-0.436753,-1.31104,-2.04758,-1.03025,-0.0639629,-1.48885,2.86628,0.613864,-3.00528,1.41608,1.70402,-2.10773,1.45512,1.40939,0.479386,-1.11987,1.0895,6.47372,-1.10797,-0.41409,4.71291,-10.8861,-0.411697,7.84557,1.48996,3.82247,5.25076,-10.5411,14.3059,1.95506,-61.3508,44.0353,3.79039,11.0947,-1.96755,8.951,6.29384,-0.887941,6.96517,117.44
259.911,0.998745,0.00364483,5,63,0,-243.95,-0.177245,-0.0688492,-0.0154889,0.139993,0.232116,0.0202328,-1.34781,0.816968,0.0707177,-0.0546508,0.116755,0.0800364,0.0729452,-1.38913,-0.722884,-1.91868,-1.4605,-0.438917,-1.36924,0.270259,0.13942,0.79006,-0.050058,0.298681,0.349658,0.832564,1.52678,-1.02972,-1.85855,1.63736,-0.853143,0.419482,2.26352,0.300221,0.487886,-0.286874,0.745823,3.71195,-8.38649,2.36605,8.71433,6.77837,4.06603,12.422,-11.0163,13.3502,2.54641,-20.6022,39.025,16.7242,14.8616,-2.23067,3.84688,6.77788,0.140435,42.7902,104.206
