# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=21
# stan_version_patch=0
# init=random
# enable_random_init=1
# seed=1168160790
# chain_id=1
# iter=2000
# warmup=1000
# save_warmup=1
# thin=1
# refresh=200
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.999
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=20
# sampler_t=NUTS(diag_e)
# sample_file=/Users/davidhodgson/Dropbox/My Mac (David’s MacBook Air)/Documents/research/covid/HERO/serobayes/include/start/IgA_S_Serum_1.csv
# diagnostic_file=/Users/davidhodgson/Dropbox/My Mac (David’s MacBook Air)/Documents/research/covid/HERO/serobayes/include/start/IgA_S_Serum_diag_1.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,z_a.1,z_a.2,z_a.3,z_a.4,z_a.5,z_e.1,z_e.2,z_e.3,z_e.4,z_g.1,z_g.2,z_s.1,z_s.2,sigma_a_1,sigma_g_1,sigma_e_1,sigma_s_1,a,sigma,p_z_a.1,p_z_a.2,p_z_a.3,p_z_a.4,p_z_a.5,p_z_e.1,p_z_e.2,p_z_e.3,p_z_e.4,p_z_g.1,p_z_g.2,p_z_s.1,p_z_s.2,p_sigma_a_1,p_sigma_g_1,p_sigma_e_1,p_sigma_s_1,p_a,p_sigma,g_z_a.1,g_z_a.2,g_z_a.3,g_z_a.4,g_z_a.5,g_z_e.1,g_z_e.2,g_z_e.3,g_z_e.4,g_z_g.1,g_z_g.2,g_z_s.1,g_z_s.2,g_sigma_a_1,g_sigma_g_1,g_sigma_e_1,g_sigma_s_1,g_a,g_sigma
273.517,0.998641,0.0050792,8,255,0,-264.694,-0.0723431,0.0531579,0.0320208,0.0393877,0.215305,-0.0356062,-0.143715,0.0151882,0.447525,0.0341175,0.100529,-0.0449934,-0.0371798,-0.294523,-0.131391,-2.81079,-2.72608,-0.45728,-1.58922,0.365383,2.56475,0.0843535,0.747759,-0.30606,0.0623001,2.14206,1.09198,1.09332,-0.490991,-0.986776,0.0668141,0.0097271,-0.610545,0.263452,-0.0689633,0.41081,-0.98174,-0.704591,4.12309,71.0975,12.4057,-76.5065,23.0268,-4.3685,-2.19922,-1.68264,3.91219,-9.28166,50.6525,-2.41653,-6.01947,3.80575,3.89787,-0.354165,-1.03178,28.3223,-3.95553
272.603,0.998533,0.0051173,9,1023,0,-265.93,-0.0967489,-0.0877028,0.0679657,0.263558,0.173029,0.0230127,-0.174247,0.185943,-0.253816,0.013475,0.238069,-0.0363762,-0.0363131,-0.632113,-1.84073,-4.22517,-2.09422,-0.432027,-1.55546,0.413664,-0.284018,1.06385,-1.56454,0.364276,-0.226861,-1.14989,1.42616,1.18459,0.512044,0.0390103,0.0194149,-0.453448,0.797151,-1.21368,0.291028,1.25827,0.130875,0.554079,-6.96138,-35.2831,7.39147,43.2929,-9.46649,5.88412,-1.21322,1.99736,-1.42579,0.765537,8.95703,-1.52092,-12.0026,6.95082,-1.57128,-1.05425,-0.734241,-8.94315,22.7323
270.982,0.998289,0.00522765,9,767,0,-264.68,-0.130592,0.0279598,-0.0137978,0.256824,0.306922,0.00197662,-0.133792,0.208185,-0.42428,0.0392745,0.18983,-0.0993096,0.0660611,-0.751702,-1.25333,-6.70233,-1.13363,-0.461368,-1.58659,-0.866311,-1.50089,-0.651641,0.471526,0.0871077,0.958663,-0.394132,-1.22881,0.26185,-0.290333,-0.49339,-0.173909,-0.743554,-0.486253,1.18036,0.0468485,1.05801,-0.112664,-1.61851,-19.1483,15.046,-29.5519,24.3913,8.4923,0.499637,-0.70194,2.85918,-2.53614,-5.51922,11.4096,-33.424,20.6291,3.96882,-0.897194,-1.00989,2.29652,-19.8345,7.48613
269.726,0.997133,0.00539319,9,511,0,-262.675,-0.03327,-0.0396183,0.0475931,0.106805,0.162682,0.0498533,0.269696,0.0607968,0.431964,-0.0405714,0.283275,0.100178,-0.0386616,-0.0470035,-1.76328,-8.39029,-2.15219,-0.419644,-1.64564,-0.122762,-0.622263,-1.56691,1.73288,0.863437,0.926738,-0.838218,0.764631,-0.421225,-0.479533,0.651916,0.0613323,1.5199,0.146627,-0.0353605,-0.706093,-1.07949,-0.369164,-0.615974,31.8307,-39.1132,38.9449,7.27733,21.7457,11.9387,1.3427,0.842353,2.59468,-4.10238,18.6843,19.717,-9.7326,4.89835,0.266235,-0.999431,0.210481,48.9415,-23.7693
274.321,0.975352,0.00558806,9,639,0,-256.741,-0.141023,0.0559495,0.0728231,0.231567,0.300223,0.027429,0.49087,-0.174384,-0.393456,0.0285103,0.0123304,-0.193255,-0.0111983,-1.09404,0.176483,-2.53089,-1.70521,-0.428981,-1.64322,-0.197461,0.767877,-0.421138,-0.362614,0.50184,0.724136,1.33775,-0.606613,0.969961,0.536491,-1.31621,-0.571914,0.396692,0.699767,-0.611368,4.15067,0.97029,2.93627,-0.435034,-0.37227,21.7959,6.53565,10.4519,1.03506,16.1644,0.735761,-7.09308,-1.83959,113.241,-50.1662,-19.3618,6.60276,-3.55784,2.62144,-0.894317,-0.942982,43.0899,-22.2355
275.139,0.982628,0.00544441,9,511,0,-264.617,-0.307419,-0.143772,-0.0360393,0.0675268,0.140468,0.0689311,0.728203,0.410977,-0.24414,0.0706719,0.127237,-0.163327,0.14041,-0.674131,-1.85541,-0.494428,-2.73383,-0.434929,-1.59662,0.915379,-0.851605,0.0653817,-0.34503,-0.0117301,-0.273937,1.36381,-1.19378,-0.505065,-1.64452,0.421336,-0.0346753,-0.165068,1.42048,1.63427,-1.49275,-0.168558,-0.88047,-2.26059,-33.2011,-17.6157,7.79093,-5.03172,-0.0404029,-28.2711,15.6971,15.3812,-13.867,6.31459,6.0777,-17.6662,20.2792,4.68458,-1.50233,12.2894,-1.11004,-26.3883,11.2601
275.93,0.992532,0.00545361,6,63,0,-260.494,-0.202488,-0.102184,-0.00049174,0.11317,0.0391137,0.0524338,0.691236,0.324149,-0.166961,-0.0668835,0.00930094,-0.170429,0.133136,-0.811195,-1.86471,-0.628498,-2.70033,-0.39579,-1.72373,-1.80387,-0.782233,0.117415,-0.619623,0.97673,0.611373,1.08187,1.66904,-1.46459,1.98416,1.91758,-0.444121,0.88625,1.97421,0.109968,2.42777,-0.545548,0.279217,0.635759,5.29512,-1.0247,16.3926,0.720304,-26.0574,9.83462,14.3738,5.33478,-6.11332,-13.3721,0.65865,-16.4717,21.4515,-6.08283,-0.906192,8.05032,-1.09245,23.625,-58.8624
275.26,0.999528,0.00565268,8,383,0,-265.402,-0.101005,0.02972,0.0408182,0.174649,0.39846,0.01785,0.691441,0.246569,-0.199641,0.0898329,0.304817,-0.117977,-0.131683,-0.754035,-1.85299,-0.829279,-3.02351,-0.467854,-1.5396,-0.644491,-1.33626,-0.970656,0.953739,-1.54885,0.78626,0.818138,0.337183,-0.303751,-0.558863,-0.583263,-1.88211,0.565308,-0.322091,-0.122429,1.40692,1.75664,0.289527,1.41037,2.40202,12.9459,-3.50207,-5.58048,22.1048,12.904,7.33433,-0.563706,-2.66162,18.227,18.7656,-10.1512,-22.4448,0.615064,0.141604,1.57344,-1.03043,15.699,41.5405
275.06,0.993153,0.00599993,6,127,0,-266.283,-0.130606,0.12143,0.0705025,0.213749,0.157885,-0.0897154,0.423101,0.291388,-0.397462,-0.0567562,-0.137715,0.023805,0.167539,-0.633541,-1.56033,-1.07042,-3.14984,-0.413721,-1.56493,-0.582693,0.408006,-0.723899,-1.0122,-0.232409,-0.970465,-1.41944,0.554022,-0.14902,1.12759,-1.8562,1.13473,-0.227932,0.746496,1.37642,-1.01263,-0.440368,0.879189,1.28851,-29.4554,32.8836,-11.2048,-0.0804173,-22.7577,-46.528,-0.0591654,-1.2167,-4.59074,-24.379,-15.9513,1.45024,23.9175,-2.77166,1.15284,0.00691649,-1.54804,-51.8555,24.969
275.214,0.998127,0.00625704,5,63,0,-263.296,-0.0521882,0.00985392,0.132305,0.228105,0.335395,0.137704,0.4616,0.348878,-0.533258,-0.10112,-0.0285326,-0.0301392,0.13484,-0.683747,-1.63252,-1.14419,-3.17142,-0.514483,-1.5979,1.16693,-1.75086,0.0999112,-0.49867,1.92493,0.935856,0.483541,0.72094,-1.20067,0.137571,1.5328,-0.603339,-1.523,-0.592844,-0.773903,-0.859245,-0.201314,-1.73787,-1.60417,0.318333,-16.8872,11.7824,3.61105,10.0044,38.9351,-1.93127,-2.90622,-10.3431,-25.1576,-5.97801,-2.78982,19.9929,-2.45119,-0.318975,-0.717439,-1.23352,-26.2063,11.7568
