# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=21
# stan_version_patch=0
# init=random
# enable_random_init=1
# seed=282705322
# chain_id=3
# iter=2000
# warmup=1000
# save_warmup=1
# thin=1
# refresh=200
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.999
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=20
# sampler_t=NUTS(diag_e)
# sample_file=/Users/davidhodgson/Dropbox/My Mac (David’s MacBook Air)/Documents/research/covid/HERO/serobayes/include/start/IgG_S_3.csv
# diagnostic_file=/Users/davidhodgson/Dropbox/My Mac (David’s MacBook Air)/Documents/research/covid/HERO/serobayes/include/start/IgG_S_diag_3.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,z_a.1,z_a.2,z_a.3,z_a.4,z_a.5,z_e.1,z_e.2,z_e.3,z_e.4,z_g.1,z_g.2,z_s.1,z_s.2,sigma_a_1,sigma_g_1,sigma_e_1,sigma_s_1,a,sigma,p_z_a.1,p_z_a.2,p_z_a.3,p_z_a.4,p_z_a.5,p_z_e.1,p_z_e.2,p_z_e.3,p_z_e.4,p_z_g.1,p_z_g.2,p_z_s.1,p_z_s.2,p_sigma_a_1,p_sigma_g_1,p_sigma_e_1,p_sigma_s_1,p_a,p_sigma,g_z_a.1,g_z_a.2,g_z_a.3,g_z_a.4,g_z_a.5,g_z_e.1,g_z_e.2,g_z_e.3,g_z_e.4,g_z_g.1,g_z_g.2,g_z_s.1,g_z_s.2,g_sigma_a_1,g_sigma_g_1,g_sigma_e_1,g_sigma_s_1,g_a,g_sigma
-1030.37,1,0.000782806,7,127,0,1050.83,0.322881,0.617063,-0.662602,1.7228,0.618451,0.940285,1.52332,1.07351,1.21589,0.550209,-0.433797,-0.374725,-0.936425,-0.624762,-0.248656,0.123074,-2.03126,-0.115587,2.26441,1.90375,0.13201,0.229153,1.89573,0.0712395,3.44772,0.0893592,0.223858,-0.590011,-0.660739,-1.62788,-0.0819787,-1.71177,-0.848648,-0.557594,1.31406,-1.04046,0.823614,3.2823,15.2006,35.5656,-42.1467,113.919,14.7309,212.283,7.3095,13.9601,6.98085,110.155,-23.8473,-38.4284,-153.696,-3.67954,-3.46023,-13.5689,0.339974,91.5036,209.584
-831.48,0.999999,0.000793751,7,127,0,1040.33,0.274389,0.530994,-0.630012,1.55487,0.621093,0.67119,1.47003,1.05335,1.25899,0.388269,-0.297783,-0.221516,-0.648881,-0.697136,-0.319237,0.266352,-2.11651,-0.239027,1.91939,1.21352,2.40713,-1.79608,6.02582,0.383087,9.68901,1.1117,0.731179,-0.528338,5.38839,-2.91547,-3.46808,-8.69253,1.08884,1.07541,-3.01071,1.46608,3.9713,10.9711,11.4511,28.9347,-41.7965,101.006,14.083,128.986,6.64089,12.3331,6.85947,67.5216,-18.9452,-23.5387,-107.855,-6.45934,-5.1101,-25.2487,0.732911,36.758,126.038
-767.462,0.999999,0.000819204,7,127,0,840.463,0.189694,0.60416,-0.570551,1.40004,0.597131,0.559334,1.47572,1.04745,1.23615,0.260937,-0.29134,-0.241558,-0.530298,-0.600296,-0.279391,0.254363,-2.14663,-0.298303,1.73477,1.93878,-0.759706,-2.22297,5.47929,0.815667,4.93418,0.039102,0.406116,0.632217,3.76222,-0.619206,-0.206002,-4.83884,-2.2054,-0.945741,-0.466242,0.647048,1.755,5.80139,5.37718,31.414,-40.4172,88.4392,12.5285,86.3199,6.33982,11.1687,6.40077,31.081,-20.8347,-26.1282,-89.503,-9.92758,-4.87835,-32.6512,1.16002,10.7267,41.7791
-722.839,0.999977,0.000856678,7,127,0,776.227,0.137916,0.597576,-0.467447,1.15982,0.562973,0.457277,1.51397,1.05889,1.35897,0.28324,-0.170082,-0.241575,-0.391548,-0.571597,-0.22073,0.285713,-2.19261,-0.264833,1.70268,0.911673,1.13433,-2.79253,6.27596,0.915514,4.04012,-0.376647,0.192516,-1.66064,0.822423,-2.4272,-0.880819,-4.70746,-0.755803,-1.10652,-1.50296,0.736688,0.0496411,1.80873,2.27714,30.5542,-34.6191,71.635,11.425,56.521,6.46302,11.0817,7.12427,32.269,-15.5027,-26.1794,-66.9615,-9.94026,-7.03601,-30.8371,0.770874,16.5423,23.6327
-694.583,0.999996,0.000904631,9,511,0,727.715,0.142061,0.573499,-0.442102,0.978232,0.571968,0.365325,1.48679,1.00815,1.38937,0.185599,-0.189237,-0.122351,-0.313519,-0.533095,-0.188019,0.36121,-2.19001,-0.255064,1.7456,-0.0225005,-1.35446,1.48624,-4.92494,-0.239479,-2.96427,-0.630016,-1.13768,0.237914,-2.21332,0.215621,2.45807,3.20176,0.887845,0.671239,2.05415,0.0260806,-0.575567,-0.585578,2.60999,29.2442,-32.8969,59.4956,11.7267,33.5186,6.352,10.421,7.35891,12.0316,-16.1571,-14.0389,-54.066,-8.79893,-4.04301,-25.9068,0.246396,21.0471,33.4088
-643.673,1,0.000962295,8,255,0,703.845,0.243223,0.375613,-0.106817,0.552583,0.527573,0.228339,1.51276,0.777045,1.11535,0.150196,0.206904,-0.020648,0.151752,-0.24098,-0.32001,0.395008,-2.27606,-0.387497,1.66398,0.401174,-2.89872,4.14095,-6.05039,-1.04513,-1.2655,-0.27677,-2.14535,-2.32607,-0.638073,3.04035,1.39386,3.97157,2.92144,-0.451038,2.16015,-0.548819,-0.319118,2.01651,4.9125,13.9911,-15.953,26.7334,9.05007,-13.7098,6.27568,6.3322,5.43648,2.06475,3.55107,-3.9901,21.426,-12.1078,-6.19705,-21.9891,-1.36021,-14.0833,-28.7324
-647.03,0.996314,0.00102913,9,1023,0,661.628,0.312496,0.272975,-0.0610176,0.513545,0.388677,0.14575,1.59815,0.943429,1.2168,0.147829,0.257352,-0.091438,0.133138,-0.127156,-0.361671,0.424056,-2.28827,-0.576998,1.76102,-0.652932,1.76484,-1.14895,1.4879,2.12815,0.190099,-0.903726,-1.93223,-1.14734,0.231138,-0.452707,0.623229,1.04178,-1.96025,0.347184,-1.00714,0.119334,1.42668,-1.71177,8.87662,8.10706,-12.6724,24.5415,5.70829,-25.5462,6.92285,9.48295,6.25821,6.93248,7.39013,-10.842,18.9126,-10.6623,-5.36497,-14.7619,-1.12294,-33.9639,7.59255
-512.251,0.988915,0.00109249,12,5119,0,663.363,0.197824,0.126913,0.297667,0.17445,-0.884368,-0.00265659,1.56555,0.417697,-0.931619,0.778806,1.16389,0.150071,-0.0772843,-13.5538,1.76646,-25.3365,-0.547694,-0.243602,0.790393,-1.39194,-0.435294,-2.22049,-1.4258,3.16622,3.62028,0.785986,-1.43677,-3.85381,-2.92884,7.04885,-0.778714,0.974907,3.78272,-5.2086,6.59575,-2.40949,-0.572892,10.0783,10.089,7.61478,18.1577,11.6882,-22.1092,-0.634926,7.82774,5.84776,-5.58971,-217.575,100.046,4.38404,-35.6691,-1,-245.688,-1,-0.25536,10.7516,13.7029
-428.94,0.999365,0.00113731,7,127,0,521.327,0.235004,0.0370432,0.0787427,0.0951616,-0.890095,-0.0689054,1.52394,0.325436,-0.770947,0.644875,0.616172,0.112244,-0.0304431,-13.5881,2.09414,-25.2727,-0.509241,-0.367469,0.569984,0.138615,1.17048,2.82588,1.25643,-0.979056,0.115781,0.80711,1.23358,-1.97298,4.44047,9.73834,1.14825,-1.25205,0.326978,-4.15902,-0.739127,-0.406704,3.12264,4.63418,11.9852,2.22258,4.80329,6.3758,-22.2524,-16.4684,7.61969,4.5561,-4.62568,-359.706,-123.447,-1.23391,-40.6521,-0.999993,-408.89,-1,-0.723515,-30.9935,-42.7292
-403.661,0.998434,0.00122464,7,127,0,436.413,0.126518,-0.0188896,0.0649356,0.00525095,-0.754559,-0.0878249,1.58791,0.23304,-0.764338,0.614755,0.683386,-0.00901686,-0.0534509,-13.7213,2.37306,-25.307,-0.48046,-0.347913,0.534989,-1.5777,-0.609179,-0.354166,-1.09453,2.41068,0.871078,0.335542,-1.17736,0.284069,2.57752,-3.61992,-1.54965,0.689554,-1.40353,5.26998,-0.327793,0.294421,-0.708629,0.326028,6.45244,-1.13336,3.96109,0.35182,-18.864,-20.9901,7.93957,3.26256,-4.58603,478.378,241.413,15.7806,6.53295,-0.999997,364.567,-1,-1.34689,65.4497,-16.8755
