# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=21
# stan_version_patch=0
# init=random
# enable_random_init=1
# seed=729436361
# chain_id=4
# iter=2000
# warmup=1000
# save_warmup=1
# thin=1
# refresh=200
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.999
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=20
# sampler_t=NUTS(diag_e)
# sample_file=/Users/davidhodgson/Dropbox/My Mac (David’s MacBook Air)/Documents/research/covid/HERO/serobayes/include/start/IgA_N_Serum_4.csv
# diagnostic_file=/Users/davidhodgson/Dropbox/My Mac (David’s MacBook Air)/Documents/research/covid/HERO/serobayes/include/start/IgA_N_Serum_diag_4.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,z_a.1,z_a.2,z_a.3,z_a.4,z_a.5,z_e.1,z_e.2,z_e.3,z_e.4,z_g.1,z_g.2,z_s.1,z_s.2,sigma_a_1,sigma_g_1,sigma_e_1,sigma_s_1,a,sigma,p_z_a.1,p_z_a.2,p_z_a.3,p_z_a.4,p_z_a.5,p_z_e.1,p_z_e.2,p_z_e.3,p_z_e.4,p_z_g.1,p_z_g.2,p_z_s.1,p_z_s.2,p_sigma_a_1,p_sigma_g_1,p_sigma_e_1,p_sigma_s_1,p_a,p_sigma,g_z_a.1,g_z_a.2,g_z_a.3,g_z_a.4,g_z_a.5,g_z_e.1,g_z_e.2,g_z_e.3,g_z_e.4,g_z_g.1,g_z_g.2,g_z_s.1,g_z_s.2,g_sigma_a_1,g_sigma_g_1,g_sigma_e_1,g_sigma_s_1,g_a,g_sigma
-165.326,0.857143,0.0625,2,7,1,958.688,0.172107,-0.195084,-0.0892459,-0.0934584,-0.750043,0.35633,-1.23549,0.257162,-0.75934,0.201111,-0.351223,0.211074,0.352487,-0.335655,-0.729618,-0.542719,-0.984868,-1.12187,0.316472,4.78552,9.48381,0.117459,18.587,-5.72042,8.09448,-0.168306,3.25414,-2.4829,11.0268,0.0559549,-8.19104,-3.38115,2.83049,21.4439,11.5011,-0.948024,9.32882,11.1889,10.7293,-17.099,-8.27094,-9.18381,-25.0081,77.4316,-7.71451,1.80952,-6.05575,38.3381,-23.2794,18.1365,52.5663,6.32146,0.545352,-0.596397,-3.02145,-43.7741,245.632
-165.326,0,7.72655,0,1,1,171.053,0.172107,-0.195084,-0.0892459,-0.0934584,-0.750043,0.35633,-1.23549,0.257162,-0.75934,0.201111,-0.351223,0.211074,0.352487,-0.335655,-0.729618,-0.542719,-0.984868,-1.12187,0.316472,-0.982682,1.93097,-1.00333,-0.823097,0.432537,1.29863,0.747474,-0.762261,0.559659,-0.691433,0.23364,0.284291,-0.100643,0.589804,-0.628986,-0.00638735,-0.415156,0.455388,-0.0391984,10.7293,-17.099,-8.27094,-9.18381,-25.0081,77.4316,-7.71451,1.80952,-6.05575,38.3381,-23.2794,18.1365,52.5663,6.32146,0.545352,-0.596397,-3.02145,-43.7741,245.632
-165.326,0,0.679471,0,1,1,173.448,0.172107,-0.195084,-0.0892459,-0.0934584,-0.750043,0.35633,-1.23549,0.257162,-0.75934,0.201111,-0.351223,0.211074,0.352487,-0.335655,-0.729618,-0.542719,-0.984868,-1.12187,0.316472,-0.659183,0.884219,-1.54338,1.16556,0.707877,-0.365849,-0.381992,-0.197512,0.645845,-1.56774,1.47439,0.562312,0.428907,-1.60112,-0.22156,0.734332,-0.432705,1.25591,-0.0456728,10.7293,-17.099,-8.27094,-9.18381,-25.0081,77.4316,-7.71451,1.80952,-6.05575,38.3381,-23.2794,18.1365,52.5663,6.32146,0.545352,-0.596397,-3.02145,-43.7741,245.632
-1.09625,1,0.0333907,2,3,0,168.348,0.162912,-0.159258,-0.143275,-0.0444531,-0.613756,0.205264,-1.12943,0.196842,-0.639452,0.145336,-0.264348,0.228468,0.279118,-0.438588,-0.773882,-0.543588,-0.884341,-1.07945,-0.299534,-0.457907,1.3321,-0.182888,1.16778,3.01489,-3.38188,1.89857,-0.858443,2.03896,-1.40932,2.22184,-0.167919,-2.20035,-1.94868,-0.668963,0.0443394,1.7772,2.62593,-16.6133,8.30416,-28.9734,-25.0111,-16.8338,-33.0291,4.02865,-10.5594,-3.31042,-8.36147,1.17916,-31.3756,7.39461,18.1241,16.5383,-0.0875557,-2.41486,-11.8096,-71.7884,203.307
98.3783,0.994193,0.0221829,3,7,0,10.0082,0.057391,-0.119102,0.0176426,0.00144131,-0.419734,0.249294,-1.06096,0.246843,-0.567946,0.074259,-0.148077,0.288763,0.217862,-0.431365,-0.808127,-0.445788,-0.83728,-0.93395,-0.664083,-1.73987,1.6335,2.85068,1.18,4.00176,0.175598,1.47296,0.884325,1.40554,-0.810363,2.69233,0.432132,-1.20971,-0.335093,-0.528071,1.47054,1.0919,4.61995,-12.0806,3.80629,-32.6166,-6.02849,-13.4905,-34.6833,18.7839,-16.1925,-5.04129,-11.7035,-10.9057,-28.2706,16.8436,1.53864,12.7421,0.545642,3.63539,-11.5265,-75.5691,187.53
252.722,0.998715,0.0167629,4,15,0,-96.422,-0.0768809,0.147958,0.0155745,0.087664,-0.0121227,-0.0793526,-0.796259,0.274646,-0.479817,0.0680742,0.148073,0.148345,0.17061,-0.423408,-0.896066,-0.417696,-0.717571,-0.451514,-1.93612,0.512428,-0.5759,-1.54926,1.41196,8.20268,-6.43009,5.97904,-0.108645,2.91042,0.115707,3.03006,-1.80573,-0.784592,-1.43005,-0.619158,-4.47859,1.38033,7.36788,-7.93741,-54.117,145.188,32.3925,-10.0133,-67.0569,77.6638,-84.1263,53.9127,-34.3142,-8.4835,52.2199,6.65603,62.1543,23.5884,4.47503,84.6411,4.11228,42.2857,-220.436
277.271,0.992451,0.0140956,4,15,0,-238.557,-0.0115761,0.0948505,0.0132271,0.0907595,0.0338048,-0.0438501,-0.757366,0.290597,-0.389682,0.0857466,0.136073,0.169539,0.135534,-0.439525,-0.859677,-0.415932,-0.694004,-0.529557,-1.86606,2.56573,-2.85619,-0.211211,0.522943,2.40126,1.01067,2.49229,-0.0268719,3.64739,1.04564,-0.847348,0.42182,-1.08349,-0.62837,1.30848,-1.0522,0.893354,-2.30015,4.85806,-13.6189,23.8723,-11.5067,-45.4445,-52.4272,-55.8248,-74.3721,33.7971,-30.7684,-62.5343,14.1368,13.9316,-61.5199,-5.12049,-6.51438,74.8248,-12.3738,-105.942,-138.205
306.37,0.942218,0.0123863,3,7,0,-270.78,0.0135814,0.0397903,0.0150108,0.142046,0.155548,-0.144102,-0.610331,0.134355,-0.318381,0.0793079,0.0541856,0.0840268,0.158533,-0.423457,-0.906416,-0.605466,-0.650639,-0.401383,-1.6234,0.284491,0.899794,-0.195428,-0.557057,-2.2889,1.05496,-3.5925,2.43752,-1.50797,0.215945,1.18274,2.27994,-0.698232,-0.271743,0.478547,3.67367,-0.548838,-1.96883,-4.16655,18.1025,1.27204,12.3442,39.4169,7.48185,39.0234,-23.2321,4.503,-6.78657,50.5137,6.93494,10.5461,72.5569,4.82446,2.29307,3.18107,7.1008,80.1629,50.6405
312.044,0.87735,0.00971361,6,63,0,-294.429,0.0497096,0.144926,0.0836091,0.177015,0.169343,-0.00366201,-0.409418,0.132949,-0.266535,0.0758807,0.170044,0.0063215,0.0402314,-0.6698,-0.886075,-0.639412,-0.381925,-0.489603,-1.8034,-1.38647,0.360708,0.191961,-0.184556,-1.175,-0.926086,-3.50268,-0.414111,-1.03362,-1.74818,0.54762,1.22944,-1.20678,1.75516,-0.149661,1.22411,-2.16923,-1.27952,-0.303766,13.5205,36.1946,24.5193,8.35614,-7.85543,83.5826,-25.5184,-7.99675,-9.11164,25.395,33.4274,5.55324,58.068,2.99939,4.34546,9.51958,1.78595,52.8199,-41.4497
314.929,0.999332,0.00639696,6,127,0,-302.486,-0.132155,0.0153979,-0.120025,0.0628741,0.180147,0.0688452,-0.125082,0.414226,-0.240051,-0.0125665,-0.0754588,0.0755114,0.117019,-1.11275,-0.867049,-1.6868,-0.792185,-0.385628,-1.66339,-0.441084,0.211387,0.701044,0.293417,1.20544,-0.864041,-2.21948,-1.53177,-0.69984,-0.333373,-0.333069,-0.361613,0.428276,1.15692,-0.102827,2.86301,0.971788,0.751425,-1.58653,-1.36956,9.40425,-7.59614,2.60735,4.69522,32.2485,-2.5516,-0.655326,-2.0038,24.8063,-15.7187,17.4839,25.9754,-1.28394,-0.0239211,-2.02493,1.00478,45.9324,43.451
